,CDRT1 (374286)
ACH-000207,-0.06346791702573104
ACH-000208,-0.2239186890297052
ACH-000210,-0.009277471170974256
ACH-000211,0.006230699889750566
ACH-000215,-0.0567366638067108
ACH-000221,0.0430774930099163
ACH-000222,-0.10137825417713434
ACH-000223,-0.042222883405031365
ACH-000226,-0.1309607129446301
ACH-000227,0.07495375137263066
ACH-000228,-0.14556821318473234
ACH-000231,-0.12534334231490382
ACH-000232,-0.07527807059239254
ACH-000233,-0.07966229596232532
ACH-000234,-0.1832078655278955
ACH-000235,-0.12400780025073352
ACH-000237,-0.1248555668942056
ACH-000238,-0.2238701000988293
ACH-000242,-0.4170709371643104
ACH-000243,-0.0618845576470237
ACH-000244,0.0994298707936542
ACH-000246,0.018597996768981943
ACH-000248,-0.043986790342530016
ACH-000250,-0.14416641852312867
ACH-000251,0.11228641840525937
ACH-000252,0.05100411687838359
ACH-000253,0.03622994103356741
ACH-000255,0.008556365071919305
ACH-000256,-0.032189754344026995
ACH-000257,-0.1173158464396645
ACH-000258,0.09644081323192168
ACH-000259,-0.026312672528654685
ACH-000260,0.016635323424733332
ACH-000261,-0.008287345456037858
ACH-000262,-0.0391298804600385
ACH-000263,-0.229344401065224
ACH-000264,-0.04589153685092924
ACH-000265,-0.092009473115022
ACH-000266,-0.13575182941639258
ACH-000272,-0.08410311287863814
ACH-000274,-0.1830331257464714
ACH-000277,-0.03729066600860255
ACH-000278,-0.09532440124820916
ACH-000279,-0.05961778312835692
ACH-000280,-0.05602355733834751
ACH-000281,0.041267812326461685
ACH-000288,-0.10438917123935464
ACH-000291,-0.08317177070072547
ACH-000293,-0.004540542492944115
ACH-000294,-0.07037001699825886
ACH-000295,0.07910212089165253
ACH-000296,-0.12960022569230514
ACH-000302,-0.07060163201214603
ACH-000304,0.1504001367517046
ACH-000307,-0.012649309696400886
ACH-000308,0.013793198417945256
ACH-000310,-0.06801735969962247
ACH-000311,0.008613872503751997
ACH-000312,-0.13816420515320707
ACH-000315,0.031808460346354775
ACH-000316,-0.1048464577521066
ACH-000317,0.1046831364206318
ACH-000318,-0.0248487925232295
ACH-000319,-0.060073079080453964
ACH-000320,-0.13121775140822844
ACH-000322,-0.02115195372481182
ACH-000323,-0.13040874126038945
ACH-000324,0.06773990375137831
ACH-000329,-0.15632017001444398
ACH-000330,0.022457904952990503
ACH-000331,-0.024348343473434716
ACH-000332,-0.07679462520580672
ACH-000334,-0.1126202486569473
ACH-000335,-0.2645980255922518
ACH-000336,0.11033946827471547
ACH-000337,-0.016440227575691326
ACH-000338,0.2645146384411444
ACH-000339,-0.17161756311380846
ACH-000341,0.00876886861792986
ACH-000348,-0.010790633936774872
ACH-000350,-0.09746082549960862
ACH-000352,0.051127524761814216
ACH-000356,-0.037943836815852304
ACH-000361,-0.004441819182831453
ACH-000362,-0.06077616723142626
ACH-000363,-0.12253872223962607
ACH-000364,0.052276570790090286
ACH-000365,0.023082415244753924
ACH-000366,0.013361427385374072
ACH-000368,0.032331379535246486
ACH-000374,-0.02247175178823189
ACH-000375,-0.2468354756150345
ACH-000376,0.029795975808149418
ACH-000381,-0.12609708306287634
ACH-000383,-0.10536275807330507
ACH-000387,-0.10705305142546004
ACH-000389,0.022427619982411086
ACH-000390,-0.007141613367091214
ACH-000393,-0.025680970478127504
ACH-000395,-0.0212088556124166
ACH-000396,0.1828374088475269
ACH-000397,-0.01619574723032973
ACH-000401,-0.08023004117871642
ACH-000402,-0.05288541587426168
ACH-000403,-0.11014913275515298
ACH-000404,-0.13353325445423772
ACH-000406,0.026918204458574624
ACH-000407,-0.03519411944842884
ACH-000408,-0.16923598016826522
ACH-000410,-0.06859558456000846
ACH-000411,-0.047298815561945415
ACH-000414,-0.11503519625038447
ACH-000415,-0.07723338344904457
ACH-000416,-0.021220163978866908
ACH-000420,-0.01865329274930161
ACH-000421,-0.02912075953644337
ACH-000424,-0.02411714897165362
ACH-000425,0.017564143155777045
ACH-000426,-0.14185994282686687
ACH-000427,0.06859636700404242
ACH-000433,0.1763621587675934
ACH-000435,-0.27939795960589425
ACH-000436,-0.18742316534346207
ACH-000444,-0.002541997815312963
ACH-000445,-0.14882956595046926
ACH-000448,-0.09256276056177087
ACH-000450,-0.11374344358127922
ACH-000452,-0.03511244273294131
ACH-000454,-0.2210429077539116
ACH-000458,-0.14173025191492838
ACH-000459,0.05734235088108499
ACH-000460,-0.08702223643306002
ACH-000461,-0.0654892915775097
ACH-000463,0.01015268962522916
ACH-000464,-0.013250615261599251
ACH-000466,-0.08643086526739358
ACH-000467,0.032075640361719636
ACH-000468,0.05101761594808177
ACH-000469,-0.12587448533827755
ACH-000470,-0.17481315007505294
ACH-000471,-0.07628641709596189
ACH-000472,-0.02582424057711593
ACH-000473,-0.09745395964885473
ACH-000475,-0.06598655118572383
ACH-000476,-0.10467054054474108
ACH-000477,0.12381345863601205
ACH-000479,0.11808081488735625
ACH-000480,-0.03786987560999585
ACH-000481,-0.03699859662405842
ACH-000483,0.0458330728833667
ACH-000484,-0.05830148115735241
ACH-000485,0.005723440365787151
ACH-000486,0.043113641388414656
ACH-000487,0.05918025458815598
ACH-000488,-0.017253582986670114
ACH-000490,0.17857013573924754
ACH-000491,0.08456160781280407
ACH-000495,-0.03678461869958837
ACH-000496,-0.1689941030010755
ACH-000499,0.015624820561682422
ACH-000500,-0.16624468483450672
ACH-000502,-0.08434386073105196
ACH-000503,-0.23557832344580876
ACH-000505,-0.028430812245625364
ACH-000507,0.05131497262463628
