,PRKAR2A (5576)
ACH-000004,-0.18291548881963596
ACH-000005,0.2720089831330056
ACH-000007,-0.5111296289727751
ACH-000009,-0.43794776052652507
ACH-000011,-0.2803158991450678
ACH-000012,-0.43802779420250737
ACH-000013,-0.29433607787157184
ACH-000014,-0.2012182885388962
ACH-000015,-0.3264373152099848
ACH-000017,-0.14076024156050368
ACH-000018,-0.34682425609453943
ACH-000019,-0.3167646037674775
ACH-000021,-0.24419499502606856
ACH-000022,-0.3579329853738434
ACH-000025,-0.38565988322481176
ACH-000028,-0.19550586956711946
ACH-000030,-0.28113386785333083
ACH-000035,-0.12715381252342148
ACH-000036,-0.2169780746264809
ACH-000037,-0.2922072496378632
ACH-000039,-0.26550583103619746
ACH-000040,-0.5553166657437574
ACH-000041,-0.17532629225089674
ACH-000042,-0.3479738607238028
ACH-000045,-0.3692780601115404
ACH-000047,-0.2713707713785201
ACH-000052,-0.0779082517427867
ACH-000053,-0.3361349465726493
ACH-000054,-0.2887763570588389
ACH-000055,-0.18505439458072329
ACH-000060,-0.2243727552185476
ACH-000067,-0.39713042767935297
ACH-000070,-0.4423314142831407
ACH-000075,0.19861274399618384
ACH-000078,-0.3469651085301991
ACH-000082,-0.2563492865826792
ACH-000085,-0.17796782003936076
ACH-000086,-0.12163717620136412
ACH-000087,-0.026089293592106568
ACH-000092,-0.1885825676774522
ACH-000095,-0.2218959863330904
ACH-000097,-0.21206661964622275
ACH-000098,-0.4269069708778632
ACH-000099,-0.34589053742542736
ACH-000108,-0.246790723084028
ACH-000113,-0.24738215211099146
ACH-000116,-0.393699082698948
ACH-000118,-0.1956985549832708
ACH-000120,-0.301379815903946
ACH-000123,-0.2528286504256056
ACH-000127,-0.2040113525528065
ACH-000128,-0.2604472561529745
ACH-000132,-0.4514600025968017
ACH-000133,-0.17165014530884448
ACH-000137,-0.2033618486024741
ACH-000138,-0.3247879979946846
ACH-000142,-0.20015362726306904
ACH-000143,-0.3094120832328879
ACH-000146,-0.2494220566341189
ACH-000148,-0.20196326593755115
ACH-000150,-0.37253107530820206
ACH-000152,-0.3140921415028157
ACH-000153,-0.2226984732320012
ACH-000159,-0.2307499276733955
ACH-000160,-0.15925441380437813
ACH-000163,-0.30983599162918785
ACH-000167,-0.5606816460750861
ACH-000168,-0.3909487501711552
ACH-000169,-0.14982306233684306
ACH-000178,-0.29251849170264194
ACH-000183,-0.4320072823415863
ACH-000188,-0.22366211514463816
ACH-000189,-0.4874312464157194
ACH-000190,-0.42030717040793575
ACH-000198,-0.24489534086067324
ACH-000203,-0.2839486752006192
ACH-000204,-0.502968682004134
ACH-000206,0.1355046677453733
ACH-000207,-0.17381887259593362
ACH-000208,-0.2396619200142488
ACH-000210,-0.16629331736288078
ACH-000211,-0.29559134147911115
ACH-000215,-0.2430386554883497
ACH-000221,-0.3935789446368297
ACH-000222,-0.3818118431073674
ACH-000223,-0.3238093648534557
ACH-000226,-0.22345907695671194
ACH-000227,-0.26107139783390937
ACH-000228,-0.257710492182464
ACH-000231,-0.28883539745570197
ACH-000232,-0.21499615127097327
ACH-000233,-0.1901578949004207
ACH-000234,-0.19597367295493706
ACH-000235,-0.28350009003433324
ACH-000237,-0.4702677433042914
ACH-000238,-0.4911281778224926
ACH-000242,-0.7321342359094355
ACH-000243,-0.1778221176829348
ACH-000244,-0.22291426757318808
ACH-000246,-0.3456355269956413
ACH-000248,-0.2975803186477688
ACH-000250,-0.2741873570333429
ACH-000251,0.03293534084387434
ACH-000252,-0.6553443842222302
ACH-000253,-0.33556968823633376
ACH-000255,-0.3167062521777375
ACH-000256,-0.16858033796388916
ACH-000257,-0.5413502028874234
ACH-000258,-0.5704578852497617
ACH-000259,-0.1940595878586119
ACH-000260,-0.3129609880652266
ACH-000261,-0.1417058362210092
ACH-000262,-0.22123601146829364
ACH-000263,-0.6486300815615104
ACH-000264,-0.3092114379701744
ACH-000265,-0.3539125040816873
ACH-000266,-0.26498955110572553
ACH-000272,-0.2054603494035528
ACH-000274,-0.2447894618308509
ACH-000277,-0.21059853186678906
ACH-000278,-0.33059842657504485
ACH-000279,-0.2869146170421599
ACH-000280,-0.4541820121645741
ACH-000281,-0.08551841507540259
ACH-000288,-0.4399201623322187
ACH-000291,-0.3989693390997236
ACH-000293,-0.07372813023620381
ACH-000294,-0.12702931740806786
ACH-000295,-0.31245693059619783
ACH-000296,-0.3158202842298378
ACH-000302,-0.2785726486154086
ACH-000304,-0.4571603925282011
ACH-000307,-0.3030096200044618
ACH-000308,-0.23783234591502905
ACH-000310,-0.3699843379243039
ACH-000311,-0.03954880825410848
ACH-000312,-0.2697007503748225
ACH-000315,0.03297437204390506
ACH-000316,-0.3315517901224514
ACH-000317,-0.4556027247970132
ACH-000318,-0.20637691794072385
ACH-000319,-0.15200165633249232
ACH-000320,-0.4117311183660799
ACH-000322,-0.22359594604593305
ACH-000323,-0.3063932554610896
ACH-000324,-0.15589252290482156
ACH-000329,-0.3988944086642816
ACH-000330,-0.2291235321774661
ACH-000331,-0.1956791979408133
ACH-000332,-0.2701342478976087
ACH-000334,-0.3289681684455055
ACH-000335,-0.24111587659265266
ACH-000336,-0.21585984910895345
ACH-000337,-0.1519346791093092
ACH-000338,-0.8825855831095449
ACH-000339,-0.2844951537340641
ACH-000341,-0.39501773346748414
ACH-000348,-0.1731480416817634
ACH-000350,-0.25073255176510456
ACH-000352,-0.2599956827287001
ACH-000356,-0.06708789568456422
ACH-000361,-0.3754461114736521
ACH-000362,-0.3165958828990158
ACH-000363,-0.1876342504339105
ACH-000364,-0.2880743552144122
ACH-000365,-0.14234658078276427
ACH-000366,-0.18998416118637007
ACH-000368,-0.3363804064205905
ACH-000374,-0.18554067501942734
ACH-000375,-0.23820669128258926
ACH-000376,-0.22273545516072574
ACH-000381,-0.3209448359053667
ACH-000383,-0.26855373427662665
ACH-000387,-0.3217448069562128
ACH-000389,-0.26007056197369793
ACH-000390,-0.2570428928172251
ACH-000393,-0.3263578183671864
ACH-000395,-0.5378417404198766
ACH-000396,-0.4004134037625266
ACH-000397,-0.2842207847271453
ACH-000401,-0.4138786505252825
ACH-000402,-0.3744462304496671
ACH-000403,-0.2647111674505975
ACH-000404,-0.6744467884457682
ACH-000406,-0.27155690828243484
ACH-000407,-0.5063073501540399
ACH-000408,-0.17710432953294492
ACH-000410,-0.43395603942546335
ACH-000411,-0.2321601255850731
ACH-000414,-0.17264607831776604
