,SDE2 (163859)
ACH-000004,-1.455285767119753
ACH-000005,-1.5497476365221263
ACH-000007,-1.1316649602169062
ACH-000009,-1.1403447386305652
ACH-000011,-1.1482627342205836
ACH-000012,-1.2148811074199917
ACH-000013,-1.3693510912655589
ACH-000014,-1.1739796625945391
ACH-000015,-1.3841024458013338
ACH-000017,-1.2098048595734043
ACH-000018,-1.234121774285095
ACH-000019,-0.8640304549550355
ACH-000021,-1.383388358265329
ACH-000022,-1.1092636779646594
ACH-000025,-0.9522356546467371
ACH-000028,-1.0282593388279782
ACH-000030,-1.1978710820047431
ACH-000035,-1.2832817753540848
ACH-000036,-1.076113439797002
ACH-000037,-0.6670935279265038
ACH-000039,-1.0869063263074488
ACH-000040,-1.1361872231372696
ACH-000041,-1.1851324793651334
ACH-000042,-1.1948870882529303
ACH-000045,-1.2094267433928014
ACH-000047,-1.3625958321860892
ACH-000052,-1.2032627036075612
ACH-000053,-1.3621890786580002
ACH-000054,-1.1457742649031066
ACH-000055,-1.2468493770586122
ACH-000060,-1.183820970825228
ACH-000067,-1.2287993005397586
ACH-000070,-0.8949291545212421
ACH-000075,-1.2451197724417815
ACH-000078,-0.964397672449484
ACH-000082,-1.145399478760205
ACH-000085,-1.273478052367772
ACH-000086,-1.2030999133972604
ACH-000087,-1.2875742394915637
ACH-000092,-1.0960904634880335
ACH-000095,-1.1686561081229914
ACH-000097,-1.0417855454889222
ACH-000098,-1.1610068285921986
ACH-000099,-1.2139585527895052
ACH-000108,-1.195040836425617
ACH-000113,-0.9650343170273412
ACH-000116,-1.4438944303781012
ACH-000118,-1.011194725053702
ACH-000120,-1.2159330016379946
ACH-000123,-1.179489265792754
ACH-000127,-1.1207602955014588
ACH-000128,-1.2242326764540772
ACH-000132,-1.31924525306739
ACH-000133,-1.1332210537641154
ACH-000137,-1.4852310017614387
ACH-000138,-1.1420830371536983
ACH-000142,-1.1055171403974406
ACH-000143,-1.2094529568796897
ACH-000146,-1.105347936986299
ACH-000148,-1.2059350325189524
ACH-000150,-1.1558240663815391
ACH-000152,-1.0635801187527696
ACH-000153,-1.0833999390762203
ACH-000159,-1.0468453528928363
ACH-000160,-1.3273127250335723
ACH-000163,-1.1989982765396388
ACH-000167,-2.1826324790097065
ACH-000168,-1.2836637413103362
ACH-000169,-1.2512240428331816
ACH-000178,-1.106862765569416
ACH-000183,-1.1343952587095163
ACH-000188,-1.1066891548765296
ACH-000189,-0.969464232503478
ACH-000190,-1.4869035952722849
ACH-000198,-1.0233103943212425
ACH-000203,-0.9101508512700792
ACH-000204,-1.1929086687828272
ACH-000206,-1.2392866530085114
ACH-000207,-1.027706027901511
ACH-000208,-1.1706489347940712
ACH-000210,-1.385894245525093
ACH-000211,-1.0714597294177488
ACH-000215,-1.1971413194856155
