,TUBA1A (7846)
ACH-000004,-0.20489743986760972
ACH-000005,-0.1258655784557928
ACH-000007,-0.090536326295985
ACH-000009,-0.2536085132760823
ACH-000011,-0.1452859092153265
ACH-000012,-0.3794371573081077
ACH-000013,-0.3429008658630457
ACH-000014,-0.3308029582893788
ACH-000015,-0.3404440942185957
ACH-000017,-0.3027921914739785
ACH-000018,-0.411852488737709
ACH-000019,-0.3164287705186237
ACH-000021,-0.33211387733621683
ACH-000022,-0.16999822735615358
ACH-000025,-0.2866616268387262
ACH-000028,-0.2093077539044369
ACH-000030,-0.2513999315939328
ACH-000035,-0.11909728585503035
ACH-000036,-0.2058946803930154
ACH-000037,-0.2802716180616209
ACH-000039,-0.1926200670786696
ACH-000040,-0.3768394838452539
ACH-000041,-0.4127895513011689
ACH-000042,-0.14427728775318524
ACH-000045,-0.3523182422789314
ACH-000047,-0.1798425888503518
ACH-000052,-0.43922638626149335
ACH-000053,-0.306435606067189
ACH-000054,-0.2400573545332862
ACH-000055,-0.0946526231544802
ACH-000060,-0.10648303471057112
ACH-000067,-0.29013604129725273
ACH-000070,-0.3278430087240306
ACH-000075,-0.5145010626519166
ACH-000078,-0.05517261044134862
ACH-000082,-0.29899060175176456
ACH-000085,-0.1841235970886428
ACH-000086,-0.3932476589317149
ACH-000087,-0.3006306665080323
ACH-000092,-0.2332712105001306
ACH-000095,-0.3890595779569781
ACH-000097,-0.2441214763956585
ACH-000098,-0.22496266583383245
ACH-000099,-0.0848361246226187
ACH-000108,-0.1981463120916839
ACH-000113,-0.2712841839563728
ACH-000116,-0.23823853399838146
ACH-000118,-0.2884939734969354
ACH-000120,-0.1643532258083466
ACH-000123,-0.13797654428753375
ACH-000127,-0.18014334203829452
ACH-000128,-0.4156836554915375
ACH-000132,-0.24146706406920015
ACH-000133,-0.3590357312776936
ACH-000137,-0.26073759435757643
ACH-000138,-0.2651343885934751
ACH-000142,-0.18756241714310115
ACH-000143,0.01279301148566482
ACH-000146,-0.30982843057634
ACH-000148,-0.30607025784616804
ACH-000150,-0.27459891722065416
ACH-000152,-0.24476978178933206
ACH-000153,-0.4503021635807384
ACH-000159,-0.20995270988818768
ACH-000160,-0.258571898345507
ACH-000163,-0.2688893802688456
ACH-000167,-0.5927398450016274
ACH-000168,-0.1918134473560701
ACH-000169,-0.2157731140874786
ACH-000178,-0.1921346334484268
ACH-000183,-0.3139693871635359
ACH-000188,-0.14478572469703074
ACH-000189,-0.31147884640486845
ACH-000190,-0.1776180556602679
ACH-000198,-0.2674724076179194
ACH-000203,-0.02627943579583745
ACH-000204,-0.3930727162654145
ACH-000206,-0.06649554263683145
ACH-000207,-0.2582449048791726
ACH-000208,-0.21873583197859572
ACH-000210,-0.5283096010940229
ACH-000211,-0.4579718275745999
ACH-000215,-0.24034209753474595
ACH-000221,-0.2573225683181677
ACH-000222,-0.0075838744241286315
ACH-000223,-0.3974560923298939
ACH-000226,-0.13760407564957508
ACH-000227,-0.08268675002459472
ACH-000228,-0.2364427054895077
ACH-000231,-0.25620581613381604
ACH-000232,-0.14131166778320312
ACH-000233,-0.26630079061663514
ACH-000234,-0.2519985322383974
ACH-000235,-0.2884654469106371
ACH-000237,-0.2961359715068839
ACH-000238,-0.19063455411477134
ACH-000242,-0.19111825032201926
ACH-000243,-0.2127523153675294
ACH-000244,-0.3838242548231341
ACH-000246,-0.3078134461519577
ACH-000248,-0.34098141208369204
ACH-000250,-0.2336336448862717
ACH-000251,-0.5319090210937854
ACH-000252,-0.17445050576453125
ACH-000253,-0.3851994374664103
ACH-000255,-0.14142070372310034
ACH-000256,-0.2403666513617153
ACH-000257,0.11814560038028366
ACH-000258,-0.11017893930503027
ACH-000259,-0.2802126642204085
ACH-000260,-0.16289057324814538
ACH-000261,-0.3454096169626625
ACH-000262,-0.08920354960987324
ACH-000263,-0.2151896154983818
ACH-000264,-0.25602938630602473
ACH-000265,-0.19778423921310054
ACH-000266,-0.28584313660664484
ACH-000272,-0.16641341859836986
ACH-000274,-0.3262188611417569
ACH-000277,-0.13553866561032216
ACH-000278,-0.2589809602724111
ACH-000279,-0.33871782572011994
ACH-000280,-0.1555200381613938
ACH-000281,-0.3246983290471707
ACH-000288,-0.301042646241111
ACH-000291,-0.28604705775296196
ACH-000293,-0.15062232754491786
ACH-000294,-0.34636368829426434
ACH-000295,-0.13716299380288696
ACH-000296,-0.15510061051352506
ACH-000302,-0.34672486903592104
ACH-000304,-0.2599773202015019
ACH-000307,-0.2547793997101387
ACH-000308,-0.2777653088202289
ACH-000310,-0.1836071144860966
ACH-000311,-0.0797141720856137
ACH-000312,-0.2945621385062986
ACH-000315,-0.2119480458188224
ACH-000316,-0.34596021328450405
ACH-000317,-0.2622979490645421
ACH-000318,-0.11987714903366473
ACH-000319,-0.21184955801467528
ACH-000320,-0.12029638167253524
ACH-000322,-0.1685209852418475
