,UMPS (7372)
ACH-000004,-0.8673110877303578
ACH-000005,-1.1271794911539048
ACH-000007,-0.6846287968087713
ACH-000009,-0.4456412061620469
ACH-000011,-0.4071968036891071
ACH-000012,-0.1862940410329076
ACH-000013,-0.1888852167786873
ACH-000014,-0.591148925617814
ACH-000015,-0.3205659811750965
ACH-000017,-1.0624069858241396
ACH-000018,-0.3881709078831058
ACH-000019,-0.3517156590609365
ACH-000021,-0.3754512006780754
ACH-000022,-0.2123701190745121
ACH-000025,-0.5220644580628896
ACH-000028,-0.6181031186907949
ACH-000030,-0.9203692594736308
ACH-000035,-0.4094840404623111
ACH-000036,-0.2413584631589845
ACH-000037,-0.5499044370226432
ACH-000039,-0.21464386222721096
ACH-000040,-0.2762341865530247
ACH-000041,-0.3884733247964042
ACH-000042,-0.4755792045215403
ACH-000045,-0.6621767338385581
ACH-000047,-0.5567179187655412
ACH-000052,-0.7144202270729807
ACH-000053,-0.9613960667690828
ACH-000054,-0.1741442217649329
ACH-000055,-0.5435872938655525
ACH-000060,-0.2837904384620114
ACH-000067,-0.6050430158705817
ACH-000070,-0.8018469523519868
ACH-000075,-0.6807207026839202
ACH-000078,0.11217786575161896
ACH-000082,-0.2996235990424835
ACH-000085,-0.3473545438554877
ACH-000086,-0.3150953524344311
ACH-000087,-0.31391073148679033
ACH-000092,-0.3681122228690351
ACH-000095,-0.13773831544859302
ACH-000097,-0.713244001664851
ACH-000098,-0.34163329872626136
ACH-000099,-0.19124787710503213
ACH-000108,-0.9169357679751658
ACH-000113,0.08992780494716239
ACH-000116,-0.09638078113008183
ACH-000118,-0.10637822907896524
ACH-000120,-0.11322498847030647
ACH-000123,-0.06309911661045875
ACH-000127,-0.5879994516485861
ACH-000128,-0.4519353554258011
ACH-000132,-0.20669805728991236
ACH-000133,-0.2599329354641273
ACH-000137,-0.4785600673262466
ACH-000138,-0.4810932655676212
ACH-000142,-0.1627095066494212
ACH-000143,-0.2551026841677413
ACH-000146,-0.7567975956445466
ACH-000148,-0.22294015996871694
ACH-000150,-0.13540689729807534
ACH-000152,-0.34120974908418866
ACH-000153,-0.6374689091784562
ACH-000159,-0.6577430545047817
ACH-000160,-0.4663691918282142
ACH-000163,-0.36309513551218175
ACH-000167,-0.8727276182325048
ACH-000168,-0.7929548259474551
ACH-000169,-0.3873478533988595
ACH-000178,-0.424394785825895
ACH-000183,-0.6785517129639778
ACH-000188,-0.3477764778343705
ACH-000189,-0.5895475531415924
ACH-000190,-0.15965127127517156
ACH-000198,-0.6966757075130805
ACH-000203,-0.0867275399084881
ACH-000204,-0.6793740946117689
ACH-000206,-0.9971050758306312
ACH-000207,-0.6712695142644787
ACH-000208,-0.04952510106662833
ACH-000210,-0.4731652229520495
ACH-000211,-0.2974508590352809
ACH-000215,-0.17709597346481828
ACH-000221,-0.16739484471379218
ACH-000222,-0.7158367571869856
ACH-000223,-0.6799122349490151
ACH-000226,-0.7554587148737876
ACH-000227,-0.2757331372045509
ACH-000228,-0.37005205314767226
ACH-000231,-0.3876695308679657
ACH-000232,-0.021844531826513164
ACH-000233,-0.9557394311378188
ACH-000234,-0.4391455693953555
ACH-000235,-0.906078642110658
ACH-000237,-0.3461968283745344
ACH-000238,-0.2387284397801902
ACH-000242,-0.3513270820812686
ACH-000243,-0.22576164373397944
ACH-000244,-0.1657680374165055
ACH-000246,-0.08262646934251623
ACH-000248,-0.9864996006498432
ACH-000250,-0.34064688350543104
ACH-000251,-0.18715896635115686
ACH-000252,-0.4546988038667879
ACH-000253,-1.0296764703963637
ACH-000255,-0.2671593013496472
ACH-000256,-0.05918313790583999
ACH-000257,-0.6111640523994827
ACH-000258,-0.7145822028372935
ACH-000259,-0.16641583958323092
ACH-000260,-0.04862159326612221
ACH-000261,-0.2287195894056004
ACH-000262,-0.2463933086837741
ACH-000263,-0.6996591280162804
ACH-000264,-0.4462121393539432
ACH-000265,-0.34987275324891004
ACH-000266,-0.3139181470754504
ACH-000272,-0.8118909257241738
ACH-000274,-0.37875831988198616
ACH-000277,-0.5405990880354309
ACH-000278,-0.4164160930795508
ACH-000279,-0.9768862094201222
ACH-000280,-0.5172152610045198
ACH-000281,-0.5285338103569215
ACH-000288,-0.2749643294179454
ACH-000291,-0.25299102983960703
ACH-000293,-0.3405024959607951
ACH-000294,-1.1295829287209689
ACH-000295,-1.03743194924528
ACH-000296,-0.42484578909658255
ACH-000302,-0.32175093181200204
ACH-000304,-0.04186050101950963
ACH-000307,-0.9254355539921556
ACH-000308,-0.3805827644573352
ACH-000310,-0.0448096314799304
ACH-000311,-0.6012261859172188
ACH-000312,-0.2911668828327607
ACH-000315,-0.8500518561668927
ACH-000316,-0.4954578637049242
