,HNRNPA1L2 (144983)
ACH-000004,-0.1564658378547047
ACH-000005,-0.4516754208804578
ACH-000007,-0.3169361232150197
ACH-000009,-0.1499176114029526
ACH-000011,-0.31193925713277804
ACH-000012,-0.34965673973899514
ACH-000013,-0.2715679591144601
ACH-000014,-0.33578099859046023
ACH-000015,-0.3159664111641895
ACH-000017,-0.23717092504175555
ACH-000018,-0.5461760590906239
ACH-000019,-0.34700610443531593
ACH-000021,-0.2126435374532796
ACH-000022,-0.295930010761263
ACH-000025,-0.3746146943311327
ACH-000028,-0.35729200981589293
ACH-000030,-0.3603600873143644
ACH-000035,-0.3143143042829617
ACH-000036,-0.335890905403586
ACH-000037,-0.13419930634211968
ACH-000039,-0.5123634854821157
ACH-000040,-0.3570247505637816
ACH-000041,-0.3598639108238022
ACH-000042,-0.2143962386751166
ACH-000045,-0.3219237072759498
ACH-000047,-0.5014759488458076
ACH-000052,-0.4771413785022217
ACH-000053,-0.2746491114606592
ACH-000054,-0.3503834103459914
ACH-000055,-0.6803576162560198
ACH-000060,-0.5459010075130518
ACH-000067,-0.4570925887030013
ACH-000070,-0.2393514713576901
ACH-000075,-0.2695411407073677
ACH-000078,-0.5764675275043514
ACH-000082,-0.33684839005221073
ACH-000085,-0.4524574976842192
ACH-000086,-0.2434933543807268
ACH-000087,-0.25439148802693345
ACH-000092,-0.34596066645016865
ACH-000095,-0.3241371729394709
ACH-000097,-0.3112355389695111
ACH-000098,-0.230116345676024
ACH-000099,-0.33108028242517445
ACH-000108,-0.3474446561933542
ACH-000113,-0.2758299835569089
ACH-000116,-0.37572388591396794
ACH-000118,-0.2223646425082728
ACH-000120,-0.4780660613308185
ACH-000123,-0.3801338565635845
ACH-000127,-0.2989209125251732
ACH-000128,-0.3339741011494203
ACH-000132,-0.2766193463134872
ACH-000133,-0.16262961063761913
ACH-000137,-0.16346918602458202
ACH-000138,-0.3195250642697635
ACH-000142,-0.38992571696631306
ACH-000143,-0.3541022900380353
ACH-000146,-0.16693635441937374
ACH-000148,-0.3110055799059368
ACH-000150,-0.3539451305960991
ACH-000152,-0.16951097554403655
ACH-000153,-0.11330425031824465
ACH-000159,-0.4308214872804922
ACH-000160,-0.15947965305171585
ACH-000163,-0.28835568581216875
ACH-000167,3.3021094108523417
ACH-000168,-0.508119735730742
ACH-000169,-0.3991091686500895
ACH-000178,-0.2660972012858626
ACH-000183,-0.2556464380815739
ACH-000188,-0.4389788280211441
