,AURKB (9212)
ACH-000004,-1.3426249852399987
ACH-000005,-1.0713444267659926
ACH-000007,-1.041817085441392
ACH-000009,-1.335734284173944
ACH-000011,-0.9846483486316276
ACH-000012,-0.9731076726493652
ACH-000013,-1.1095511063020271
ACH-000014,-1.1389722810740184
ACH-000015,-0.9796772371777509
ACH-000017,-1.1339221536136566
ACH-000018,-0.7973337976774358
ACH-000019,-0.912636050344991
ACH-000021,-1.119618015461418
ACH-000022,-1.0281784200518038
ACH-000025,-1.1198497799302565
ACH-000028,-0.9934748802438784
ACH-000030,-0.9431554268351956
ACH-000035,-1.25821375251324
ACH-000036,-1.0760304762060369
ACH-000037,-1.4883678756937055
ACH-000039,-1.3042413572842948
ACH-000040,-1.0616031947141058
ACH-000041,-1.2147319055772448
ACH-000042,-1.299877090489389
ACH-000045,-0.9627383147551742
ACH-000047,-0.9845392045374582
ACH-000052,-0.9997206544879408
ACH-000053,-1.1681468615746602
ACH-000054,-1.1657577943206523
ACH-000055,-1.3790675453390395
ACH-000060,-1.2434071047261397
ACH-000067,-1.17795801605145
ACH-000070,-1.3112909082629616
ACH-000075,-1.272158642258801
ACH-000078,-1.2170751910784323
ACH-000082,-1.0455560531200294
ACH-000085,-1.236489560300459
ACH-000086,-1.1055010274675459
ACH-000087,-1.2397296813863639
ACH-000092,-1.2808624060918143
ACH-000095,-1.1172754592838066
ACH-000097,-1.1318382874685218
ACH-000098,-1.2051332016513698
ACH-000099,-1.2661603288067336
ACH-000108,-1.0916388994192878
ACH-000113,-1.0324260808241803
ACH-000116,-0.9799812935385841
ACH-000118,-1.027336689973054
ACH-000120,-1.2149318565710785
ACH-000123,-1.191864274387188
ACH-000127,-0.9184855639859651
ACH-000128,-1.2284372238077341
ACH-000132,-1.1608811507621797
ACH-000133,-1.0592922045121604
ACH-000137,-1.1245534420259056
ACH-000138,-1.0433456984274208
ACH-000142,-1.0546881415739744
ACH-000143,-1.2353082273888276
ACH-000146,-1.224882938182845
ACH-000148,-1.0417754659611211
ACH-000150,-1.106599924797197
ACH-000152,-1.192351848383272
ACH-000153,-0.9708897587809762
ACH-000159,-1.1053256320586793
ACH-000160,-0.8375498118395854
ACH-000163,-1.058391348725972
ACH-000167,-0.95845784318662
ACH-000168,-1.091103572352822
ACH-000169,-1.011164210816899
ACH-000178,-1.063810248922865
ACH-000183,-1.4152695362465408
ACH-000188,-0.9421053769387578
ACH-000189,-1.0890935142099454
ACH-000190,-0.8472952610207832
ACH-000198,-1.1455165458054992
ACH-000203,-0.6309459684857732
ACH-000204,-1.253042127398875
ACH-000206,-1.0568002608624278
ACH-000207,-0.9197768840273756
ACH-000208,-0.9285249133413814
ACH-000210,-1.2156486717655344
ACH-000211,-1.0333261252355703
ACH-000215,-1.1012244024724638
ACH-000221,-1.436745250303382
ACH-000222,-0.9599153631343498
ACH-000223,-1.0233400505080603
ACH-000226,-1.0031425732642478
ACH-000227,-1.3833246131824293
ACH-000228,-1.0679822925903415
ACH-000231,-1.3617784849316714
ACH-000232,-1.10163456304674
ACH-000233,-1.072958854494913
ACH-000234,-1.1895378861833927
ACH-000235,-1.0225291050558876
ACH-000237,-1.093220725382318
ACH-000238,-1.0846192105345656
ACH-000242,-1.3464161251868625
ACH-000243,-1.0291987262445816
ACH-000244,-1.1055688536344952
ACH-000246,-1.1500996672124264
ACH-000248,-1.0601468010286177
ACH-000250,-1.2377601214898208
ACH-000251,-1.1019053074426592
ACH-000252,-1.0577874820305615
ACH-000253,-1.012629194073397
ACH-000255,-1.0102836913636628
ACH-000256,-1.2952715011137994
ACH-000257,-1.2330525950458973
ACH-000258,-1.0071179456556298
ACH-000259,-1.0824296486835026
ACH-000260,-1.1625479978544238
ACH-000261,-1.1167881057223048
ACH-000262,-1.1742390606481383
ACH-000263,-1.4491757808003365
ACH-000264,-1.069907597261419
ACH-000265,-1.0788982725076126
ACH-000266,-1.2623725923610063
ACH-000272,-1.200863215127412
ACH-000274,-1.4519619955812912
ACH-000277,-1.1814191771622875
ACH-000278,-1.1412042231745867
ACH-000279,-1.2383217542105556
ACH-000280,-1.2575201253046604
ACH-000281,-1.1555728116021478
ACH-000288,-1.2668585054189658
ACH-000291,-0.9533231405378666
ACH-000293,-1.1780330720273715
ACH-000294,-1.2090064626352932
ACH-000295,-1.441065901946415
ACH-000296,-1.0674459699946417
ACH-000302,-1.0364320309961321
ACH-000304,-1.4556296674960318
ACH-000307,-0.964134620492758
ACH-000308,-1.1187874802306603
ACH-000310,-1.064624770588846
ACH-000311,-1.080899720228001
ACH-000312,-1.1657843152893863
ACH-000315,-1.3047783433833045
ACH-000316,-1.0936713808914096
