,ASAH2B (653308)
ACH-000004,-0.04466894217438234
ACH-000005,0.09868431956240653
ACH-000007,-0.18844899960133596
ACH-000009,-0.021284314429399268
ACH-000011,-0.2070679299656923
ACH-000012,-0.15261323866431967
ACH-000013,-0.1488177983591675
ACH-000014,-0.1837341506554186
ACH-000015,-0.14268050941692048
ACH-000017,-0.06907735557807917
ACH-000018,-0.33576299414516503
ACH-000019,-0.1725449070495351
ACH-000021,-0.09493673987576397
ACH-000022,-0.2466980306631852
ACH-000025,-0.09421918092947797
ACH-000028,-0.03679798229698443
ACH-000030,-0.2087292860884832
ACH-000035,-0.10919035003051353
ACH-000036,-0.03596435446529006
ACH-000037,-0.0945802478898966
ACH-000039,-0.013247027062261637
ACH-000040,-0.12147009319558953
ACH-000041,0.011669136857056695
ACH-000042,-0.014605335202003284
ACH-000045,-0.26205447644681545
ACH-000047,-0.231833544150392
ACH-000052,-0.032021518797618
ACH-000053,-0.1313882812606492
ACH-000054,-0.08937467576472374
ACH-000055,-0.15671191935217565
ACH-000060,-0.15104120587957234
ACH-000067,-0.15335881027747394
ACH-000070,-0.14394556093090802
ACH-000075,-0.22966552600121476
ACH-000078,-0.10052666169320316
ACH-000082,-0.20245769964806698
ACH-000085,-0.14435055912414987
ACH-000086,-0.265634637700269
ACH-000087,-0.17982734995687366
ACH-000092,-0.10977525403451407
ACH-000095,-0.15341462090531846
ACH-000097,-0.10396889255965933
ACH-000098,-0.2532994605797949
ACH-000099,-0.09172879134549344
ACH-000108,-0.15926111922764108
ACH-000113,-0.16064735883726766
ACH-000116,-0.21574458740803654
ACH-000118,-0.1309504256033062
ACH-000120,-0.2337138276049605
ACH-000123,-0.08006843243272879
ACH-000127,-0.12520796632259298
ACH-000128,-0.106216353900479
ACH-000132,-0.1860115737802337
ACH-000133,-0.2839295686946749
ACH-000137,-0.14718222745200302
ACH-000138,-0.07571400065822842
ACH-000142,-0.12052250383756362
ACH-000143,-0.10030402988671412
ACH-000146,-0.10496623404100544
ACH-000148,-0.29988183888291897
ACH-000150,-0.15070790091722913
ACH-000152,-0.13947443123429634
ACH-000153,-0.12503995485921182
ACH-000159,-0.14962871538464936
ACH-000160,-0.2430398468327691
ACH-000163,-0.18796310551545672
ACH-000167,-0.34902608153605313
ACH-000168,-0.0970648648062399
ACH-000169,-0.15001964588725952
ACH-000178,-0.09540769436316167
ACH-000183,-0.2016496481743816
ACH-000188,-0.1877788709465935
ACH-000189,0.0901986936346476
ACH-000190,-0.2346440804168253
ACH-000198,-0.07288714220482853
ACH-000203,0.16398793742955714
ACH-000204,-0.34198821963112164
ACH-000206,-0.1941953347162224
ACH-000207,-0.036399985512638365
ACH-000208,-0.17017202072252965
ACH-000210,0.15817667033616215
ACH-000211,-0.16867339981349955
ACH-000215,-0.12379905252870788
ACH-000221,-0.044418149519843936
ACH-000222,-0.19440387465628275
ACH-000223,-0.11972359751614592
ACH-000226,-0.14594807378942776
ACH-000227,-0.07661347909535626
ACH-000228,-0.21780011010042108
ACH-000231,-0.09793869738904107
ACH-000232,-0.14540207392421992
ACH-000233,-0.06977707555702248
ACH-000234,-0.07143233589632192
ACH-000235,-0.15549542650058615
ACH-000237,-0.10647790725257376
ACH-000238,-0.1431039496477927
ACH-000242,-0.23993492928587826
ACH-000243,-0.15257458808812652
ACH-000244,-0.25589328269025485
ACH-000246,-0.16721658812755874
ACH-000248,-0.13797494932138313
ACH-000250,-0.1296599410460412
ACH-000251,-0.2612777678847997
ACH-000252,0.20352496152954253
ACH-000253,-0.06283886969738252
ACH-000255,-0.23266365401943734
ACH-000256,-0.12434898189931218
ACH-000257,-0.1973640220156176
ACH-000258,-0.14304948447079616
ACH-000259,-0.01921490130412571
ACH-000260,-0.19456249876352089
ACH-000261,-0.1640121994714601
ACH-000262,-0.21610150285299692
ACH-000263,-0.3409957497701253
ACH-000264,-0.12027375144010954
ACH-000265,-0.050557981488633705
ACH-000266,-0.13222830081666306
ACH-000272,-0.11290306083931698
ACH-000274,-0.08040816529484837
ACH-000277,-0.214800309913906
ACH-000278,-0.047103582767195486
ACH-000279,-0.24318252878563534
ACH-000280,-0.11901688549244185
ACH-000281,-0.030868084006908793
ACH-000288,-0.11450859008761627
ACH-000291,-0.13322814382661968
ACH-000293,-0.32247791447474
ACH-000294,-0.301942506328622
ACH-000295,-0.11400788377872155
ACH-000296,-0.06602352177475401
ACH-000302,-0.11332994249082692
ACH-000304,-0.20358122856723368
ACH-000307,-0.07828638326306257
ACH-000308,-0.1222413231054612
ACH-000310,-0.0607190726094872
ACH-000311,-0.19419827817231533
ACH-000312,-0.14319472648417647
ACH-000315,-0.17914344108871874
ACH-000316,-0.22569438816938456
ACH-000317,-0.003032047112142086
ACH-000318,-0.09677781860681847
ACH-000319,-0.30324923653964464
ACH-000320,-0.27349168507026284
ACH-000322,-0.2530012325106895
ACH-000323,-0.2077022697889721
ACH-000324,-0.22271380594052884
ACH-000329,-0.1292038986123964
ACH-000330,-0.18023472659766893
ACH-000331,-0.19794740515224105
ACH-000332,-0.09761764107071334
ACH-000334,-0.2114246678843452
ACH-000335,-0.2608333350811684
ACH-000336,-0.3905120669282173
ACH-000337,-0.3454489000174863
ACH-000338,-0.032336236591349946
ACH-000339,-0.06608127459455793
ACH-000341,-0.2427792699823152
ACH-000348,-0.2028050560840245
ACH-000350,-0.05453334463224935
ACH-000352,-0.1014606315022598
ACH-000356,-0.16298288173414952
ACH-000361,-0.2032069997579343
ACH-000362,-0.11675156898783005
ACH-000363,-0.23776437095962305
ACH-000364,-0.06456018744077563
ACH-000365,-0.15654567044360138
ACH-000366,-0.048614544166177984
ACH-000368,-0.11271907685795965
ACH-000374,-0.16704187074388055
ACH-000375,-0.039198100784230513
ACH-000376,-0.13107424398665138
ACH-000381,-0.07940425741014133
ACH-000383,-0.1489859172836474
ACH-000387,0.017887771087333127
ACH-000389,-0.012650310455956658
ACH-000390,-0.2445204590735952
ACH-000393,-0.18522317354367104
ACH-000395,-0.10219613231879808
ACH-000396,-0.2692411172774848
ACH-000397,-0.1298062773412563
ACH-000401,-0.10156535788921583
ACH-000402,-0.09891198508348438
ACH-000403,-0.20257597721277346
ACH-000404,0.027292442399257856
ACH-000406,-0.26774129513767503
ACH-000407,-0.08640577575813553
ACH-000408,-0.0473151507080313
ACH-000410,-0.16821848791597607
ACH-000411,-0.15316344989095176
ACH-000414,-0.11502151822076935
ACH-000415,-0.11135225486575992
ACH-000416,-0.10019342913877367
ACH-000420,-0.3194742180977295
ACH-000421,-0.016254232751457674
ACH-000424,-0.34394902211044315
ACH-000425,-0.061155504138899724
ACH-000426,-0.11824257009516374
ACH-000427,-0.23748098056917424
ACH-000433,0.0006634431037788545
ACH-000435,-0.251546744849224
ACH-000436,-0.18365880049129235
ACH-000444,-0.007815496628541193
ACH-000445,-0.10110273244575828
ACH-000448,-0.08903636018605977
ACH-000450,-0.16626948903474406
ACH-000452,-0.22765533673680216
