,MYC (4609)
ACH-000004,-1.632714928763532
ACH-000005,-2.2476832477476094
ACH-000007,-1.5375582932465681
ACH-000009,-1.323368289533769
ACH-000011,-1.7348019823369114
ACH-000012,-1.4020712970280411
ACH-000013,-1.0007468345807604
ACH-000014,-1.2355046682867157
ACH-000015,-1.6301206866115532
ACH-000017,-1.5277711623799326
ACH-000018,-1.4863975801645173
ACH-000019,-1.07635355108634
ACH-000021,-1.1060426323856074
ACH-000022,-1.6451359621343118
ACH-000025,-1.4880161697604664
ACH-000028,-1.2334675709815663
ACH-000030,-1.6196606757194971
ACH-000035,-1.2625136572548934
ACH-000036,-1.4647700484952748
ACH-000037,-1.0645747148415232
ACH-000039,-1.7740868587510226
ACH-000040,-1.2311109513971452
ACH-000041,-1.745051922465182
ACH-000042,-1.6383879038395792
ACH-000045,-1.4162146387186545
ACH-000047,-1.1626417436244765
ACH-000052,-1.3789825501137671
ACH-000053,-1.4405300716440042
ACH-000054,-1.0040074982294007
ACH-000055,-1.5382694339369225
ACH-000060,-1.6963280268812626
ACH-000067,-1.1713805186672313
ACH-000070,-1.6444485610589696
ACH-000075,-1.3137873822223156
ACH-000078,-0.6503265423351188
ACH-000082,-1.1961379301940591
ACH-000085,-1.81399546388026
ACH-000086,-1.4037148954030003
ACH-000087,-1.8051586087621756
ACH-000092,-1.4083507294415565
ACH-000095,-1.1408392481189409
ACH-000097,-1.2928260820851678
ACH-000098,-1.345525656057554
ACH-000099,-0.4592636970574375
ACH-000108,-1.4052053210137134
ACH-000113,-1.451172443703488
ACH-000116,-0.8278377990256625
ACH-000118,-1.3306699889982112
ACH-000120,-0.7315310174529569
ACH-000123,-1.2563220548781622
ACH-000127,-1.43046275973389
ACH-000128,-1.2108380939664096
ACH-000132,-1.4070304479147229
ACH-000133,-1.2196123557321368
ACH-000137,-1.4211566395719024
ACH-000138,-1.6582075190146952
ACH-000142,-1.52942691438254
ACH-000143,-1.6832954658968764
ACH-000146,-1.6407217248204908
ACH-000148,-1.5490559000666768
ACH-000150,-1.8426880197193982
ACH-000152,-1.3613439878218148
ACH-000153,-1.7592850303982908
ACH-000159,-1.192976509447546
ACH-000160,-1.4390770236445145
ACH-000163,-1.7763523728427604
ACH-000167,-1.890981803524369
ACH-000168,-1.925889635042004
ACH-000169,-1.4262450918228555
ACH-000178,-1.5739225958211316
ACH-000183,-1.588658770777588
ACH-000188,-1.3351638427107546
ACH-000189,-1.3019817158967542
ACH-000190,-1.2476194367584403
ACH-000198,-1.2939426346519511
ACH-000203,-0.7848101921548857
ACH-000204,-1.1126548320241114
ACH-000206,-2.5717578363578677
ACH-000207,-2.01871432124635
