,DBX2 (440097)
ACH-000004,-0.2549471881880129
ACH-000005,0.07194711070693485
ACH-000007,-0.13942973356570665
ACH-000009,-0.06301885420073426
ACH-000011,-0.04274705626338015
ACH-000012,-0.13378485884462224
ACH-000013,-0.15143001073534712
ACH-000014,0.07146715162914842
ACH-000015,-0.2283398137114213
ACH-000017,-0.25157549799888673
ACH-000018,-0.08376325176727299
ACH-000019,-0.044263762281013946
ACH-000021,-0.04575985887631273
ACH-000022,-0.13590250376612573
ACH-000025,-0.1264204411471004
ACH-000028,-0.21591685777354191
ACH-000030,-0.13476395415341896
ACH-000035,-0.1270776485839095
ACH-000036,-0.0980391279146222
ACH-000037,-0.268917426354839
ACH-000039,0.013129227741918327
ACH-000040,0.09027001140775724
ACH-000041,-0.17953835703529555
ACH-000042,-0.041649995344312296
ACH-000045,-0.0297849885424083
ACH-000047,-0.25770924861792555
ACH-000052,-0.07813073841172617
ACH-000053,-0.043082043330600055
ACH-000054,-0.040487781175188316
ACH-000055,-0.2596013753579632
ACH-000060,-0.05454222290317928
ACH-000067,-0.1507765309668394
ACH-000070,-0.2314982632993017
ACH-000075,-0.13085685772026834
ACH-000078,-0.11161030117565826
ACH-000082,-0.096539234436685
ACH-000085,-0.13608849864373987
ACH-000086,-0.27132257141153954
ACH-000087,0.23170489907765898
ACH-000092,-0.12858181980744504
ACH-000095,-0.048859406703260166
ACH-000097,-0.13286996585675825
ACH-000098,-0.1059084605893718
ACH-000099,-0.09335745939286963
ACH-000108,0.1281104689559101
ACH-000113,-0.057172432671763924
ACH-000116,-0.17125396234998747
ACH-000118,0.07670609746973199
ACH-000120,0.06248449072423477
ACH-000123,-0.11292938797110415
ACH-000127,-0.11146243629216404
ACH-000128,-0.13088215183863006
ACH-000132,-0.07121006552582887
ACH-000133,-0.2643120005261773
ACH-000137,-0.2910207283406885
ACH-000138,0.04814498872071071
ACH-000142,0.10370854274548327
ACH-000143,-0.07042220537631179
ACH-000146,-0.23191880131255416
ACH-000148,-0.09068541821816133
ACH-000150,-0.16817034653478005
ACH-000152,-0.15542545875140068
ACH-000153,-0.19907337021893826
ACH-000159,-0.12668341927391774
ACH-000160,-0.12256136763419645
ACH-000163,-0.1444767440667009
ACH-000167,0.02869165658055068
ACH-000168,-0.10410669090330278
ACH-000169,-0.1665428662965965
ACH-000178,-0.036194713264478186
ACH-000183,-0.0019471463827208848
ACH-000188,-0.14833321418782505
ACH-000189,-0.2771925270554724
ACH-000190,0.1346392883580287
ACH-000198,-0.09534639686642944
ACH-000203,-0.2306268413635099
ACH-000204,-0.1502102897231948
ACH-000206,-0.055431461040077415
ACH-000207,-0.1452238486777042
ACH-000208,-0.0827634249561652
ACH-000210,-0.07905467928130902
ACH-000211,-0.15953509345304473
ACH-000215,-0.04677685993819472
ACH-000221,0.027337992802120382
ACH-000222,-0.09696242281999616
ACH-000223,-0.15760569219169718
ACH-000226,-0.3284300029622927
ACH-000227,-0.09679053899452746
ACH-000228,-0.21186855020736794
ACH-000231,-0.046155631487402614
