,MVD (4597)
ACH-000004,-1.0766782410810138
ACH-000005,-1.244495269043992
ACH-000007,-0.8178955312505041
ACH-000009,-0.702184081152305
ACH-000011,-1.0883002086994609
ACH-000012,-0.7018713997177649
ACH-000013,-0.3838537173197363
ACH-000014,-0.7866355308684098
ACH-000015,-0.7694752370319208
ACH-000017,-1.1310382818748168
ACH-000018,-0.9593805559843536
ACH-000019,-0.4064802513153044
ACH-000021,-0.8707102773106932
ACH-000022,-0.9943317830263808
ACH-000025,-0.9238587425350792
ACH-000028,-0.6625364145272411
ACH-000030,-0.7158379063143261
ACH-000035,-0.8558627781372266
ACH-000036,-0.7674975848947045
ACH-000037,-0.4720505288063842
ACH-000039,-0.8125033971218584
ACH-000040,-0.7933497870451118
ACH-000041,-0.6469265072560624
ACH-000042,-0.9331602065191036
ACH-000045,-0.7217407873959237
ACH-000047,-0.9097226174867852
ACH-000052,-0.3636434107490723
ACH-000053,-0.6573740213249828
ACH-000054,-0.7707150269133086
ACH-000055,-0.6786558507290286
ACH-000060,-0.6020240948008605
ACH-000067,-0.7790891749926429
ACH-000070,-1.130871744394497
ACH-000075,-0.25039641837041776
ACH-000078,-0.6525490921277359
ACH-000082,-0.2132767189755836
ACH-000085,-1.0136065195713213
ACH-000086,-0.5379772532295412
ACH-000087,-1.2011584960879873
ACH-000092,-0.6416547427513623
ACH-000095,-0.5170514716228511
ACH-000097,-0.8031511904603023
ACH-000098,-0.28603644111556226
ACH-000099,-0.6712405867701063
ACH-000108,-0.8838455199933946
ACH-000113,-0.5854515914568539
ACH-000116,-0.3176388726287194
ACH-000118,-0.6934253761796879
ACH-000120,-0.4654199370405819
ACH-000123,-0.6332699130179922
ACH-000127,-0.8574091642250407
ACH-000128,-0.6054906232578497
ACH-000132,-0.9606885182064684
ACH-000133,-0.6703112421405313
ACH-000137,-0.35586046739160354
ACH-000138,-0.7240383768761068
ACH-000142,-0.7765557562105599
ACH-000143,-0.8715534865855927
ACH-000146,-0.9905972869745988
ACH-000148,-0.5316129117676668
ACH-000150,-0.6226817157311453
ACH-000152,-0.7788555644710091
ACH-000153,-0.5476117656527856
ACH-000159,-0.4308965400241588
ACH-000160,-0.6059793817917193
ACH-000163,-0.4101961145572949
ACH-000167,-0.7261355538689632
ACH-000168,-0.9378400900887474
ACH-000169,-0.8117837839856549
ACH-000178,-0.8477351610017988
ACH-000183,-0.7455238377075989
ACH-000188,-0.8604138422417849
ACH-000189,-0.7908119903046493
ACH-000190,-0.7806415241692836
ACH-000198,-0.6328953066583891
ACH-000203,-0.4975868128732574
ACH-000204,-0.7716508372686902
ACH-000206,-1.2988642002415576
