,MPC2 (25874)
ACH-000004,-0.15046462898286606
ACH-000005,-0.03867010875926303
ACH-000007,-0.30992052491813404
ACH-000009,-0.21332907286056696
ACH-000011,-0.22085877816126676
ACH-000012,-0.0441161482880152
ACH-000013,-0.13494087187110024
ACH-000014,-0.05516301490346386
ACH-000015,-0.028997157252412413
ACH-000017,0.03305574863471227
ACH-000018,-0.03163083034978816
ACH-000019,-0.10505312158443852
ACH-000021,-0.16664280322003147
ACH-000022,-0.04330851767532266
ACH-000025,-0.2848275193537421
ACH-000028,-0.6047967626502792
ACH-000030,-0.059016597457897564
ACH-000035,-0.12368279421005067
ACH-000036,-0.09160117893784613
ACH-000037,-0.25341511586231324
ACH-000039,-0.4113920941780195
ACH-000040,-0.14660729770618874
ACH-000041,-0.02049726192667817
ACH-000042,0.11402613508905428
ACH-000045,-0.2545359944169741
ACH-000047,-0.31701109028994195
ACH-000052,-0.1872052624020902
ACH-000053,-0.2346253137000201
ACH-000054,-0.1857214336272968
ACH-000055,-0.0428340112452996
ACH-000060,-0.11675647086416473
ACH-000067,-0.2557296470230642
ACH-000070,-0.09886375510681827
ACH-000075,0.0008541327449263175
ACH-000078,-0.15365516673630414
ACH-000082,-0.2492964616333341
ACH-000085,-0.043966671546667516
ACH-000086,-0.2400527777631701
ACH-000087,-0.15093277709550834
ACH-000092,-0.18988643818826847
ACH-000095,-0.2231924276766418
ACH-000097,-0.09124166427679677
ACH-000098,-0.17998663619190708
ACH-000099,0.127333172633513
ACH-000108,-0.17644740236587364
ACH-000113,-0.3694978876819015
ACH-000116,-0.19373164488384395
ACH-000118,-0.09503449098279652
ACH-000120,-0.2608811513536304
ACH-000123,-0.1840855051718236
ACH-000127,-0.326059002379434
ACH-000128,-0.15218834018599087
ACH-000132,-0.055121698218919685
ACH-000133,-0.3785133216512734
ACH-000137,-0.14829783307260253
ACH-000138,-0.2590575149656891
ACH-000142,0.0412763757219627
ACH-000143,-0.09724687410531123
ACH-000146,-0.2758768467641125
ACH-000148,-0.2464813653996176
ACH-000150,0.05507230229656857
ACH-000152,-0.16383661125922305
ACH-000153,-0.3743202833796189
ACH-000159,-0.18331827341747126
ACH-000160,0.0029108439868626625
ACH-000163,-0.2652080740772134
ACH-000167,-0.3634911943595681
ACH-000168,-0.17140626749811058
ACH-000169,-0.07112411226918569
ACH-000178,-0.14086233737747572
ACH-000183,-0.3697008730507006
ACH-000188,-0.26532407768785793
ACH-000189,-0.2219069547438164
ACH-000190,-0.2856654420541763
ACH-000198,-0.2430228461555253
ACH-000203,-0.047285026753474416
ACH-000204,-0.3281572074292978
ACH-000206,-0.02141785962754488
ACH-000207,0.19355161360142356
ACH-000208,-0.19913339391851045
ACH-000210,-0.3523431379502716
ACH-000211,-0.22434758696872112
ACH-000215,-0.2289060357118597
ACH-000221,0.15211613186122885
ACH-000222,-0.1999184603220452
ACH-000223,-0.10539129776069037
ACH-000226,-0.1902661236121324
ACH-000227,-0.1879165152994368
ACH-000228,-0.10752394023912124
ACH-000231,-0.18825775360864574
ACH-000232,-0.21245513931910287
ACH-000233,-0.25954850445951777
ACH-000234,-0.1898566481103021
ACH-000235,-0.06404123145288132
ACH-000237,-0.2738089059415515
ACH-000238,-0.13412730705473125
ACH-000242,0.17069562446037248
ACH-000243,-0.11638285424684584
ACH-000244,0.008337618604328906
ACH-000246,-0.2380577658047925
ACH-000248,0.02058728264421043
ACH-000250,-0.16029693583108842
ACH-000251,-0.265437650866856
ACH-000252,-0.3698882393156776
ACH-000253,-0.23164250685665375
ACH-000255,-0.22965120322748284
ACH-000256,-0.1971141555289421
ACH-000257,-0.15919454912798892
ACH-000258,-0.5798147765512338
ACH-000259,-0.18420611371658224
ACH-000260,-0.12218343656840101
ACH-000261,-0.37578310932200015
ACH-000262,-0.2408483162059145
ACH-000263,-0.1792940455710462
ACH-000264,-0.4172756771201956
ACH-000265,-0.11585924754775445
ACH-000266,-0.09595792029442088
ACH-000272,-0.35155193469924106
ACH-000274,-0.11560765761343565
ACH-000277,-0.2886007469119233
ACH-000278,-0.15981011644581866
ACH-000279,-0.2615781415488361
ACH-000280,0.11415666716873178
ACH-000281,-0.023100263293147613
ACH-000288,-0.16703565562420108
ACH-000291,-0.21151060572269176
ACH-000293,-0.1761481984170518
ACH-000294,0.011597721007236574
ACH-000295,-0.12030413907509074
ACH-000296,-0.030674776657834024
ACH-000302,0.35122568204660115
ACH-000304,-0.2820804141261996
ACH-000307,-0.11368244784155244
ACH-000308,-0.19722746939905905
ACH-000310,-0.3302385534653715
ACH-000311,-0.24095571479438924
ACH-000312,-0.16396859588234644
ACH-000315,-0.11215972088996932
ACH-000316,-0.05613327995803741
ACH-000317,-0.2869328581580532
ACH-000318,-0.281457766967683
ACH-000319,-0.20658510179124884
ACH-000320,0.05855686178409731
ACH-000322,0.038960928517116786
ACH-000323,-0.2121493533830736
ACH-000324,-0.0841826622082396
ACH-000329,-0.21623241942261626
ACH-000330,-0.14763516855529002
ACH-000331,-0.1838035165887161
ACH-000332,-0.20138794417253664
ACH-000334,-0.3110159499032593
ACH-000335,-0.3352716202364785
ACH-000336,-0.395553296234572
ACH-000337,-0.06881550120978955
ACH-000338,-0.3673578529790119
ACH-000339,-0.022647661295080643
ACH-000341,-0.3081939901463324
ACH-000348,-0.2565598483976404
ACH-000350,-0.05321413268214348
ACH-000352,-0.16223173173940902
ACH-000356,-0.4520238063155196
ACH-000361,-0.2145232634747715
ACH-000362,-0.13122188216870065
ACH-000363,-0.15371277709924552
ACH-000364,-0.03886854504912071
ACH-000365,-0.19152383911337087
ACH-000366,-0.14879904047248735
ACH-000368,-0.19730148760730146
ACH-000374,-0.17379050485104694
ACH-000375,-0.025148748749751173
