,HAUS8 (93323)
ACH-000004,-0.2610104636409039
ACH-000005,-0.5605073283187455
ACH-000007,-0.6399582878297467
ACH-000009,-0.5321846115208807
ACH-000011,-0.4866751211856088
ACH-000012,-0.5855841251943046
ACH-000013,-0.7588403679956075
ACH-000014,-0.6551658503502301
ACH-000015,-0.6196000657378601
ACH-000017,-0.6900632528382121
ACH-000018,-0.475887604464874
ACH-000019,-0.6403647758765953
ACH-000021,-0.6194919273293834
ACH-000022,-0.5826427842108513
ACH-000025,-0.6606400777707462
ACH-000028,-0.6144802547700712
ACH-000030,-0.6989848606950245
ACH-000035,-0.635928688144979
ACH-000036,-0.6596778965066917
ACH-000037,-0.3233760143524721
ACH-000039,-0.4609564888531079
ACH-000040,-0.4697353282185303
ACH-000041,-0.4614688264836794
ACH-000042,-0.6655904741119177
ACH-000045,-0.20301506026427849
ACH-000047,-0.5801839183199257
ACH-000052,-0.6627526822370015
ACH-000053,-0.5398778150669142
ACH-000054,-0.8122047446421977
ACH-000055,-0.3990461626532735
ACH-000060,-0.2833722331145632
ACH-000067,-0.6380388711414179
ACH-000070,-0.584196436421458
ACH-000075,-0.8769642500760201
ACH-000078,-0.4821886900707817
ACH-000082,-0.4532048171626805
ACH-000085,-0.7225344855658923
ACH-000086,-0.7615688400795033
ACH-000087,-0.4195855957864865
ACH-000092,-0.40319750527407133
ACH-000095,-0.431196544257731
ACH-000097,-0.6521103918882677
ACH-000098,-0.5935480605292734
ACH-000099,-0.4410891470444331
ACH-000108,-0.7470406155044937
ACH-000113,-0.5648711814308458
ACH-000116,-0.6605403424658389
ACH-000118,-0.5742761536896412
ACH-000120,-0.36808729065622814
ACH-000123,-0.6357940913668333
ACH-000127,-0.6554127823581715
ACH-000128,-0.3539738921298853
ACH-000132,-0.4684227843724759
ACH-000133,-0.4994871618396087
ACH-000137,-1.0636472488644269
ACH-000138,-0.4833897304194063
ACH-000142,-0.7282916394173458
ACH-000143,-0.608966649686696
ACH-000146,-0.5723824450260429
ACH-000148,-0.4761989870117788
ACH-000150,-0.4897887198785241
ACH-000152,-0.5605403413719551
ACH-000153,-0.5712143175169777
ACH-000159,-0.6197078819850584
ACH-000160,-0.8058451156870853
ACH-000163,-0.33009202728027903
ACH-000167,-1.002699512542868
ACH-000168,-0.6101950560036251
ACH-000169,-0.5288168412744642
ACH-000178,-0.606815069398416
ACH-000183,-0.5516060043759169
ACH-000188,-0.6567065479736979
ACH-000189,-0.21628800145838165
ACH-000190,-0.589326165956694
ACH-000198,-0.6185873215662356
ACH-000203,-0.8928891692841137
ACH-000204,-0.6756585467682413
ACH-000206,-0.6221725101648651
ACH-000207,-0.5329089019405162
ACH-000208,-0.6232790879583346
ACH-000210,-0.4771547965771512
ACH-000211,-0.6243875710340513
ACH-000215,-0.6132736532950391
ACH-000221,-0.8750185122696813
ACH-000222,-0.5223387034891561
ACH-000223,-0.7033663736779573
ACH-000226,-0.5806739286028886
ACH-000227,-0.6246339687174094
ACH-000228,-0.8079528572725544
ACH-000231,-0.5128581806757251
ACH-000232,-0.44619535521686815
ACH-000233,-0.5368553765891332
ACH-000234,-0.8082488220421555
ACH-000235,-0.5511731804489461
ACH-000237,-0.8403541732443583
ACH-000238,-0.5147444960453222
ACH-000242,-0.5156195271509774
ACH-000243,-0.6917727073496587
ACH-000244,-0.38311498967249136
ACH-000246,-0.6541963156264402
ACH-000248,-0.6703829297348137
ACH-000250,-0.6456219547009169
ACH-000251,-0.7938254815857294
ACH-000252,-0.4453385904401389
ACH-000253,-0.5864794004790328
ACH-000255,-0.6111033380047874
ACH-000256,-0.40052947405358863
ACH-000257,-0.4782851945547564
ACH-000258,-0.4878078746248071
ACH-000259,-0.6417829100603238
ACH-000260,-0.5938007328525897
ACH-000261,-0.6526361615790022
ACH-000262,-0.7423543441497107
ACH-000263,-0.5581153307040568
ACH-000264,-0.8801455052378387
ACH-000265,-0.5891657421804083
ACH-000266,-0.5448881283900399
ACH-000272,-0.5027377874047926
ACH-000274,-0.15694044967323334
ACH-000277,-0.9333663563864016
ACH-000278,-0.4309478690843484
ACH-000279,-0.4400713278172391
ACH-000280,-0.6085792306398156
ACH-000281,-0.5279513996549261
ACH-000288,-0.4387783471756471
ACH-000291,-0.6958029166047361
ACH-000293,-0.4084025959519914
ACH-000294,-0.4086401324922717
ACH-000295,-0.6032095508168243
ACH-000296,-0.5479461735576453
ACH-000302,-0.4488552697213915
ACH-000304,-0.5147111389611777
ACH-000307,-0.7667467749644636
ACH-000308,-0.39865023395606736
ACH-000310,-0.5354462061625979
ACH-000311,-0.3825569365394289
ACH-000312,-0.6006458034415391
ACH-000315,-0.6240326857462087
ACH-000316,-0.4503929886418893
ACH-000317,-0.12493791063752555
ACH-000318,-0.8507583224435353
ACH-000319,-0.4302110770156805
ACH-000320,-0.3396102604624457
ACH-000322,-0.6588411411717513
ACH-000323,-0.17494571214939708
ACH-000324,-0.6271546810745731
ACH-000329,-0.3888804793480281
ACH-000330,-0.7839903165114718
ACH-000331,-0.6958907579707856
ACH-000332,-0.4035539001628673
ACH-000334,-0.3875224727958728
ACH-000335,-0.4107274357970288
ACH-000336,-0.8459510292080143
ACH-000337,-0.7037358002896964
ACH-000338,-0.3673962146568857
ACH-000339,-0.5959295447773962
ACH-000341,-0.8474100171630313
ACH-000348,-0.6044184877387121
ACH-000350,-0.2980258678143302
ACH-000352,-0.7221041652572189
ACH-000356,-0.46047457989281104
ACH-000361,-0.5974734088604716
ACH-000362,-0.6405061427401587
ACH-000363,-0.5305242803227691
ACH-000364,-0.7859546356499281
ACH-000365,-0.4906175211209286
ACH-000366,-0.5769630053823346
ACH-000368,-0.3053417050168353
ACH-000374,-0.6364063635852863
ACH-000375,-0.6706911735888619
ACH-000376,-0.4013130681406421
ACH-000381,-0.6875379015279025
ACH-000383,-0.5705055587918056
ACH-000387,-0.40194859996886734
ACH-000389,-0.3679873178858882
ACH-000390,-0.6509460070292212
ACH-000393,-0.6506933800877938
ACH-000395,-0.31585513158057954
ACH-000396,-0.3285831317038822
ACH-000397,-0.6301303904594466
ACH-000401,-0.5446248059108754
ACH-000402,-0.7022197868881682
ACH-000403,-0.5833093185529039
ACH-000404,-0.8354366148614812
ACH-000406,-0.6269136287438167
ACH-000407,-0.3538819882596597
ACH-000408,-0.5927799438521392
ACH-000410,-0.698494236258871
ACH-000411,-0.5052530688809208
ACH-000414,-0.9089647916341114
ACH-000415,-0.6774711301022088
ACH-000416,-0.822734544161116
ACH-000420,-0.687904914652368
ACH-000421,-0.46951054462301
ACH-000424,-0.4428564537191522
ACH-000425,-0.5870056896974953
ACH-000426,-0.4528174751487504
ACH-000427,-0.9762193577065124
ACH-000433,-0.5918030995291917
ACH-000435,-0.1741948145523527
ACH-000436,-0.4320255417026522
ACH-000444,-0.7647742627424675
ACH-000445,-0.6215221933886866
ACH-000448,-0.5736318743943783
ACH-000450,-0.5330110353069052
ACH-000452,-0.6785623564237494
ACH-000454,-0.3823996714183477
ACH-000458,-0.7478174776841551
ACH-000459,-0.4171577417069601
ACH-000460,-0.7388587742027755
ACH-000461,-0.46054938989369
ACH-000463,-0.5616082203412359
ACH-000464,-0.8035508978294333
ACH-000466,-0.7052935937186906
ACH-000467,-0.6746619268256387
ACH-000468,-0.4941255425121636
ACH-000469,-0.644608100288531
ACH-000470,-0.4286685091461749
ACH-000471,-0.6370826353960786
ACH-000472,-0.8387022451331934
ACH-000473,-0.515895848145937
ACH-000475,-0.6941831408701287
ACH-000476,-0.9078359976456076
ACH-000477,-0.1537610247390629
ACH-000479,-0.26631737655621
ACH-000480,-0.4652270078835491
ACH-000481,-0.6643357417152782
ACH-000483,-0.5602844766691092
ACH-000484,-0.5165812624578973
ACH-000485,-0.6409904028861914
ACH-000486,-0.5343057616426306
ACH-000487,-0.4370584622097584
ACH-000488,-0.596672501304548
ACH-000490,-0.5430392926374625
ACH-000491,-0.4062404816544112
ACH-000495,-0.4193951228448084
ACH-000496,-0.6156517594081549
ACH-000499,-0.1633265882857717
ACH-000500,-0.6678678963019559
ACH-000502,-0.6173935054826489
ACH-000503,-0.7021419360903536
ACH-000505,-0.5323250137632397
ACH-000507,-0.4395623565048615
ACH-000510,-0.5319225483564394
ACH-000511,-0.3698838644672021
ACH-000512,-0.5945686458556938
ACH-000516,-0.549983159252749
ACH-000517,-0.6672751806632746
ACH-000518,-0.7398857110447555
ACH-000520,-0.5281719335010242
ACH-000521,-0.5496986594329883
ACH-000522,-0.61325266746726
ACH-000524,-0.6734407390041144
ACH-000527,-0.42830055193318745
ACH-000528,-0.7237482823580182
ACH-000537,-0.40097753575659056
ACH-000541,-0.4679278018664306
ACH-000542,-0.4308014331452048
ACH-000544,-0.5455996655755859
ACH-000545,-0.6427197700716449
ACH-000547,-0.9171757678740752
ACH-000548,-0.6286129863356115
ACH-000549,-0.6345051974807279
ACH-000550,-0.5361701209857284
ACH-000552,-0.6631097690853089
ACH-000556,-0.6686474173993686
ACH-000557,-0.7150425445911638
ACH-000569,-0.4862848064688438
ACH-000570,-0.44755439059406654
ACH-000571,-0.6363609075826897
ACH-000573,-0.5949686563760529
ACH-000576,-0.3979659032731193
ACH-000579,-0.6596913687614692
ACH-000580,-0.7002173924128996
ACH-000584,-0.4593493276274946
ACH-000585,-0.6363635733481484
ACH-000588,-0.5034639775384201
ACH-000589,-0.9073043942379829
ACH-000591,-0.6711892114381133
ACH-000593,-0.4391110586916434
ACH-000600,-0.4203085417798013
ACH-000601,-0.4537699727794377
ACH-000605,-0.6832079202037799
ACH-000606,-0.6762161887119081
ACH-000608,-0.6254776838591383
ACH-000614,-0.4537709004652225
ACH-000616,-0.4166003278532494
ACH-000618,-0.6572778381461247
ACH-000619,-0.5020037115161248
ACH-000620,-0.5917907640380711
ACH-000621,-0.5575102970122338
ACH-000622,-0.6365924473896291
ACH-000623,-0.6538858672338742
ACH-000624,-0.6258284710424331
ACH-000627,-0.6373179325693566
ACH-000630,-0.6005339305142553
ACH-000631,-0.6488272261850311
ACH-000632,-0.659085510992153
ACH-000633,-0.2504443936395757
ACH-000637,-0.6958692580528495
ACH-000638,-0.40615004668229415
ACH-000646,-0.5239074818649337
ACH-000647,-0.6014687769070648
ACH-000648,-0.7387038692907385
ACH-000649,-0.3868933771312323
ACH-000651,-0.4934103629144643
ACH-000652,-0.2549735021586759
ACH-000653,-0.5503446253029265
ACH-000657,-0.6184440106030508
ACH-000658,-0.5039436215126649
ACH-000661,-0.7471403764288698
ACH-000662,-0.6223062130296069
ACH-000663,-0.5160433104586412
ACH-000665,-0.6721559411713903
ACH-000671,-0.6209453630650584
ACH-000672,-0.7921364171232329
ACH-000673,-0.5126355031456482
ACH-000676,-0.5327613519245461
ACH-000677,-0.4193307001378075
ACH-000681,-0.7048810665806414
ACH-000683,-0.5015174315767713
ACH-000684,-0.5887114367509405
ACH-000688,-0.7370636303278965
ACH-000693,-0.4858555172120725
ACH-000694,-0.5865755546191245
ACH-000695,-0.5674122561089203
ACH-000696,-0.7640141659570261
ACH-000697,-0.8127464197192831
ACH-000699,-0.7049074946173248
ACH-000701,-0.8181968718114918
ACH-000706,-0.7780429771145091
ACH-000711,-0.7106450760087336
ACH-000713,-0.5256408004896373
ACH-000714,-0.4697040883379353
ACH-000718,-0.3976922302061914
ACH-000720,-0.6215009712025379
ACH-000721,-0.4589446699312488
ACH-000724,-0.9681258473434824
ACH-000725,-0.8308645624851158
ACH-000732,-0.5028578217351307
ACH-000734,-0.679815555371891
ACH-000735,-0.6366005587275262
ACH-000736,-0.6270926093992855
ACH-000738,-0.5429278250735246
ACH-000746,-0.374580495092704
ACH-000747,-0.75551722380275
ACH-000748,-0.5201337482732906
ACH-000753,-0.5458337713191952
ACH-000756,-0.7513379454648274
ACH-000757,-0.4575342250254265
ACH-000758,-0.4600401236916065
ACH-000760,-0.5339994487626694
ACH-000762,-0.4727903480943468
ACH-000763,-0.6867581808896583
ACH-000764,-1.0556953405448923
ACH-000765,-0.6654076246078561
ACH-000766,-0.5732736518875324
ACH-000767,-0.6670022099992523
ACH-000768,-0.4574300378077486
ACH-000769,-0.6111738034234608
ACH-000770,-0.4861101481129281
ACH-000771,-0.5798385658578881
ACH-000773,-0.259043800884505
ACH-000776,-0.3634220746984842
ACH-000777,-0.32526798077235164
