,SMU1 (55234)
ACH-000004,-1.8032667103441882
ACH-000005,-1.8889138324413877
ACH-000007,-1.3673865744770692
ACH-000009,-1.5226995907477647
ACH-000011,-1.1985189765588469
ACH-000012,-1.396937257279318
ACH-000013,-1.519251270141972
ACH-000014,-1.4910453123040333
ACH-000015,-1.4569952211913892
ACH-000017,-1.5036389071058909
ACH-000018,-1.3973933716865825
ACH-000019,-1.5640344547742502
ACH-000021,-1.4948576032899443
ACH-000022,-1.4481559396649737
ACH-000025,-1.3578990199751837
ACH-000028,-1.431000342971088
ACH-000030,-1.5179265816713752
ACH-000035,-1.2415959156027092
ACH-000036,-1.3103126081835477
ACH-000037,-1.493153551833868
ACH-000039,-1.4502759083333607
ACH-000040,-1.443146328511706
ACH-000041,-1.243612298881812
ACH-000042,-1.522086556115781
ACH-000045,-1.3921813872544149
ACH-000047,-1.5746546015349066
ACH-000052,-1.3723868241569068
ACH-000053,-1.393118129978551
ACH-000054,-1.3314467928380491
ACH-000055,-1.5139054637971192
ACH-000060,-1.4071902224506263
ACH-000067,-1.139451100084392
ACH-000070,-1.4858468623604828
ACH-000075,-1.3631169678529098
ACH-000078,-1.5633439907831668
ACH-000082,-1.3171616060203566
ACH-000085,-1.5436633275878695
ACH-000086,-1.3279683702396443
ACH-000087,-1.4060736976851045
ACH-000092,-1.3296053118555502
ACH-000095,-1.440258335546421
ACH-000097,-1.6104564815374143
ACH-000098,-1.4997432216528852
ACH-000099,-1.3092081808075218
ACH-000108,-1.5298877047208486
ACH-000113,-1.3870354793110051
ACH-000116,-1.2469603554155264
ACH-000118,-1.4197623103337662
ACH-000120,-1.2565189936613752
ACH-000123,-1.4496670220720675
ACH-000127,-1.4828680994532235
ACH-000128,-1.13849716730371
ACH-000132,-1.5085721632182991
ACH-000133,-1.3335464606101408
ACH-000137,-1.4644860751053483
ACH-000138,-1.3235205833042176
ACH-000142,-1.2456599536861954
ACH-000143,-1.3668683871851712
ACH-000146,-1.2399085741950395
ACH-000148,-1.5336861675669051
ACH-000150,-1.30533541030625
ACH-000152,-1.3455034295933226
ACH-000153,-1.1658166942669204
ACH-000159,-1.4474556176639553
ACH-000160,-1.922290971888728
ACH-000163,-1.4721721044616458
ACH-000167,-2.4550000965338468
ACH-000168,-1.3584038173568058
ACH-000169,-1.4235231357453622
ACH-000178,-1.2526693080622835
ACH-000183,-1.3684649744876207
ACH-000188,-1.404375010330129
ACH-000189,-1.4241658369786632
ACH-000190,-1.3208504546539612
ACH-000198,-1.4702725337610174
ACH-000203,-1.9301929984556447
ACH-000204,-1.3736606632630228
ACH-000206,-1.4050605007067032
ACH-000207,-1.7895032870716965
ACH-000208,-1.5239948938445078
ACH-000210,-1.385804572556239
ACH-000211,-1.1464881251858547
ACH-000215,-1.5694619179642022
ACH-000221,-1.9111180930314975
ACH-000222,-1.573836941127406
ACH-000223,-1.6695050091513473
ACH-000226,-1.2485044727460777
ACH-000227,-1.3963726994119643
ACH-000228,-1.5985379866254
ACH-000231,-1.3430884519767872
ACH-000232,-1.5272611133034328
ACH-000233,-1.4802897957167571
ACH-000234,-1.2283660217673311
ACH-000235,-1.4574741300815577
ACH-000237,-1.4297980764200888
ACH-000238,-1.6927193312488684
ACH-000242,-1.720670394185003
ACH-000243,-1.2786565371784464
ACH-000244,-1.3239879332302658
ACH-000246,-1.312796669987759
ACH-000248,-1.346856998715797
ACH-000250,-1.3645800242336927
ACH-000251,-1.4713044921921108
ACH-000252,-1.3934986130102682
ACH-000253,-1.4157799620573557
ACH-000255,-1.1526464969541157
ACH-000256,-1.6592452477146522
ACH-000257,-1.5146931710831704
ACH-000258,-1.6424118956760625
ACH-000259,-1.4042879116358098
ACH-000260,-1.3215450876610837
ACH-000261,-1.2886616693277142
ACH-000262,-1.272844488616059
ACH-000263,-1.4339530710176338
ACH-000264,-1.565020748271812
ACH-000265,-1.464172798335024
ACH-000266,-1.2451108225658638
ACH-000272,-1.4575624851489333
ACH-000274,-1.4809747673664588
ACH-000277,-1.7094035175602251
ACH-000278,-1.5348219583211078
ACH-000279,-1.6220576587741196
ACH-000280,-1.448640071436495
ACH-000281,-1.3189737133619936
ACH-000288,-1.424225464676616
ACH-000291,-1.3766551326354728
ACH-000293,-1.2552002307654513
ACH-000294,-1.319096985738157
ACH-000295,-1.7837916817076132
ACH-000296,-1.5763908162041842
ACH-000302,-1.379878907984858
