,DPY30 (84661)
ACH-000004,-0.3468682889829523
ACH-000005,-0.2687596591654665
ACH-000007,-0.4665466760040328
ACH-000009,-0.28953973049771703
ACH-000011,-0.4652683293342639
ACH-000012,-0.22603106187338656
ACH-000013,-0.3245404844643369
ACH-000014,-0.4155125386297546
ACH-000015,-0.4773906228248079
ACH-000017,-0.2491574312908269
ACH-000018,-0.3518407018431716
ACH-000019,-0.08910352038990321
ACH-000021,-0.3183360972703606
ACH-000022,-0.0641400522610759
ACH-000025,-0.418029159900816
ACH-000028,-0.1491646340535727
ACH-000030,-0.264457865903269
ACH-000035,-0.4451819681798788
ACH-000036,-0.2019362816818577
ACH-000037,-0.4853034744507767
ACH-000039,-0.15967054549894694
ACH-000040,-0.17757639736223446
ACH-000041,-0.4838173298844281
ACH-000042,-0.4620712379725003
ACH-000045,-0.4093942987809859
ACH-000047,-0.3907588427171249
ACH-000052,-0.4260949311038796
ACH-000053,-0.3024847628565203
ACH-000054,-0.3214002005401444
ACH-000055,-0.2944518417114518
ACH-000060,-0.3892215728591483
ACH-000067,-0.2660560762235553
ACH-000070,-0.3684914753881503
ACH-000075,-0.17600822560719515
ACH-000078,-0.2689491763948353
ACH-000082,-0.3041233705665781
ACH-000085,-0.68859560286113
ACH-000086,-0.18430289285946685
ACH-000087,-0.4044615762144744
ACH-000092,-0.42199681150838064
ACH-000095,-0.2859524373182955
ACH-000097,-0.3671346925407317
ACH-000098,-0.28228417445385035
ACH-000099,-0.22837430180793816
ACH-000108,-0.3781248528484448
ACH-000113,-0.5720023286058229
ACH-000116,-0.6246689040970067
ACH-000118,-0.4972855530787661
ACH-000120,-0.4161320702022768
ACH-000123,-0.3569720706140552
ACH-000127,-0.2498393654684788
ACH-000128,-0.5907350884288372
ACH-000132,-0.3446551637606629
ACH-000133,-0.1975627708185022
ACH-000137,-0.4069237548677569
ACH-000138,-0.3123478260426256
ACH-000142,-0.2746536395105229
ACH-000143,-0.3282186595687168
ACH-000146,-0.19317189836850115
ACH-000148,-0.2587043872351742
ACH-000150,-0.40243418567915373
ACH-000152,-0.14335838063499046
ACH-000153,-0.09880579875715527
ACH-000159,-0.32138838995618346
ACH-000160,-0.037339680027964256
ACH-000163,-0.23667021495691515
ACH-000167,0.2693283964874459
ACH-000168,-0.07726974606457805
ACH-000169,-0.2614693117378455
ACH-000178,-0.553203943181058
ACH-000183,-0.4059894996489377
ACH-000188,-0.3902497914821089
ACH-000189,-0.4942492593694785
ACH-000190,-0.08943490701000349
ACH-000198,-0.3012633930270541
ACH-000203,-0.5053416664902615
ACH-000204,-0.2466863231549341
ACH-000206,-0.39427762274179373
ACH-000207,-0.3280623247409593
ACH-000208,-0.6002346362271201
ACH-000210,-0.0801970133637304
ACH-000211,-0.2565863005491561
ACH-000215,-0.25729694502803435
ACH-000221,-0.31320075341162834
ACH-000222,-0.216629827959358
ACH-000223,-0.2593298927623759
ACH-000226,-0.387356183789794
ACH-000227,-0.2499286960339376
ACH-000228,-0.2421230548929795
ACH-000231,-0.14558035147281742
ACH-000232,-0.19361747874860646
ACH-000233,-0.14875297117809447
