,STAT5A (6776)
ACH-000004,-0.7387973260359946
ACH-000005,-0.6813663447094988
ACH-000007,-0.437351887568516
ACH-000009,-0.6788385478552724
ACH-000011,-0.4460868965935522
ACH-000012,-0.6407350650065996
ACH-000013,-0.4124769228365416
ACH-000014,-0.50513226144671
ACH-000015,-0.2332084530506623
ACH-000017,-0.6228391294349279
ACH-000018,-0.4770355836071981
ACH-000019,-0.3205150167032113
ACH-000021,-0.3992872888317464
ACH-000022,-0.3603309758209741
ACH-000025,-0.28954073305927897
ACH-000028,-0.4654398532137767
ACH-000030,-0.4645396772306065
ACH-000035,-0.34179651826190416
ACH-000036,-0.5851931555821959
ACH-000037,-0.4764561001867954
ACH-000039,-0.4117768868472135
ACH-000040,-0.4694463795546743
ACH-000041,-0.6096582372061671
ACH-000042,-0.4719980817275466
ACH-000045,-0.7190347995549385
ACH-000047,-0.5675792349645101
ACH-000052,-0.4347300589623631
ACH-000053,-0.57400753503036
ACH-000054,-0.5288996648790554
ACH-000055,-0.5367258362413595
ACH-000060,-0.5647425689849459
ACH-000067,-0.5205101634174574
ACH-000070,-0.5309647220270525
ACH-000075,-0.5865266817899343
ACH-000078,-0.5965460816699599
ACH-000082,-0.5070370142412534
ACH-000085,-0.12386748362286723
ACH-000086,-0.6541252567229727
ACH-000087,-0.223930144451182
ACH-000092,-0.5258346574273383
ACH-000095,-0.5323620349118015
ACH-000097,-0.487348935807523
ACH-000098,-0.5164412374290356
ACH-000099,-0.6534313462707869
ACH-000108,-0.5418273302200977
ACH-000113,-0.43181858893046815
ACH-000116,-0.4796201945957276
ACH-000118,-0.3862479461880885
ACH-000120,-0.3996734930436802
ACH-000123,-0.4361783900490732
ACH-000127,-0.4241245732984689
ACH-000128,-0.5033829606265966
ACH-000132,-0.5329459814710967
ACH-000133,-0.29955591959081884
ACH-000137,-0.3543792321194721
ACH-000138,-0.5973464387730042
ACH-000142,-0.5295037185960975
ACH-000143,-0.6023857798226203
ACH-000146,-0.4173787274341885
ACH-000148,-0.5555613511259876
ACH-000150,-0.35286807914964474
ACH-000152,-0.4538116490642988
ACH-000153,-0.7607181690550265
ACH-000159,-0.6388250797687554
ACH-000160,-0.38407096226522497
ACH-000163,-0.43459546585498093
ACH-000167,-0.503136363671237
ACH-000168,-0.6986664050805627
ACH-000169,-0.4387181624889313
ACH-000178,-0.5406647081876922
ACH-000183,-0.3460058191219363
ACH-000188,-0.4343949464011884
ACH-000189,-0.3336918839790813
ACH-000190,-0.493315368442951
ACH-000198,-0.7248286670638594
ACH-000203,-0.3989289613541254
ACH-000204,-0.17462236966858466
ACH-000206,-0.5128414885817218
ACH-000207,-0.4189060168506449
ACH-000208,-0.613003318475572
ACH-000210,-0.35729752843035145
ACH-000211,-0.5697430707842861
ACH-000215,-0.5370256480679003
ACH-000221,-0.5330279818925513
ACH-000222,-0.2934279895188507
ACH-000223,-0.4175247920420056
ACH-000226,-0.5445092498635333
ACH-000227,-0.6341038332086922
ACH-000228,-0.6036074198163408
ACH-000231,-0.5615310397642479
ACH-000232,-0.5418571123046775
ACH-000233,-0.31546561248916904
ACH-000234,-0.4983346029711955
ACH-000235,-0.4252705679696975
ACH-000237,-0.3792639188803037
ACH-000238,-0.5528915376851964
ACH-000242,-0.3289477809015648
ACH-000243,-0.42079610351009816
ACH-000244,-0.5264564423685951
ACH-000246,-0.3853983672340852
ACH-000248,-0.6174217938305218
ACH-000250,-0.6067376342330012
ACH-000251,-0.5537712546009032
ACH-000252,-0.3338820072499114
ACH-000253,-0.5122147227210138
ACH-000255,-0.4455765594517563
ACH-000256,-0.5875050977352787
ACH-000257,-0.5964093544527109
ACH-000258,-0.5713292817637641
ACH-000259,-0.6233463028829482
ACH-000260,-0.3685832462096071
ACH-000261,-0.4571165343174573
ACH-000262,-0.5254875230760915
ACH-000263,-0.3332817653280701
ACH-000264,-0.6363119051219182
ACH-000265,-0.5420320357284971
ACH-000266,-0.4727115762764408
ACH-000272,-0.6373965535772855
ACH-000274,-0.6921495974715823
ACH-000277,-0.349722626698492
ACH-000278,-0.3872814443051808
ACH-000279,-0.5356683650989608
ACH-000280,-0.480184889344525
ACH-000281,-0.5487882511118412
ACH-000288,-0.4549988109697371
ACH-000291,-0.7681264266462339
ACH-000293,-0.44809057671105657
ACH-000294,-0.6296804765716209
ACH-000295,-0.4691746819698971
ACH-000296,-0.6421466226782971
ACH-000302,-0.6049379906451042
ACH-000304,-0.7241576737445642
ACH-000307,-0.5032959349909771
ACH-000308,-0.4833703672562433
ACH-000310,-0.8045033882643605
ACH-000311,-0.36917838778959855
ACH-000312,-0.44941056648634137
ACH-000315,-0.22202935979424746
ACH-000316,-0.4429856982500133
ACH-000317,-0.5457209992247007
ACH-000318,-0.3869866206183902
ACH-000319,-0.3838313899380024
ACH-000320,-0.344639244030212
ACH-000322,-0.5900338706784912
ACH-000323,-0.3379253485451601
ACH-000324,-0.6034659815888146
ACH-000329,-0.6315316393439676
ACH-000330,-0.5788564407207887
ACH-000331,-0.4803327437208789
ACH-000332,-0.5930958655297696
ACH-000334,-0.585256527531095
ACH-000335,-0.349442670985664
ACH-000336,-0.5076428695655988
ACH-000337,-0.4553902313511607
ACH-000338,-0.2779912759297902
