,TADA2A (6871)
ACH-000004,-0.31547159466493585
ACH-000005,-0.673149758614918
ACH-000007,-0.5715295059854725
ACH-000009,-0.5195823519923124
ACH-000011,-0.4971707728242245
ACH-000012,-0.44240947599726427
ACH-000013,-0.6750267670791825
ACH-000014,-0.4710334525546274
ACH-000015,-0.2710422758931849
ACH-000017,-0.2795783302671845
ACH-000018,-0.4420015992067346
ACH-000019,-0.6458819661479663
ACH-000021,-0.3793014545975767
ACH-000022,-0.3267700595942933
ACH-000025,-0.5055951301166027
ACH-000028,-0.5555851588164286
ACH-000030,-0.4259860330857142
ACH-000035,-0.5025480601481791
ACH-000036,-0.4863802734314494
ACH-000037,-0.3687565743984073
ACH-000039,-0.4263130548580605
ACH-000040,-0.5754604933861027
ACH-000041,-0.4000234131666903
ACH-000042,-0.2855867719962223
ACH-000045,-0.5213715184992801
ACH-000047,-0.6524225776983392
ACH-000052,-0.9928438411269372
ACH-000053,-0.21074069136352874
ACH-000054,-0.473963098041967
ACH-000055,-0.4283201571901146
ACH-000060,-0.4841771181062495
ACH-000067,-0.5559152766419744
ACH-000070,-0.6258192775392212
ACH-000075,-0.6456763533233203
ACH-000078,-0.37295287990103604
ACH-000082,-0.3638000933277325
ACH-000085,-0.4493428168792991
ACH-000086,-0.4020735351551085
ACH-000087,-0.6497164717682045
ACH-000092,-0.2095868551131137
ACH-000095,-0.3726332682085531
ACH-000097,-0.4551422689124196
ACH-000098,-0.31607246250588794
ACH-000099,-0.2871027683110668
ACH-000108,-0.5510834471430993
ACH-000113,-0.4070773445460181
ACH-000116,-0.4429740038421487
ACH-000118,-0.2321859791498995
ACH-000120,-0.5243111917506732
ACH-000123,-0.569964030716379
ACH-000127,-0.20513714126582974
ACH-000128,-0.4742065657357605
ACH-000132,-0.558624773003318
ACH-000133,-0.4511095451112046
ACH-000137,-0.9222497331458824
ACH-000138,-0.3845501386853836
ACH-000142,-0.3969249359386308
ACH-000143,-0.669049885103447
ACH-000146,-0.310740094033424
ACH-000148,-0.3476052803383619
ACH-000150,-0.31441989881938964
ACH-000152,-0.6900767921473707
ACH-000153,-0.25595748862055995
ACH-000159,-0.5556857269244463
ACH-000160,-0.26183229629981136
ACH-000163,-0.4705687819882128
ACH-000167,-0.2005051260139928
ACH-000168,-0.481116645001325
ACH-000169,-0.5502373174151725
ACH-000178,-0.3603816289364626
ACH-000183,-0.3770587288514436
ACH-000188,-0.5158958200302067
ACH-000189,-0.11795257554063672
ACH-000190,-0.14912519097291912
ACH-000198,-0.6458728631333871
ACH-000203,-0.5925985861893849
ACH-000204,-0.5881257652865256
ACH-000206,-0.3623918828553741
ACH-000207,-0.3864698803630829
ACH-000208,-0.6239746662966945
ACH-000210,-0.4617333389234666
ACH-000211,-0.5858115333674633
ACH-000215,-0.5007257345092895
ACH-000221,-0.4030521786158554
ACH-000222,-0.2427162309436748
ACH-000223,-0.4308897788894693
ACH-000226,-0.3141291052156797
ACH-000227,-0.5207562425648549
ACH-000228,-0.5978239678260104
ACH-000231,-0.5707578719621417
ACH-000232,-0.3125051700140897
ACH-000233,-0.3055113256252033
ACH-000234,-0.358464210580247
ACH-000235,-0.3981429154634252
ACH-000237,-0.5264492182221214
ACH-000238,-0.3546319997029603
ACH-000242,-0.4783926327711408
ACH-000243,-0.5811623502837988
ACH-000244,-0.4390260709012491
ACH-000246,-0.4676152799921212
ACH-000248,-0.3357311177868341
ACH-000250,-0.33439855884282554
ACH-000251,-0.5906522952697306
ACH-000252,-0.4930037867616239
ACH-000253,-0.31638686218996354
ACH-000255,-0.5770470910160694
ACH-000256,-0.464979634944209
ACH-000257,-0.4365191614641277
ACH-000258,-0.4555724109363369
ACH-000259,-0.5373869825292581
ACH-000260,-0.36782835335913777
ACH-000261,-0.3495147946262797
ACH-000262,-0.7493841516729054
ACH-000263,-0.268279454266105
ACH-000264,-0.2192363477729715
ACH-000265,-0.3943790613428419
ACH-000266,-0.4553500842164144
ACH-000272,-0.4756702494926674
ACH-000274,-0.3676963694092785
ACH-000277,-0.5945555553067319
ACH-000278,-0.5879627962831505
ACH-000279,-0.4436924104918083
ACH-000280,-0.1869721430196514
ACH-000281,-0.5040118339806839
ACH-000288,-0.5917368772054875
ACH-000291,-0.7497662707271279
ACH-000293,-0.4859781143699928
ACH-000294,-0.3905563163210235
ACH-000295,-0.3620970070428068
ACH-000296,-0.4919354403081184
ACH-000302,-0.4900200637500622
ACH-000304,-0.5053675217783445
ACH-000307,-0.4763411219381752
ACH-000308,-0.3597396824332348
ACH-000310,-0.15552033459686113
ACH-000311,-0.3562357784866668
ACH-000312,-0.4089300203589171
ACH-000315,-0.5594582698226658
ACH-000316,-0.6778027772344168
ACH-000317,-0.604643063504484
ACH-000318,-0.3378524876005509
ACH-000319,-0.711811277078003
ACH-000320,-0.3164339645124259
ACH-000322,-0.6738267084909481
ACH-000323,-0.5761790324982988
ACH-000324,-0.5380615663629312
ACH-000329,-0.4098370803590202
ACH-000330,-0.5904685659761255
ACH-000331,-0.5349143248876066
ACH-000332,-0.35877019506222474
ACH-000334,-0.4450581895143589
ACH-000335,-0.6196346886817843
ACH-000336,-0.2351506435804633
ACH-000337,-0.6282917797396066
ACH-000338,-0.5464277911937875
ACH-000339,-0.4714998854486418
ACH-000341,-0.2625780765304589
ACH-000348,-0.4847454364309565
ACH-000350,-0.3047235207507419
ACH-000352,-0.4691403016037727
ACH-000356,-0.5072123100185181
ACH-000361,-0.4918491027885907
ACH-000362,-0.40272401314824025
ACH-000363,-0.3860671964424325
ACH-000364,-0.4096377057622165
ACH-000365,-0.5252503671625262
ACH-000366,-0.4471098821228216
ACH-000368,-0.33300488421981744
ACH-000374,-0.4337837475513969
ACH-000375,-0.2910098093568908
ACH-000376,-0.3470823456767163
ACH-000381,-0.5861633984621192
ACH-000383,-0.5072253832026117
ACH-000387,-0.40920991026961895
ACH-000389,-0.40081627771146855
ACH-000390,-0.42056942570217537
ACH-000393,-0.4538564192533713
ACH-000395,-0.3361692229650997
ACH-000396,-0.4019181637144947
ACH-000397,-0.3924552881237671
ACH-000401,-0.2720771720885041
ACH-000402,-0.2363291440434665
ACH-000403,-0.3531172443017241
ACH-000404,-0.8709606298178566
ACH-000406,-0.2178580345874184
ACH-000407,-0.3776422542534771
ACH-000408,-0.4028221761902352
ACH-000410,-0.5232435727544535
ACH-000411,-0.5406316490929193
ACH-000414,-0.5004628747286005
ACH-000415,-0.4394043923399049
ACH-000416,-0.4337278569561761
ACH-000420,-0.2592332134522166
ACH-000421,-0.4382097235804917
ACH-000424,-0.6506264550691511
ACH-000425,-0.44430658398698203
ACH-000426,-0.4108304578485549
ACH-000427,-0.6456620212439305
ACH-000433,-0.43613835228193226
ACH-000435,-0.496656698081277
ACH-000436,-0.4795888487412025
ACH-000444,-0.5881149578280572
ACH-000445,-0.22424555546882285
ACH-000448,-0.31936372934561713
ACH-000450,-0.13546235157080874
ACH-000452,-0.3106737108398923
ACH-000454,-0.3201963884067929
ACH-000458,-0.5502610681462378
ACH-000459,-0.4535449876354465
ACH-000460,-0.4897007263229504
ACH-000461,-0.261888795522789
ACH-000463,-0.331274050063222
ACH-000464,-0.3496392850509009
ACH-000466,-0.45292747030889
ACH-000467,-0.4672286691126572
ACH-000468,-0.28996059852381395
ACH-000469,-0.5343337477258369
ACH-000470,-0.5318400589458082
ACH-000471,-0.33003219461513644
ACH-000472,-0.31086550267615753
ACH-000473,-0.4029173420237289
ACH-000475,-0.5540302013513745
ACH-000476,-0.5424013988149708
ACH-000477,-0.2860525670012242
ACH-000479,-0.5936225101300465
ACH-000480,-0.469775045027645
ACH-000481,-0.3670487307211627
ACH-000483,-0.3952894479203798
ACH-000484,-0.1551192867682146
ACH-000485,-0.2983167644211951
ACH-000486,-0.4185298400841091
ACH-000487,-0.4680759516560867
ACH-000488,-0.5018808455337976
ACH-000490,-0.34025387252507583
ACH-000491,-0.3240679728405265
ACH-000495,-0.3089933522945849
ACH-000496,-0.5648673916350502
ACH-000499,-0.350489112058043
ACH-000500,-0.1972878302989496
ACH-000502,-0.4683269879638389
ACH-000503,-0.40666870862301097
ACH-000505,-0.3404351417622651
ACH-000507,-0.28278154156335444
ACH-000510,-0.4697432878564473
ACH-000511,-0.27238706528872697
ACH-000512,-0.2486366768582879
ACH-000516,-0.5399882325115487
ACH-000517,-0.4213157655109675
ACH-000518,-0.5697471119879685
ACH-000520,-0.2861655982888788
ACH-000521,-0.5300773409066843
ACH-000522,-0.5948835488627353
ACH-000524,-0.4162694163565056
ACH-000527,-0.4350032676277543
ACH-000528,-0.3368754825599509
ACH-000537,-0.4364519746751781
ACH-000541,-0.5749978742199078
ACH-000542,-0.4720489415992111
ACH-000544,-0.6645836377896828
ACH-000545,-0.5350117686937869
ACH-000547,-0.2840510146435538
ACH-000548,-0.33504912601421843
ACH-000549,-0.7257386970125953
ACH-000550,-0.2490600659597732
ACH-000552,-0.42023398466364265
ACH-000556,-0.5241599865012341
ACH-000557,-0.42732360703919603
ACH-000569,-0.7579938050984761
ACH-000570,-0.361146844342983
ACH-000571,-0.2859404957810041
ACH-000573,-0.3829927731422902
ACH-000576,-0.2978630292552211
ACH-000579,-0.25537064639287393
ACH-000580,-0.30309927113809504
ACH-000584,-0.5169900203428132
ACH-000585,-0.3990426006847936
ACH-000588,-0.4637231234718933
ACH-000589,-0.6397325833989037
ACH-000591,-0.6496521059134206
ACH-000593,-0.3638291497994121
ACH-000600,-0.26633543302928936
ACH-000601,-0.34417657017391096
ACH-000605,-0.4659956163395786
ACH-000606,-0.3395810266792389
ACH-000608,-0.4259474865685756
ACH-000614,-0.30384848743202136
ACH-000616,-0.4278970355236983
ACH-000618,-0.48759286388416795
ACH-000619,-0.31491166573043555
ACH-000620,-0.4003153717010773
ACH-000621,-0.3638804123125491
ACH-000622,-0.3239950049139033
ACH-000623,-0.372309237776754
ACH-000624,-0.5193250781035452
ACH-000627,-0.5598018894000657
ACH-000630,-0.31531140931423424
ACH-000631,-0.3384327229547008
ACH-000632,-0.6181905893780142
ACH-000633,-0.21224522107604288
ACH-000637,-0.5673433044699115
ACH-000638,-0.6082148485621414
ACH-000646,-0.5456589234861267
ACH-000647,-0.4200469823704175
ACH-000648,-0.38621889662586784
ACH-000649,-0.3969326817631159
ACH-000651,-0.3974763987934893
ACH-000652,-0.3419274891749925
ACH-000653,-0.3455485134195318
ACH-000657,-0.4419256780963219
ACH-000658,-0.5178902810398897
ACH-000661,-0.39105911371958013
ACH-000662,-0.7104134548538333
ACH-000663,-0.2800837809927883
ACH-000665,-0.4482253052214496
ACH-000671,-0.6869543704467597
ACH-000672,-0.4527771298278353
ACH-000673,-0.3399956462086272
ACH-000676,-0.4481591100497133
ACH-000677,-0.4580600997346819
ACH-000681,-0.6139680759394192
ACH-000683,-0.3076270760167161
ACH-000684,-0.6011304934979775
ACH-000688,-0.7078722672612308
ACH-000693,-0.24467683807815294
ACH-000694,-0.5284827691511995
ACH-000695,-0.10095116320448984
ACH-000696,-0.5815011698654611
ACH-000697,-0.40770315071269264
ACH-000699,-0.22412981291191048
ACH-000701,-0.3866242243216655
ACH-000706,-0.5042158492376739
ACH-000711,-0.5587941350889549
ACH-000713,-0.606132336874723
ACH-000714,-0.4658779806973868
ACH-000718,-0.3413571024349639
ACH-000720,-0.5715356244210787
ACH-000721,-0.31861263646375504
ACH-000724,-0.5800689949267973
ACH-000725,-0.32329109843421955
ACH-000732,-0.6247200279736529
ACH-000734,-0.3477099515261312
ACH-000735,-0.3887544175653744
ACH-000736,-0.5415699055795029
ACH-000738,-0.4265259580361721
ACH-000746,-0.3915432219578852
ACH-000747,-0.5930677031703421
ACH-000748,-0.4624723159022709
ACH-000753,-0.6235538137993935
ACH-000756,-0.6539571979270435
ACH-000757,-0.3724963593062476
ACH-000758,-0.6560805244801611
ACH-000760,-0.315855776089321
ACH-000762,-0.5951314606376928
ACH-000763,-0.5263761649476193
ACH-000764,-0.2982607402377393
ACH-000765,-0.3186509235687854
ACH-000766,-0.2919924448915093
ACH-000767,-0.492803531095951
ACH-000768,-0.3733652843133515
ACH-000769,-0.6719979305073065
ACH-000770,-0.3952422991658444
ACH-000771,-0.3927405991436109
ACH-000773,-0.2970536171159436
ACH-000776,-0.25246623998920625
ACH-000777,-0.2485236183768323
ACH-000778,-0.4333419719283538
ACH-000781,-0.5762839730717285
ACH-000782,-0.5076741550054266
ACH-000783,-0.19387713592571407
ACH-000784,-0.4069192985979415
ACH-000785,-0.25049359759284684
ACH-000787,-0.4102421357603919
ACH-000788,-0.5934444086893594
ACH-000791,-0.5225171661644431
ACH-000792,-0.3773917258089042
ACH-000794,-0.3736697440965591
ACH-000796,-0.4367626651420777
ACH-000798,-0.20674629244176526
ACH-000799,-0.4688656222632043
ACH-000800,-0.9504730911865182
ACH-000802,-0.4249729340595275
ACH-000804,-0.2705072082776435
ACH-000805,-0.25684283930348234
ACH-000809,-0.3683889909367322
ACH-000810,-0.4611166303615473
ACH-000811,-0.549485040068298
ACH-000817,-0.3395242157372777
ACH-000819,-0.4560464006544758
ACH-000820,-0.2315356541028915
ACH-000821,-0.4890761543785408
ACH-000822,-0.330734899659254
ACH-000823,-0.2929511778031817
ACH-000824,-0.2724687830972115
