,NUPR1L (389493)
ACH-000004,-0.20132338974832625
ACH-000005,0.2258777056440204
ACH-000007,-0.41654108291511693
ACH-000009,-0.14533205825554868
ACH-000011,-0.27395385207588696
ACH-000012,-0.23377596250110635
ACH-000013,-0.13192222363846454
ACH-000014,-0.21743601358171272
ACH-000015,-0.21245872504815266
ACH-000017,-0.04185590118714273
ACH-000018,-0.051969773654015866
ACH-000019,-0.1457145656721469
ACH-000021,-0.22354191069017854
ACH-000022,-0.21864717624174385
ACH-000025,-0.3850355117422503
ACH-000028,-0.08204777288491978
ACH-000030,-0.21645150839796296
ACH-000035,-0.2370463874611409
ACH-000036,-0.3518515406240371
ACH-000037,-0.1436508533415325
ACH-000039,-0.13921592578900197
ACH-000040,-0.14497661550844002
ACH-000041,-0.11659181472792422
ACH-000042,-0.2139412362970292
ACH-000045,-0.2498714609265506
ACH-000047,-0.2007440122931493
ACH-000052,-0.2620674349277419
ACH-000053,-0.2752576240024031
ACH-000054,-0.26413344396355104
ACH-000055,0.03910002203810927
ACH-000060,-0.43494305738735495
ACH-000067,-0.1768743926744264
ACH-000070,-0.3149489038600635
ACH-000075,-0.2637400850460573
ACH-000078,-0.11241977623261336
ACH-000082,-0.2687755066794129
ACH-000085,-0.10191422001254448
ACH-000086,0.034173109573437034
ACH-000087,0.09993728083875568
ACH-000092,-0.1400979365187219
ACH-000095,-0.2465005165500177
ACH-000097,-0.10744216291076553
ACH-000098,-0.2405057473487905
ACH-000099,-0.10630196179485524
ACH-000108,-0.22030915436580006
ACH-000113,-0.2620040678461993
ACH-000116,-0.1553472591536905
ACH-000118,-0.2372115504465292
ACH-000120,-0.29821333704386976
ACH-000123,-0.2434861910703897
ACH-000127,-0.2879723360373612
ACH-000128,-0.4396799997199025
ACH-000132,-0.0424603772191904
ACH-000133,-0.3227446093041574
ACH-000137,-0.34006521010823393
ACH-000138,-0.2753124985058813
ACH-000142,-0.3024031907157655
ACH-000143,-0.13598765497081353
ACH-000146,-0.17491255377814133
ACH-000148,-0.169491669312541
ACH-000150,-0.1635077429785328
ACH-000152,-0.027799007757246055
ACH-000153,-0.30607894511703976
ACH-000159,-0.3794739416006274
ACH-000160,-0.22478091424408744
ACH-000163,-0.3375164003162395
ACH-000167,-0.4056677520789152
ACH-000168,-0.11201780479346797
ACH-000169,-0.17940845897925434
ACH-000178,-0.24692388038848906
ACH-000183,-0.2888428984675307
ACH-000188,-0.17227901246967187
ACH-000189,-0.3849855301690442
ACH-000190,-0.3286426972193232
ACH-000198,-0.21002134525993674
ACH-000203,-0.4847556199338241
ACH-000204,-0.21775742646833307
ACH-000206,-0.14387243437887454
ACH-000207,-0.1545806674276224
ACH-000208,-0.183306137870224
ACH-000210,-0.12996189813836231
ACH-000211,-0.16789268240847174
ACH-000215,-0.20184464684178
ACH-000221,-0.40930944516620704
ACH-000222,-0.16478132751495062
ACH-000223,-0.23118557568995066
ACH-000226,-0.3753332504171536
ACH-000227,-0.1959993810303096
ACH-000228,-0.1751163415153018
ACH-000231,-0.23009002092014594
ACH-000232,-0.4172336742340659
ACH-000233,-0.1396184037811994
ACH-000234,-0.3600216757120301
ACH-000235,-0.3321805040109703
ACH-000237,-0.3011125818547859
ACH-000238,-0.27877261688590965
ACH-000242,-0.28938578072708665
ACH-000243,-0.19594292846294184
ACH-000244,-0.19459664019435144
ACH-000246,-0.2872347473651317
ACH-000248,-0.16008646961930764
ACH-000250,-0.2015176338835762
ACH-000251,0.12138433129217475
ACH-000252,-0.2375522434306393
ACH-000253,-0.1887273119138476
ACH-000255,-0.3312625302350389
ACH-000256,-0.1454625404628692
ACH-000257,0.08687545072782278
ACH-000258,-0.1050826734598029
ACH-000259,-0.16086362795311915
ACH-000260,-0.056338312261955424
ACH-000261,-0.24115279233696946
ACH-000262,-0.3337002857766617
ACH-000263,-0.2021380375490052
ACH-000264,-0.2995345306196541
ACH-000265,-0.11028266792229154
ACH-000266,-0.30581339749224284
ACH-000272,-0.26483676022775543
ACH-000274,0.3822092185308488
ACH-000277,-0.195438955600448
ACH-000278,-0.09708610597754903
ACH-000279,-0.21422187302387785
ACH-000280,-0.33983613335221696
ACH-000281,-0.1179248927931208
ACH-000288,-0.22255872417199635
ACH-000291,-0.12318251460810645
ACH-000293,-0.13500686249570895
ACH-000294,-0.31447157251992003
ACH-000295,-0.30790491522702385
ACH-000296,-0.24448888515975584
ACH-000302,-0.2981598480743182
ACH-000304,-0.2495412431208653
ACH-000307,-0.2610753945233682
ACH-000308,-0.19860446723279987
ACH-000310,-0.3181190363193734
ACH-000311,-0.2673606975770452
ACH-000312,-0.12653246030381285
ACH-000315,-0.2936909615661849
ACH-000316,-0.1668832634372072
ACH-000317,-0.11275090410476955
ACH-000318,-0.18248844631407626
ACH-000319,-0.32935984664093737
ACH-000320,-0.4109499666860103
ACH-000322,-0.10450091982353857
ACH-000323,-0.09880675485910903
ACH-000324,-0.06851145372106647
ACH-000329,-0.20565604145031746
ACH-000330,-0.22494176600752172
ACH-000331,-0.13056649125541125
ACH-000332,-0.17024273626772382
ACH-000334,-0.3548298967782429
ACH-000335,0.07235723132919304
ACH-000336,-0.14940482264361613
ACH-000337,-0.27785521509952804
ACH-000338,0.04352943575291285
ACH-000339,-0.3377202793810713
ACH-000341,-0.1774556936298138
ACH-000348,-0.15793435826061106
ACH-000350,-0.17963966648742194
ACH-000352,-0.07853488238107455
ACH-000356,-0.16856363124322554
ACH-000361,-0.0922953971174256
ACH-000362,-0.20489915599772346
ACH-000363,-0.0695048052693487
ACH-000364,-0.26612225084251506
ACH-000365,-0.3225072537529432
ACH-000366,-0.2046597699077328
ACH-000368,-0.0541828035170366
ACH-000374,-0.18443077777082004
