,DTL (51514)
ACH-000004,-1.3220933877695649
ACH-000005,-1.4749043681306553
ACH-000007,-1.120742527842117
ACH-000009,-1.2375836471333377
ACH-000011,-1.0876012378167272
ACH-000012,-1.2311794970426793
ACH-000013,-1.1964005655605574
ACH-000014,-1.0900547540642775
ACH-000015,-1.0280147514753983
ACH-000017,-1.0465019301670528
ACH-000018,-1.0667591884544392
ACH-000019,-1.5217472190509242
ACH-000021,-1.2665088919168288
ACH-000022,-1.1324618196435603
ACH-000025,-1.0950606875499374
ACH-000028,-1.2630530724001725
ACH-000030,-1.155022756710123
ACH-000035,-1.1167413718362529
ACH-000036,-1.2199135981805067
ACH-000037,-0.661630014150943
ACH-000039,-1.1341012214187185
ACH-000040,-1.1111240623015972
ACH-000041,-0.9894791302149776
ACH-000042,-1.1884792044001495
ACH-000045,-1.0304999047450292
ACH-000047,-1.159503468020317
ACH-000052,-1.1878736967280397
ACH-000053,-1.1214103161350186
ACH-000054,-1.183380497936107
ACH-000055,-1.0820045589902376
ACH-000060,-1.1858700945087788
ACH-000067,-1.1339190617705612
ACH-000070,-0.96016348755339
ACH-000075,-1.1140187396274357
ACH-000078,-0.9843629720237668
ACH-000082,-1.1529079163196954
ACH-000085,-1.292937461123287
ACH-000086,-1.2041243430818271
ACH-000087,-1.21516815095666
ACH-000092,-1.173370596279154
ACH-000095,-1.020316748917116
ACH-000097,-0.9941239721639852
ACH-000098,-1.2166803649987081
ACH-000099,-1.1573990856813785
ACH-000108,-1.2271158626297296
ACH-000113,-0.8610803097119124
ACH-000116,-1.3139312895723838
ACH-000118,-1.1418148221192954
ACH-000120,-1.1315929094898818
ACH-000123,-1.2145468916892703
ACH-000127,-1.2796238304065883
ACH-000128,-1.1153650389202685
ACH-000132,-1.389415438383935
ACH-000133,-1.2382889652962672
ACH-000137,-1.2417519577467642
ACH-000138,-1.1488443629042142
ACH-000142,-1.2422239001859108
ACH-000143,-1.0709641602812814
ACH-000146,-1.388387479070272
ACH-000148,-1.217786551579784
ACH-000150,-1.1119164065275775
ACH-000152,-1.0796702062219825
ACH-000153,-1.242221245146566
ACH-000159,-1.1136868583258697
ACH-000160,-1.4177957043274878
ACH-000163,-0.967056696868716
ACH-000167,-1.3763430859337096
ACH-000168,-1.1372900515052158
ACH-000169,-1.189423838562689
ACH-000178,-0.999879718443918
ACH-000183,-1.111278162868876
ACH-000188,-1.1249712571804675
ACH-000189,-0.9176738408912894
ACH-000190,-1.4636643793573638
ACH-000198,-1.155141683227053
ACH-000203,-1.164626218792396
ACH-000204,-1.451209054139449
ACH-000206,-1.2172885203717718
ACH-000207,-0.54865968203022
ACH-000208,-1.352094678634714
ACH-000210,-1.5369654711151317
ACH-000211,-1.191010989360083
ACH-000215,-1.087197189221983
ACH-000221,-1.014796218865569
ACH-000222,-1.205339897981333
ACH-000223,-1.2979942766745296
ACH-000226,-0.8409740309955456
ACH-000227,-1.0816651566701914
ACH-000228,-1.267966250199016
ACH-000231,-1.2027019273196868
ACH-000232,-1.3324120040248626
ACH-000233,-1.0347362979859631
ACH-000234,-1.1894108120797378
ACH-000235,-1.0050494613981078
ACH-000237,-1.2757676094133985
ACH-000238,-1.0046514544948044
ACH-000242,-1.0347137228099972
ACH-000243,-1.1632980566175148
ACH-000244,-1.305153002096758
ACH-000246,-1.1036348403583671
ACH-000248,-1.0598155245869458
ACH-000250,-1.2739138329724575
ACH-000251,-1.1866244307424365
ACH-000252,-1.3914314140548243
ACH-000253,-1.1347538334724818
ACH-000255,-1.074858419112057
ACH-000256,-1.0510983055368772
ACH-000257,-1.4738554597246676
ACH-000258,-1.2947071474302148
ACH-000259,-1.3146249263878897
ACH-000260,-1.0030682307739562
ACH-000261,-1.168624835637849
ACH-000262,-1.220504346310102
ACH-000263,-1.2426637555227409
ACH-000264,-1.3584852251985833
ACH-000265,-1.08900951854948
ACH-000266,-1.2105139392580797
ACH-000272,-1.1360884824312594
ACH-000274,-1.2562141220322731
ACH-000277,-1.2643896997516086
ACH-000278,-1.0975046585393409
ACH-000279,-1.0568148236930166
ACH-000280,-1.2032457903473832
ACH-000281,-1.324583658497189
ACH-000288,-1.242183986945291
ACH-000291,-1.2311599287170591
ACH-000293,-1.0539003509420894
ACH-000294,-0.9654654120278592
ACH-000295,-1.4069919993454705
ACH-000296,-1.3938543919161224
ACH-000302,-1.1682438334265952
ACH-000304,-1.3794540132263509
ACH-000307,-1.3383653946702974
ACH-000308,-1.292047575518343
ACH-000310,-1.1170129524070085
ACH-000311,-1.1446834172121083
ACH-000312,-1.0750297531159745
ACH-000315,-1.2778218798674654
ACH-000316,-1.3388664964489163
ACH-000317,-1.2667048710730344
ACH-000318,-1.2586177879200735
ACH-000319,-1.4543624854474904
ACH-000320,-1.3312439543771513
ACH-000322,-1.2449201859605323
ACH-000323,-1.3327096006757613
ACH-000324,-1.1139210721032713
ACH-000329,-1.3608098753789335
ACH-000330,-1.2728884599455654
ACH-000331,-1.2681580946700348
ACH-000332,-1.2288374696072204
ACH-000334,-1.551848468404893
ACH-000335,-1.157478860300615
ACH-000336,-1.1711876616438774
ACH-000337,-1.3762510335988156
ACH-000338,-1.5382672966962332
ACH-000339,-1.0261232504578888
ACH-000341,-1.3071720816573922
ACH-000348,-1.023371277067245
ACH-000350,-0.9785661634542704
ACH-000352,-1.368952880518605
ACH-000356,-1.2731466293851237
ACH-000361,-1.2060424189289296
ACH-000362,-1.2598775707573269
ACH-000363,-1.1603099141498996
ACH-000364,-1.3963429927435933
ACH-000365,-1.2774549721532629
ACH-000366,-1.1858448783113635
ACH-000368,-1.4315757952200063
ACH-000374,-1.0706693159434952
ACH-000375,-1.2680535510029618
ACH-000376,-1.174626797427021
ACH-000381,-1.3336080095382927
ACH-000383,-1.233717546273301
ACH-000387,-1.4479435142195567
ACH-000389,-1.3225134921945887
ACH-000390,-1.2207272992352105
ACH-000393,-1.1032498963762278
ACH-000395,-1.2717014452922335
ACH-000396,-1.442949437532291
ACH-000397,-1.1260313161257087
ACH-000401,-1.260241228799946
ACH-000402,-1.020314447927424
ACH-000403,-1.3778830719256598
ACH-000404,-1.4904248873689696
ACH-000406,-1.241395739765772
ACH-000407,-1.206351735331946
ACH-000408,-1.0423299494104823
ACH-000410,-1.1589235540183735
ACH-000411,-0.9346914531849776
ACH-000414,-1.2817927022280224
ACH-000415,-1.2526883455921556
ACH-000416,-1.4965619373996706
ACH-000420,-1.2625630930901646
ACH-000421,-1.2980733785561265
ACH-000424,-1.0494483820099672
ACH-000425,-1.2790734152115166
ACH-000426,-1.2237904446207506
ACH-000427,-1.3185175311100834
ACH-000433,-1.1594784813342252
ACH-000435,-1.0361032476232184
ACH-000436,-1.509178424780291
ACH-000444,-1.1925030696816272
ACH-000445,-1.3009857592272815
ACH-000448,-1.0083174841908236
ACH-000450,-1.00020548329743
ACH-000452,-1.5431606154651558
ACH-000454,-1.2076346192699183
ACH-000458,-1.2982322943858968
ACH-000459,-0.9447878258747141
ACH-000460,-1.1418965230653542
ACH-000461,-1.204833514392527
ACH-000463,-1.0694623492659023
ACH-000464,-1.2578135560628037
ACH-000466,-1.3222439314681715
ACH-000467,-1.010187797174483
ACH-000468,-1.2801452987502018
ACH-000469,-1.1150971555662228
ACH-000470,-1.3598011595171802
ACH-000471,-1.2198941928539924
ACH-000472,-1.1504332172576224
ACH-000473,-1.174239998926163
ACH-000475,-1.1479012813479943
ACH-000476,-1.269219415945256
ACH-000477,-1.1505239251390946
ACH-000479,-1.3112545139701253
ACH-000480,-1.395989975166834
ACH-000481,-1.3625303751146018
ACH-000483,-0.8159391557238782
ACH-000484,-0.9939320599648144
ACH-000485,-1.3155339583993162
ACH-000486,-1.2149045354968844
ACH-000487,-1.1703630790567772
ACH-000488,-1.1630075231371475
ACH-000490,-1.092330385010126
ACH-000491,-1.1065539217721632
ACH-000495,-1.379701291550979
ACH-000496,-1.279725118359908
ACH-000499,-1.1211160379535137
ACH-000500,-1.1339992819583422
ACH-000502,-1.2756639056970052
ACH-000503,-0.9421852447543844
ACH-000505,-1.4160546420015498
ACH-000507,-1.408029456843923
ACH-000510,-1.327825734076851
ACH-000511,-1.1035996134406685
ACH-000512,-1.00538953032127
ACH-000516,-1.1983382077683913
ACH-000517,-1.3493333757580184
ACH-000518,-1.255883184731173
ACH-000520,-1.2608173169954644
ACH-000521,-1.0452642471699178
ACH-000522,-1.323186866121136
ACH-000524,-0.9841875872367526
ACH-000527,-1.1940847437075872
ACH-000528,-1.128555466592685
ACH-000537,-1.1756686575096689
ACH-000541,-1.1563625631030219
ACH-000542,-1.164324080264214
ACH-000544,-1.2598835215340338
ACH-000545,-1.2119786846566871
ACH-000547,-1.3553743213833616
ACH-000548,-1.1623392763834444
ACH-000549,-1.20011880674684
ACH-000550,-1.270886470840752
ACH-000552,-1.3777296225335074
ACH-000556,-1.1939289765060983
ACH-000557,-1.1711984904444923
ACH-000569,-1.1774660789422735
ACH-000570,-1.2214728215477395
ACH-000571,-1.008168191545874
ACH-000573,-1.04321426781746
ACH-000576,-1.0546325017505738
ACH-000579,-1.4331062114793829
ACH-000580,-1.210135853018943
ACH-000584,-1.4139312783080895
ACH-000585,-1.2301083844619696
ACH-000588,-1.1203068322610237
ACH-000589,-1.1961704877479598
ACH-000591,-1.1025571417534707
ACH-000593,-1.1208327221544836
ACH-000600,-1.1230449450032622
ACH-000601,-1.1115637140621368
ACH-000605,-1.1768694804799356
ACH-000606,-1.1167469239131531
