,RHBDF2 (79651)
ACH-000004,-0.04786693094195457
ACH-000005,-0.29153792157934666
ACH-000007,-0.1580855144566021
ACH-000009,-0.2952604801389845
ACH-000011,-0.102773792471592
ACH-000012,-0.1528427393716218
ACH-000013,-0.15772585832811634
ACH-000014,-0.17979004143853705
ACH-000015,-0.07621323954967069
ACH-000017,-0.28435754210821634
ACH-000018,-0.10455515770713997
ACH-000019,-0.15294782638258264
ACH-000021,-0.28644940331355273
ACH-000022,-0.2133360652581088
ACH-000025,-0.12499914642460265
ACH-000028,-0.1428964718107709
ACH-000030,-0.2119118233095658
ACH-000035,-0.18600919254024406
ACH-000036,-0.27093652688793823
ACH-000037,-0.1430897988942589
ACH-000039,-0.10700335712147743
ACH-000040,-0.1879134973183256
ACH-000041,-0.21782263718977216
ACH-000042,-0.33592553237775985
ACH-000045,-0.2771529504615131
ACH-000047,-0.10679924027144948
ACH-000052,0.03309121608830665
ACH-000053,-0.12920607899027425
ACH-000054,-0.1755603610284394
ACH-000055,-0.057818578641274
ACH-000060,-0.2123229829699676
ACH-000067,-0.20598724683260472
ACH-000070,-0.0821407397074235
ACH-000075,-0.12125431388350245
ACH-000078,-0.31053735071148497
ACH-000082,-0.3314276901322092
ACH-000085,-0.2809999361951594
ACH-000086,-0.19364039562085586
ACH-000087,-0.27568333822117963
ACH-000092,-0.029228341276255124
ACH-000095,-0.1962247766912683
ACH-000097,-0.2561866733813281
ACH-000098,-0.06137958903553959
ACH-000099,-0.4246422140667519
ACH-000108,-0.23173573372661904
ACH-000113,-0.1860007732936606
ACH-000116,-0.3207702566188912
ACH-000118,-0.13119003487966913
ACH-000120,-0.5091358069582855
ACH-000123,-0.08814777617808002
ACH-000127,-0.37438724928041617
ACH-000128,-0.15021202990663393
ACH-000132,-0.15857380824480666
ACH-000133,-0.15695914476018588
ACH-000137,-0.11253220504250357
ACH-000138,-0.15446363017990394
ACH-000142,-0.4056029390939509
ACH-000143,-0.14672299328370084
ACH-000146,-0.1646524322286111
ACH-000148,-0.2798577287812317
ACH-000150,-0.2478474780540575
ACH-000152,-0.2838577977974205
ACH-000153,0.018129692524169082
ACH-000159,-0.23025497591323954
ACH-000160,-0.13219816882637347
ACH-000163,-0.03434705819023118
ACH-000167,0.00265012353949472
ACH-000168,-0.25207144447773266
ACH-000169,-0.11881858358692785
ACH-000178,-0.1830028525096826
ACH-000183,-0.09538371336941816
ACH-000188,-0.21276137529291445
ACH-000189,-0.12712266226987445
ACH-000190,-0.186095701006394
