,MAFG (4097)
ACH-000004,-0.2983667624805541
ACH-000005,-0.12436806382497807
ACH-000007,-0.02715530436570813
ACH-000009,-0.2343780767594228
ACH-000011,-0.242442213269462
ACH-000012,-0.09281439251917696
ACH-000013,-0.21976867076358253
ACH-000014,0.031709172774265014
ACH-000015,-0.1993136217197697
ACH-000017,-0.2913982100610983
ACH-000018,-0.009546712623426724
ACH-000019,-0.13730196206418008
ACH-000021,-0.1425067283961856
ACH-000022,-0.06451918326910465
ACH-000025,-0.20542133107756194
ACH-000028,-0.15817943333414594
ACH-000030,-0.03868416783838678
ACH-000035,-0.05579391330867225
ACH-000036,-0.1745031373481193
ACH-000037,-0.14705875586427752
ACH-000039,-0.10000531510902977
ACH-000040,-0.131935603586459
ACH-000041,-0.21248350579096328
ACH-000042,-0.2669633827099589
ACH-000045,-0.1424238322038053
ACH-000047,-0.3054376534302087
ACH-000052,-0.12460432236768322
ACH-000053,-0.10566826923126847
ACH-000054,-0.2638979418386937
ACH-000055,-0.18829419805027311
ACH-000060,-0.3296011721999273
ACH-000067,-0.2152986153006798
ACH-000070,0.06699442896084593
ACH-000075,-0.13095309808847178
ACH-000078,-0.319688728414187
ACH-000082,-0.09650395158877056
ACH-000085,-0.21171258524502976
ACH-000086,-0.061462684640881775
ACH-000087,-0.34514342910553986
ACH-000092,0.06970822603561337
ACH-000095,-0.2148835082233281
ACH-000097,-0.16490035460933464
ACH-000098,-0.05975801226642673
ACH-000099,-0.31225831746115884
ACH-000108,-0.17839016239549546
ACH-000113,-0.3846313177979702
ACH-000116,-0.2416655971985597
ACH-000118,-0.17209160812676716
ACH-000120,-0.5758097922578245
ACH-000123,-0.2873162508606113
ACH-000127,-0.05865129262117923
ACH-000128,-0.19703962572660427
ACH-000132,-0.0936196351685007
ACH-000133,-0.10545678359933768
ACH-000137,-0.07841794632538583
ACH-000138,-0.1383059135753144
ACH-000142,-0.3128960120724869
ACH-000143,-0.2272531388777833
ACH-000146,-0.16241894346818606
ACH-000148,-0.17527270558745864
ACH-000150,-0.05409004860806893
ACH-000152,-0.17682516898299133
ACH-000153,-0.11661524519090835
ACH-000159,-0.21196094271706253
ACH-000160,-0.10388599846268744
ACH-000163,-0.18921377622916588
ACH-000167,0.006286760417925679
ACH-000168,-0.5647102008625746
ACH-000169,-0.17768156726646103
ACH-000178,-0.0266580739820505
ACH-000183,-0.1667542165836587
ACH-000188,-0.1696637270460715
