,UVRAG (7405)
ACH-000004,-0.2348402764514267
ACH-000005,-0.1880882519206363
ACH-000007,-0.09788440745276117
ACH-000009,-0.12713401344927222
ACH-000011,-0.2838740302927044
ACH-000012,-0.07614504786950951
ACH-000013,-0.10512691062226552
ACH-000014,0.025294732564547458
ACH-000015,-0.1665026930860916
ACH-000017,-0.4623323818778116
ACH-000018,-0.2263272165457583
ACH-000019,-0.297938408577534
ACH-000021,-0.1547607176904817
ACH-000022,-0.16556412564859613
ACH-000025,-0.20772461549203594
ACH-000028,-0.2288508325496843
ACH-000030,-0.10962620453126032
ACH-000035,-0.36802289320083453
ACH-000036,-0.26261868639858416
ACH-000037,-0.14431482902774778
ACH-000039,-0.12634951671925382
ACH-000040,-0.15141033415438382
ACH-000041,-0.03331317805127608
ACH-000042,-0.2735281461476276
ACH-000045,-0.2703719277247121
ACH-000047,-0.3911558862673444
ACH-000052,-0.1574641397045013
ACH-000053,-0.33539496473935265
ACH-000054,-0.2729056167046109
ACH-000055,0.0368248241695126
ACH-000060,-0.029130020619045724
ACH-000067,0.1512879011462881
ACH-000070,-0.2425698026235773
ACH-000075,-0.1910107357418313
ACH-000078,0.03331670536203102
ACH-000082,-0.3419732844928113
ACH-000085,-0.1641075773122968
ACH-000086,-0.3838896285246451
ACH-000087,-0.1313552842502901
ACH-000092,-0.3868787906346353
ACH-000095,-0.04430940505863034
ACH-000097,-0.20321269982467705
ACH-000098,-0.26171524765170184
ACH-000099,-0.1851441686838404
ACH-000108,-0.08686341545582346
ACH-000113,-0.2911246631024668
ACH-000116,-0.2786937557195308
ACH-000118,-0.285786700484336
ACH-000120,-0.3174383422573523
ACH-000123,-0.16932255840270524
ACH-000127,-0.15404131898837448
ACH-000128,-0.10395089339326223
ACH-000132,-0.238760574124046
ACH-000133,-0.177988899295981
ACH-000137,-0.2597020149038521
ACH-000138,-0.2214894085172689
ACH-000142,-0.4335270798270608
ACH-000143,-0.04467071304870676
ACH-000146,-0.07961187718110413
ACH-000148,-0.15655848903213726
ACH-000150,-0.15517596031375566
ACH-000152,-0.3900144987240409
ACH-000153,-0.20765245942741767
ACH-000159,-0.149913405274826
ACH-000160,-0.2314423402914143
ACH-000163,-0.07440974097151902
ACH-000167,-0.2335446052843734
ACH-000168,-0.1837769296687249
ACH-000169,-0.26757702984059417
ACH-000178,-0.1745081379297084
ACH-000183,-0.1123942220520735
ACH-000188,-0.32914702214389074
ACH-000189,-0.06004056156163767
ACH-000190,-0.4031150858441688
ACH-000198,-0.30504958603720195
ACH-000203,-0.37068474797422296
ACH-000204,-0.08833510483827987
ACH-000206,-0.4340273404706209
ACH-000207,-0.22308239427748186
ACH-000208,-0.1472985192086463
ACH-000210,-0.13871889764706105
ACH-000211,-0.2940761214238189
ACH-000215,-0.16136284757898367
ACH-000221,0.003444552530463405
ACH-000222,-0.16607086433928656
ACH-000223,-0.3163625531081872
ACH-000226,-0.1759474718842262
ACH-000227,-0.012102540277886178
ACH-000228,-0.2999518487163628
ACH-000231,-0.21101505198042547
ACH-000232,-0.06451681301272906
ACH-000233,-0.23461409781982834
ACH-000234,-0.3837979191643591
ACH-000235,-0.2011057572197841
ACH-000237,-0.17446539823117982
ACH-000238,0.13094261783622327
ACH-000242,-0.1568713609767012
ACH-000243,0.03020969770860264
ACH-000244,-0.4356088881410711
ACH-000246,0.038525239343470255
ACH-000248,-0.2296230159439123
ACH-000250,-0.11968218727126262
ACH-000251,-0.033219291513639386
ACH-000252,-0.2870725220134828
ACH-000253,-0.1969347316713964
ACH-000255,-0.37703790038602397
ACH-000256,-0.29525181436069514
ACH-000257,-0.18146745400931816
ACH-000258,-0.10427519816977868
ACH-000259,-0.3314294897717561
ACH-000260,-0.39318920970649657
ACH-000261,-0.2139745477220112
ACH-000262,0.10807211511809406
ACH-000263,-0.017857707745137424
ACH-000264,-0.16832438471439848
ACH-000265,-0.1414864640304045
ACH-000266,-0.2674123235818069
ACH-000272,-0.2420120218707591
ACH-000274,-0.1554871768353161
ACH-000277,-0.3942001845816927
ACH-000278,-0.10417332944793127
ACH-000279,-0.14508921119423476
ACH-000280,-0.2885499255782553
ACH-000281,-0.054933812819028316
ACH-000288,-0.15413195932463447
ACH-000291,-0.1266277927768436
ACH-000293,-0.3104323095560526
ACH-000294,-0.08470316048136706
ACH-000295,-0.15043203000107924
ACH-000296,-0.3981567816500664
ACH-000302,-0.23120715160296815
ACH-000304,-0.16595490226795792
ACH-000307,-0.3230537854599087
ACH-000308,-0.2279787572515163
ACH-000310,0.040452179221576456
ACH-000311,-0.2240678763496836
ACH-000312,-0.16435836510108567
ACH-000315,0.0841565430530454
ACH-000316,-0.523084561750459
ACH-000317,-0.1861965146057642
ACH-000318,-0.4511264972049505
ACH-000319,-0.27488682653299024
ACH-000320,-0.06454885864826554
ACH-000322,-0.1968590575632604
ACH-000323,-0.6288110718250024
ACH-000324,-0.2721392934052672
ACH-000329,-0.07410364887461357
ACH-000330,-0.2742486526783695
ACH-000331,-0.3782825591628985
ACH-000332,-0.01942331898237381
ACH-000334,-0.04888164255073516
ACH-000335,-0.31022302133391383
ACH-000336,0.07078450738757246
ACH-000337,-0.3358157294766976
ACH-000338,-0.7576929499213492
ACH-000339,-0.3312621643457698
ACH-000341,-0.05204050464639015
ACH-000348,-0.1007773551513502
ACH-000350,-0.03265699524449238
ACH-000352,-0.3099273316780053
ACH-000356,-0.3513453734063968
ACH-000361,-0.24818302797713804
ACH-000362,-0.1865751568892631
ACH-000363,-0.1866036928900416
ACH-000364,-0.17984820764430248
ACH-000365,-0.19891824259134805
ACH-000366,-0.1995827740871748
ACH-000368,-0.2794310137220625
ACH-000374,-0.28035132880533337
ACH-000375,-0.3514470165838397
ACH-000376,-0.2714132463531786
ACH-000381,-0.04493578456258877
ACH-000383,-0.0676901112582352
ACH-000387,-0.10727419046129788
ACH-000389,-0.051609913671846384
ACH-000390,-0.17885905151910708
ACH-000393,-0.1972931014166999
ACH-000395,-0.2032908452613259
ACH-000396,0.04736334453746057
ACH-000397,-0.1172718428039244
ACH-000401,-0.23905984842240416
ACH-000402,-0.3776841337383458
ACH-000403,-0.0015968459234399245
ACH-000404,0.0034020038892197744
ACH-000406,-0.17919032518909725
ACH-000407,-0.10438700600709264
ACH-000408,-0.3035694767130487
ACH-000410,-0.18243265806183695
ACH-000411,-0.3931983908734323
ACH-000414,-0.2848297749323418
ACH-000415,-0.33413415182382433
ACH-000416,-0.2957976982433369
ACH-000420,-0.4287690195512003
ACH-000421,-0.2215948916688984
ACH-000424,-0.3169426460163136
ACH-000425,-0.2805874515147206
ACH-000426,-0.10097932241483122
ACH-000427,-0.23476507135179664
ACH-000433,-0.2524398629620063
ACH-000435,-0.4828831432855095
ACH-000436,-0.07292097203403093
ACH-000444,-0.09386367995079103
ACH-000445,-0.16042301249978688
ACH-000448,-0.38909993746013455
ACH-000450,-0.35471742403921314
ACH-000452,-0.35613663920326405
ACH-000454,-0.2562621185472512
ACH-000458,-0.3275271265148701
ACH-000459,-0.05535598196414558
ACH-000460,-0.3090158126606984
ACH-000461,-0.004301854220913024
ACH-000463,-0.20671631483856567
ACH-000464,-0.1889407920590757
ACH-000466,-0.2465063591807479
ACH-000467,-0.2478700982533139
ACH-000468,-0.16658088785672476
ACH-000469,-0.3364693466535025
ACH-000470,-0.20593810192606446
ACH-000471,-0.3188974668641201
ACH-000472,-0.13340399533195918
ACH-000473,-0.2181846867962495
ACH-000475,-0.220812293742446
ACH-000476,-0.3071906312163107
ACH-000477,-0.2792887398160616
ACH-000479,0.028341789885164517
ACH-000480,-0.21764950705405328
ACH-000481,-0.17350076211857968
ACH-000483,-0.2538997561413221
ACH-000484,-0.10271576022334544
ACH-000485,-0.2882757828524935
ACH-000486,-0.3366808235982474
ACH-000487,0.012883835597146695
ACH-000488,-0.20612581606974933
ACH-000490,-0.2603197161394827
ACH-000491,-0.3111921176169035
ACH-000495,-0.1411673647648935
ACH-000496,-0.3079663898649361
ACH-000499,0.03141715070646947
ACH-000500,-0.05433477870166046
ACH-000502,-0.16629262728779562
ACH-000503,-0.17778494438981124
ACH-000505,-0.09826229923517517
ACH-000507,-0.2693114930267194
ACH-000510,-0.11928669881592563
ACH-000511,-0.2907885047627986
ACH-000512,0.057047438788926985
ACH-000516,-0.4990165514201725
ACH-000517,-0.2727190400719486
ACH-000518,-0.15524360207756174
ACH-000520,-0.24867606048548296
ACH-000521,-0.7289696046867791
ACH-000522,-0.10607104936421564
ACH-000524,-0.15785901671088504
ACH-000527,-0.38170738030131535
ACH-000528,-0.4149731243931867
ACH-000537,-0.543930109834095
ACH-000541,-0.18559096326678512
