,TNRC6B (23112)
ACH-000004,-0.2032036137947913
ACH-000005,-0.12611019906393015
ACH-000007,-0.07067153430554854
ACH-000009,-0.15446671716143526
ACH-000011,-0.0943671605031103
ACH-000012,-0.13318436994310248
ACH-000013,-0.2208881939469614
ACH-000014,-0.08682827536418736
ACH-000015,-0.3322307092489287
ACH-000017,-0.12504986704864682
ACH-000018,-0.12996259780211328
ACH-000019,-0.08932445498165338
ACH-000021,-0.17251771436658592
ACH-000022,-0.06306414365974781
ACH-000025,-0.1608850044163789
ACH-000028,-0.19316804353596312
ACH-000030,-0.2516339086226938
ACH-000035,-0.20268667225140044
ACH-000036,-0.10470413026501793
ACH-000037,-0.01862775302673164
ACH-000039,-0.04687006963626021
ACH-000040,-0.18089181344206465
ACH-000041,-0.12207086306744375
ACH-000042,-0.3447983328304442
ACH-000045,-0.007517712337402005
ACH-000047,-0.11918550176891803
ACH-000052,-0.30557007261817104
ACH-000053,-0.1399639221802179
ACH-000054,-0.14728762138043489
ACH-000055,-0.25473880582300745
ACH-000060,-0.2404031178619564
ACH-000067,-0.07671540360922177
ACH-000070,-0.18350001752188894
ACH-000075,-0.15198112110147785
ACH-000078,-0.14952752536343214
ACH-000082,-0.07270281216527706
ACH-000085,-0.5316602518146586
ACH-000086,0.12111362164873615
ACH-000087,-0.20712805768076106
ACH-000092,-0.25747181703065625
ACH-000095,-0.03695276195910013
ACH-000097,-0.08065263042493642
ACH-000098,-0.11309906306796765
ACH-000099,-0.14340198895206088
ACH-000108,-0.2603528349297813
ACH-000113,-0.03566003474024285
ACH-000116,-0.1615762374976228
ACH-000118,-0.1748471270181778
ACH-000120,-0.17292660749983696
ACH-000123,-0.05333301580240179
ACH-000127,-0.08102645929759729
ACH-000128,-0.2901761390941504
ACH-000132,-0.19427495827590172
ACH-000133,-0.04666360456634276
ACH-000137,-0.15322071448331734
ACH-000138,0.2446344937710312
ACH-000142,-0.07550141753041896
ACH-000143,-0.11444521305146373
ACH-000146,-0.1217462163741685
ACH-000148,0.019039255853134814
ACH-000150,-0.12464763994763703
ACH-000152,-0.07769947393703112
ACH-000153,-0.035184121354264665
ACH-000159,0.028049664884968087
ACH-000160,-0.1478931923517789
ACH-000163,-0.2362761567900851
ACH-000167,-0.0779178872151565
ACH-000168,-0.16626888177185295
ACH-000169,-0.1887038837259836
ACH-000178,-0.16780215192937273
ACH-000183,-0.1710251306354931
ACH-000188,-0.0356423102250974
ACH-000189,0.18451082042982536
ACH-000190,-0.15655739254423054
ACH-000198,0.08726786944996062
ACH-000203,-0.3832090993584398
ACH-000204,-0.013550083398089116
ACH-000206,-0.22335876591615889
ACH-000207,-0.1644708135159238
ACH-000208,-0.000871289667069197
ACH-000210,-0.4728898323234909
ACH-000211,-0.2051488989953466
ACH-000215,-0.10993288714097788
ACH-000221,-0.31509324945607786
ACH-000222,-0.2158244178983512
ACH-000223,-0.1415167992374935
ACH-000226,-0.12659767586242426
ACH-000227,-0.1630990867592623
ACH-000228,-0.10724657058870253
