,LRRC3C (100505591)
ACH-000004,-0.1096330678229479
ACH-000005,-0.5016325268450129
ACH-000007,-0.11731676208436555
ACH-000009,-0.1953426710525716
ACH-000011,-0.2782296488657596
ACH-000012,-0.2624321531206095
ACH-000013,-0.24499351576267095
ACH-000014,-0.0759354443028528
ACH-000015,-0.14766374764349027
ACH-000017,-0.4485280666730048
ACH-000018,-0.2188943075692974
ACH-000019,-0.017109562726344243
ACH-000021,-0.29070889594468785
ACH-000022,-0.18220279555557786
ACH-000025,-0.022852358352885932
ACH-000028,-0.095277965467214
ACH-000030,-0.15476532065666065
ACH-000035,-0.2551332349497805
ACH-000036,-0.21668892907070494
ACH-000037,0.019717568240931557
ACH-000039,-0.00674764684305713
ACH-000040,-0.21369646580676216
ACH-000041,-0.12765450215377047
ACH-000042,-0.09000154912365523
ACH-000045,-0.1331934939718151
ACH-000047,-0.2634649765052375
ACH-000052,-0.06751277875103076
ACH-000053,-0.29424135995909423
ACH-000054,-0.2837743850033035
ACH-000055,-0.268802071095613
ACH-000060,-0.2037452175407825
ACH-000067,-0.15301678134449218
ACH-000070,-0.3278191342124411
ACH-000075,-0.2971199939878569
ACH-000078,-0.12810701210674588
ACH-000082,-0.2920799302493979
ACH-000085,-0.12892817899048345
ACH-000086,-0.15607480822110625
ACH-000087,-0.1613708153907356
ACH-000092,-0.14575356785321314
ACH-000095,-0.288770467992682
ACH-000097,-0.19357427366168656
ACH-000098,-0.2698075069245742
ACH-000099,-0.1545867078582476
ACH-000108,-0.25939172959856777
ACH-000113,-0.1876016163467012
ACH-000116,-0.17394728904568196
ACH-000118,-0.2245016021865888
ACH-000120,-0.3252964638435659
ACH-000123,-0.1489716313383573
ACH-000127,-0.09234311073384267
ACH-000128,-0.15669117306682853
ACH-000132,-0.22331091172722303
ACH-000133,-0.1951262977718354
ACH-000137,-0.35633007431126423
ACH-000138,-0.4145074399747352
ACH-000142,-0.10677816162651126
ACH-000143,-0.0547210932657423
ACH-000146,-0.1475542544394599
ACH-000148,-0.1522635765022771
ACH-000150,-0.23268425823410815
ACH-000152,-0.3228499713695598
ACH-000153,-0.09707194829575733
ACH-000159,-0.133777840194884
ACH-000160,-0.21992647133723
ACH-000163,-0.23874637625248116
ACH-000167,-0.12851378464089994
ACH-000168,-0.09044783385853347
ACH-000169,-0.253042883198119
ACH-000178,-0.14220823350119682
ACH-000183,-0.1297632020695458
ACH-000188,-0.3077479860119016
ACH-000189,-0.1438198518964299
ACH-000190,-0.028275772759570317
ACH-000198,-0.2144451165850655
ACH-000203,-0.20315518137015154
ACH-000204,-0.04827921935034652
ACH-000206,-0.01543526858737062
ACH-000207,-0.17254901674709702
ACH-000208,-0.02414488932605478
ACH-000210,0.1807306111718038
ACH-000211,-0.18699750763656706
ACH-000215,-0.18044245805587344
ACH-000221,-0.2407750622252187
ACH-000222,-0.4836718133636448
ACH-000223,-0.0049575775305673725
ACH-000226,-0.3358270182196311
ACH-000227,-0.2829248001915579
ACH-000228,-0.3128873092647249
ACH-000231,-0.11013807844136378
ACH-000232,-0.09131170372380427
ACH-000233,-0.12714201222548488
ACH-000234,-0.1185900927731966
ACH-000235,-0.21281851694513104
ACH-000237,-0.1558049648972076
ACH-000238,-0.4182894135861823
ACH-000242,-0.3374543402269996
ACH-000243,-0.4193340724470926
ACH-000244,-0.26821985074326565
ACH-000246,-0.16138691340974548
ACH-000248,-0.4255904217980273
ACH-000250,-0.15354026476827629
ACH-000251,-0.2674971033591883
ACH-000252,-0.19740338097749413
ACH-000253,-0.2421704614809069
ACH-000255,-0.23257433708437575
ACH-000256,-0.18107384157318235
ACH-000257,-0.12302633058456165
ACH-000258,-0.23736706376577826
ACH-000259,-0.2157023894320166
ACH-000260,-0.09026150411943884
ACH-000261,-0.16162289231552615
ACH-000262,-0.043173890626195865
ACH-000263,-0.2292423590216222
ACH-000264,-0.25847255922454515
ACH-000265,-0.1802108227287548
ACH-000266,-0.1353692596099021
ACH-000272,-0.10026735091235464
ACH-000274,-0.3024091000840167
ACH-000277,-0.10573148904980498
ACH-000278,-0.20270010139074612
ACH-000279,-0.17560677330587074
ACH-000280,-0.22722593650005654
ACH-000281,-0.2136461584430749
ACH-000288,-0.2129166829397978
ACH-000291,-0.3086528425995332
ACH-000293,-0.2505169600713553
ACH-000294,-0.08929841682326063
ACH-000295,-0.020476407673214802
ACH-000296,-0.28126688480263623
ACH-000302,-0.1542661489643807
ACH-000304,-0.2498677054710823
ACH-000307,-0.2590757206778929
ACH-000308,-0.20405190871248607
ACH-000310,-0.03775109304842389
ACH-000311,-0.3004331002476513
ACH-000312,-0.2414644810294255
ACH-000315,-0.26411433114444594
ACH-000316,-0.12489546614033795
ACH-000317,-0.2586774992653648
ACH-000318,-0.20005925944068714
ACH-000319,-0.1295255410408924
ACH-000320,-0.24556864882543916
ACH-000322,-0.3170461616199901
ACH-000323,-0.20820425600457004
ACH-000324,-0.2716327829782233
ACH-000329,-0.06298333802640943
ACH-000330,-0.32947093741373
ACH-000331,-0.1811766212973576
ACH-000332,-0.19134964364678747
ACH-000334,-0.4025844128719737
ACH-000335,-0.2826335084089205
ACH-000336,-0.20897252016056395
ACH-000337,-0.2847308459179665
ACH-000338,0.5089656795607516
ACH-000339,-0.17683358658858858
ACH-000341,-0.05556416642274382
ACH-000348,-0.22275435751322484
ACH-000350,-0.31506284614967617
ACH-000352,-0.15794798456261194
ACH-000356,-0.5435734700812258
ACH-000361,-0.08314929193521342
ACH-000362,-0.18773990921702516
ACH-000363,-0.32008156824325384
ACH-000364,-0.19896322654167872
ACH-000365,-0.2532652161364702
ACH-000366,-0.050354680157763725
ACH-000368,-0.16553000171561102
ACH-000374,-0.22034553821783406
ACH-000375,-0.14373906268473136
ACH-000376,-0.13268469046328096
ACH-000381,-0.1766641005814191
ACH-000383,-0.19947363264280024
ACH-000387,-0.2063829302605132
ACH-000389,-0.07151789777802671
ACH-000390,-0.20086764377090507
ACH-000393,-0.2497574314712289
ACH-000395,-0.16841541021687567
ACH-000396,0.06321740147372372
ACH-000397,-0.4390045609352796
ACH-000401,-0.26758965071700874
ACH-000402,-0.02189697958810857
ACH-000403,-0.2954913460567249
ACH-000404,-0.0605266565300852
ACH-000406,-0.20664972050183014
ACH-000407,-0.06376679761107552
ACH-000408,-0.3563613024733718
ACH-000410,-0.08979958810795302
ACH-000411,-0.23360213242910616
ACH-000414,-0.2507179492944192
ACH-000415,-0.4174216999111488
ACH-000416,-0.16272138366634434
ACH-000420,-0.2568648919328856
ACH-000421,-0.20112084880164532
ACH-000424,-0.28731465268051104
ACH-000425,-0.17461266118351226
ACH-000426,-0.2986541821477088
ACH-000427,-0.550618820445984
ACH-000433,-0.03748258419857317
ACH-000435,-0.26835859029522274
ACH-000436,-0.268685907069107
ACH-000444,-0.1961291228186319
ACH-000445,-0.22952157970231266
ACH-000448,-0.19882931140567064
ACH-000450,-0.12516549273112898
ACH-000452,-0.2295741496018508
ACH-000454,0.042030313623322484
ACH-000458,-0.3197161302530677
ACH-000459,-0.1348951308145914
ACH-000460,-0.2445096269512184
ACH-000461,-0.07449513848706125
ACH-000463,-0.32178972340062184
ACH-000464,-0.27098012800042576
ACH-000466,-0.4444852743565296
ACH-000467,-0.2447513297914289
ACH-000468,-0.3820280099216222
ACH-000469,-0.20775915580693555
ACH-000470,-0.19462095099733348
ACH-000471,-0.20500093797720795
ACH-000472,-0.2730504695801134
ACH-000473,-0.2840559670956826
ACH-000475,-0.14611173332025107
ACH-000476,-0.16015451134780714
ACH-000477,-0.16842828480906755
ACH-000479,-0.20367364253174536
ACH-000480,-0.1702113787609169
ACH-000481,-0.1650227592328551
ACH-000483,-0.18016778504180495
ACH-000484,-0.058792854030918565
ACH-000485,-0.2925305266754029
ACH-000486,-0.22802880915213294
ACH-000487,-0.1954760101432058
ACH-000488,-0.22617071144475165
ACH-000490,-0.07013521330191645
ACH-000491,-0.3129501989233845
ACH-000495,-0.1930217582487919
ACH-000496,-0.10577838904596147
ACH-000499,-0.3109118013559689
ACH-000500,-0.4407648681374126
ACH-000502,-0.2141373272247484
ACH-000503,-0.2313187463183904
ACH-000505,-0.12327467058827013
ACH-000507,-0.22271829794656728
ACH-000510,-0.0942757616715134
ACH-000511,-0.3256299495750811
ACH-000512,0.03887896730886064
ACH-000516,-0.15013923671170148
ACH-000517,-0.2387175258654237
ACH-000518,-0.08319816115448046
ACH-000520,-0.07908629472677746
ACH-000521,-0.4480463234271389
ACH-000522,-0.09837756073050168
ACH-000524,-0.20012110597953964
ACH-000527,-0.16185252519171012
ACH-000528,-0.2018241776664479
ACH-000537,-0.15940439107946505
ACH-000541,0.13531332419147896
ACH-000542,-0.2324349399166929
ACH-000544,-0.3434455195475933
ACH-000545,-0.20006265254579653
ACH-000547,0.06679578496740676
