,TSG101 (7251)
ACH-000004,-0.7756798422438629
ACH-000005,-1.159236942977675
ACH-000007,-1.0573580903817306
ACH-000009,-0.5498102405815091
ACH-000011,-0.7822201839504549
ACH-000012,-0.8012888347900806
ACH-000013,-0.7193508235232828
ACH-000014,-0.5864588977265638
ACH-000015,-0.6974189546426652
ACH-000017,-0.6962364436059347
ACH-000018,-0.4014503333771018
ACH-000019,-0.8240147699922875
ACH-000021,-0.8592138502549693
ACH-000022,-0.6382267183354349
ACH-000025,-0.6508307660518671
ACH-000028,-0.6872733493986833
ACH-000030,-0.7413508122265969
ACH-000035,-1.0424331923276766
ACH-000036,-0.5745040800276815
ACH-000037,-0.6894609626515333
ACH-000039,-0.6504132336452689
ACH-000040,-0.7528604308968851
ACH-000041,-0.8756527527254035
ACH-000042,-0.6257013651998953
ACH-000045,-0.8306427962899275
ACH-000047,-0.5914862739149777
ACH-000052,-0.8613342903837217
ACH-000053,-0.6423726135784873
ACH-000054,-0.9515188246370914
ACH-000055,-0.7684617205248638
ACH-000060,-0.6141768622296584
ACH-000067,-0.8366852785410759
ACH-000070,-0.7052448660761109
ACH-000075,-0.5588616560904115
ACH-000078,-0.7249208227467184
ACH-000082,-0.7498652497199564
ACH-000085,-0.5656217529643514
ACH-000086,-0.7080354180756128
ACH-000087,-0.5789468339457866
ACH-000092,-0.5198610602269432
ACH-000095,-0.7725504665158548
ACH-000097,-0.7316470563562699
ACH-000098,-0.5927778325458258
ACH-000099,-0.7566079805264737
ACH-000108,-0.8247935929482116
ACH-000113,-0.7300300209513549
ACH-000116,-1.0471789113311267
ACH-000118,-0.8931019785052114
ACH-000120,-1.080089361908798
ACH-000123,-0.8175620344692658
ACH-000127,-0.7939263392594602
ACH-000128,-0.675627095228429
ACH-000132,-0.7475846933870072
ACH-000133,-0.6662765123673419
ACH-000137,-1.0330553850436723
ACH-000138,-0.892161807975782
ACH-000142,-0.9323399409729346
ACH-000143,-0.9184684884765192
ACH-000146,-0.8040322523018832
ACH-000148,-0.6288617558223573
ACH-000150,-0.5661509480887493
ACH-000152,-0.6736500006035486
ACH-000153,-0.6227836507604048
ACH-000159,-0.6921657556385091
ACH-000160,-0.3401732164988876
ACH-000163,-0.6641900089723773
ACH-000167,-0.27068714219261897
ACH-000168,-0.848412816317982
ACH-000169,-0.9311329967639804
ACH-000178,-0.6764585304018933
ACH-000183,-0.8902552805998211
ACH-000188,-0.7731805435328271
ACH-000189,-0.6632996198105404
ACH-000190,-0.3686006210376981
ACH-000198,-0.664710976136518
ACH-000203,-0.859247259760101
ACH-000204,-0.7426467465942332
ACH-000206,-0.7510661464808972
ACH-000207,-0.9029447633927138
ACH-000208,-0.9041826358036441
ACH-000210,-0.8600010775390563
ACH-000211,-0.770971704959937
ACH-000215,-0.6563125291783087
ACH-000221,-0.6559146010029545
ACH-000222,-0.3369158749243624
ACH-000223,-1.0056120596650642
ACH-000226,-0.6669855313626603
ACH-000227,-0.6228473010213249
ACH-000228,-0.872457194908838
ACH-000231,-0.7492626861127702
ACH-000232,-0.7661561031499724
ACH-000233,-0.8558185801514996
ACH-000234,-0.5261705719380023
ACH-000235,-0.7412678259808333
ACH-000237,-0.8454935732100947
ACH-000238,-0.5983183084817161
ACH-000242,-0.8163440960363436
ACH-000243,-0.8703087424558332
ACH-000244,-0.5223778952392362
ACH-000246,-0.5661160871717117
ACH-000248,-0.7385016132285125
ACH-000250,-0.5526439994993511
ACH-000251,-0.8832375168778899
ACH-000252,-0.4261162620634007
ACH-000253,-0.7050737547277837
ACH-000255,-0.8660619239101349
ACH-000256,-0.8054111342449383
ACH-000257,-0.8189862978763397
ACH-000258,-0.7954265376177957
ACH-000259,-1.0197815076364989
ACH-000260,-0.7211853521092092
ACH-000261,-0.7810381567760675
ACH-000262,-0.5280801847679241
ACH-000263,-0.8336541576589692
ACH-000264,-0.6766459079927024
ACH-000265,-0.7251241988870307
ACH-000266,-0.7199528942173495
ACH-000272,-0.5643269736595963
ACH-000274,-0.5019034964038587
ACH-000277,-0.8376240376302401
ACH-000278,-0.8173195276420838
ACH-000279,-0.930483772588896
ACH-000280,-0.7964229741134593
ACH-000281,-0.7775673081807911
ACH-000288,-0.8387708383358812
ACH-000291,-0.6453987119711524
ACH-000293,-0.7487381936037032
ACH-000294,-0.6681403546865029
ACH-000295,-0.6433560409213961
