,SEMA4D (10507)
ACH-000004,-0.03338165970957275
ACH-000005,-0.0008347781801542889
ACH-000007,-0.26433928868530465
ACH-000009,-0.08117242614294709
ACH-000011,0.0329978840279187
ACH-000012,-0.10413756584352048
ACH-000013,-0.11065254516284542
ACH-000014,0.00831880931079664
ACH-000015,-0.10061994237044927
ACH-000017,0.012238356672011091
ACH-000018,-0.057137987095468176
ACH-000019,0.13874657655218695
ACH-000021,0.03462029748841741
ACH-000022,0.0065592504931109965
ACH-000025,-0.0537122043218746
ACH-000028,0.17730525455362905
ACH-000030,0.012040182901702926
ACH-000035,0.08122507047710728
ACH-000036,0.06518944937654676
ACH-000037,0.049016570437246575
ACH-000039,-0.06461535556456786
ACH-000040,0.01590922209726819
ACH-000041,-0.0482809501594833
ACH-000042,0.0174453517568051
ACH-000045,0.03356070842754199
ACH-000047,0.02624150090458273
ACH-000052,-0.11689917906978665
ACH-000053,0.04094202080508697
ACH-000054,0.07503234204709648
ACH-000055,0.16678827232136684
ACH-000060,0.1212921612798155
ACH-000067,0.12736933022811012
ACH-000070,-0.010079997895950708
ACH-000075,0.2680862307297613
ACH-000078,0.0482069328209661
ACH-000082,-0.0546341028015231
ACH-000085,-0.06286375434093565
ACH-000086,0.011747250310876024
ACH-000087,-0.18683045100269066
ACH-000092,0.05545805953795134
ACH-000095,-0.01428664935652237
ACH-000097,0.033535391353713834
ACH-000098,-0.02757306894675065
ACH-000099,0.025136565691947558
ACH-000108,0.02376186524018829
ACH-000113,0.13777097295080756
ACH-000116,0.2203434643011296
ACH-000118,0.021692288403631202
ACH-000120,0.2509228875619029
ACH-000123,0.028233980675264645
ACH-000127,0.09068212488496487
ACH-000128,0.0056347331297133905
ACH-000132,0.05844710084827399
ACH-000133,0.04431117849272083
ACH-000137,0.1990666094013556
ACH-000138,-0.010786203227582678
ACH-000142,-0.05886226789606942
ACH-000143,0.03978114692483162
ACH-000146,0.018422773974193618
ACH-000148,0.007951704384818042
ACH-000150,0.17904225876963034
ACH-000152,-0.01072610979852506
ACH-000153,-0.08016423188672908
ACH-000159,0.036261225378673496
ACH-000160,0.028228521723815143
ACH-000163,0.050595667673596065
ACH-000167,-0.0357073398929812
ACH-000168,0.08028876299868422
ACH-000169,0.09158010682706856
ACH-000178,0.08527492845857962
ACH-000183,0.044759104872477536
ACH-000188,-0.11533995670050655
ACH-000189,0.15527700635588013
ACH-000190,-0.10337486332524204
ACH-000198,0.05480793278135897
ACH-000203,-0.5494316597698341
ACH-000204,-0.19199844613346626
ACH-000206,-0.05961797998590456
ACH-000207,-0.08846670056737031
ACH-000208,0.10483018514480306
ACH-000210,0.08828869475507335
