,SYF2 (25949)
ACH-000004,-0.7691894654566045
ACH-000005,-1.0202030454455098
ACH-000007,-0.8842276903446039
ACH-000009,-0.9904537467292884
ACH-000011,-0.6563543279452113
ACH-000012,-0.9389658822375412
ACH-000013,-0.9322149913700106
ACH-000014,-0.9353916708523454
ACH-000015,-0.7016195519809817
ACH-000017,-1.0389104297995846
ACH-000018,-0.83283685076144
ACH-000019,-0.9968544644446992
ACH-000021,-0.825761053522295
ACH-000022,-0.9003142446026485
ACH-000025,-0.6398732392180337
ACH-000028,-1.072581299943302
ACH-000030,-0.9320338596724064
ACH-000035,-1.0659888509000652
ACH-000036,-0.8616721366727499
ACH-000037,-1.0391217243432769
ACH-000039,-0.6489903674424361
ACH-000040,-1.0325107357183698
ACH-000041,-0.7688680568036745
ACH-000042,-0.6988516937842012
ACH-000045,-0.7365447930901436
ACH-000047,-0.9644671542460592
ACH-000052,-1.0995411197425846
ACH-000053,-0.7521365252326142
ACH-000054,-0.9784678725147212
ACH-000055,-0.5884376572791594
ACH-000060,-1.0659880177143843
ACH-000067,-0.7745805205665981
ACH-000070,-1.0114546185009252
ACH-000075,-1.0345297751376556
ACH-000078,-0.7801110711493184
ACH-000082,-0.8239169039422116
ACH-000085,-0.6547276664937115
ACH-000086,-0.8784267056376124
ACH-000087,-0.81448765553277
ACH-000092,-0.9983951283027854
ACH-000095,-0.7776963671006917
ACH-000097,-0.8913035808942561
ACH-000098,-0.7000420222699811
ACH-000099,-1.0348401488869243
ACH-000108,-0.7009579798563522
ACH-000113,-0.8706046903098562
ACH-000116,-0.9999260828326796
ACH-000118,-0.8755580531031739
ACH-000120,-1.0147350852214216
ACH-000123,-1.0468755212043632
ACH-000127,-1.0240144281090429
ACH-000128,-0.6046091505146424
ACH-000132,-0.9740420099466016
ACH-000133,-0.9412109643773896
ACH-000137,-1.034030376005037
ACH-000138,-0.6582404987315865
ACH-000142,-0.7430537003673566
ACH-000143,-0.8245523007768035
ACH-000146,-0.8423198240838411
ACH-000148,-0.8613577548998117
ACH-000150,-0.8999254894647334
ACH-000152,-0.8766645867436743
ACH-000153,-1.0120380508815945
ACH-000159,-0.8549402551543356
ACH-000160,-1.012360535213562
ACH-000163,-0.6945074828316019
ACH-000167,-1.500483474913485
ACH-000168,-0.8333450515686474
ACH-000169,-0.833594097659011
ACH-000178,-0.7989914724382573
ACH-000183,-0.6130820856722924
ACH-000188,-0.8468175409680797
ACH-000189,-0.8795365183495791
ACH-000190,-1.0266197164420787
ACH-000198,-0.6859122093941136
ACH-000203,-0.8374105363709806
ACH-000204,-0.7968517061659676
ACH-000206,-0.7244662289152679
ACH-000207,-0.8085845949844502
ACH-000208,-0.7197402314632012
ACH-000210,-0.533756778744687
ACH-000211,-0.9063172887744642
ACH-000215,-0.8088250895556803
ACH-000221,-1.0715814756298163
ACH-000222,-0.9567363643971432
ACH-000223,-0.9034673526662356
