,CRLS1 (54675)
ACH-000004,-0.6979146013084656
ACH-000005,-0.5971661756543468
ACH-000007,-0.8248872687381376
ACH-000009,-0.48348503222218
ACH-000011,-0.41459772249392185
ACH-000012,-0.8453437291878414
ACH-000013,-0.8882792714826737
ACH-000014,-0.6872453289757471
ACH-000015,-0.7066045229666382
ACH-000017,-0.7976495487100687
ACH-000018,-0.8143012006301841
ACH-000019,-0.5779990146193617
ACH-000021,-0.4927797591280375
ACH-000022,-0.5179098544632381
ACH-000025,-0.4141236146803968
ACH-000028,-0.7225314461775106
ACH-000030,-0.7320526754347593
ACH-000035,-0.6546066296260746
ACH-000036,-0.4908179253473717
ACH-000037,-0.3060610943984958
ACH-000039,-0.7047848377599807
ACH-000040,-0.6639258928506957
ACH-000041,-0.852284501865687
ACH-000042,-0.4973588394127448
ACH-000045,-0.3619051490994645
ACH-000047,-0.5349373579365125
ACH-000052,-0.7106774836033081
ACH-000053,-0.7081620381934665
ACH-000054,-0.3932185853176519
ACH-000055,-0.16870449117304762
ACH-000060,-0.6077568094180725
ACH-000067,-0.8190136945201651
ACH-000070,-0.52292137823143
ACH-000075,-0.5084288103748357
ACH-000078,-0.33272180016851793
ACH-000082,-0.3918641556038943
ACH-000085,-0.5215324881809787
ACH-000086,-0.7171612394303863
ACH-000087,-0.5635589481728722
ACH-000092,-0.3834499918368209
ACH-000095,-0.3583271429341147
ACH-000097,-0.8279487947723976
ACH-000098,-0.4205048085780066
ACH-000099,-0.2230880485997114
ACH-000108,-0.620540277254791
ACH-000113,-0.5201069318033992
ACH-000116,-0.7057307184180757
ACH-000118,-0.5021793635492465
ACH-000120,-0.4720904228868017
ACH-000123,-0.3582391804742152
ACH-000127,-0.6895038371782524
ACH-000128,-0.8599687524812363
ACH-000132,-0.6116394868664522
ACH-000133,-0.8018985892639595
ACH-000137,-0.636579715853426
ACH-000138,-0.5973796400816445
ACH-000142,-0.3755087298869351
ACH-000143,-0.6336921244350069
ACH-000146,-1.019369013433982
ACH-000148,-0.5948863531336581
ACH-000150,-0.7240252053523709
ACH-000152,-0.6535596702824901
ACH-000153,-0.4161811462044137
ACH-000159,-0.3747865637988214
ACH-000160,-0.816669364511193
ACH-000163,-0.4897777780066235
ACH-000167,-0.08313703335574721
ACH-000168,-0.7135254537984197
ACH-000169,-0.8020461774484744
ACH-000178,-0.5424121056315783
ACH-000183,-0.592796378967537
ACH-000188,-0.6819613658995635
ACH-000189,-0.6015734457063068
