,OTOS (150677)
ACH-000004,-0.09112299663441613
ACH-000005,0.07398490036170445
ACH-000007,-0.1990456075243406
ACH-000009,-0.2033702833421803
ACH-000011,-0.12716348729962976
ACH-000012,-0.024982508379042208
ACH-000013,-0.12627976652254985
ACH-000014,-0.14212286286078646
ACH-000015,-0.1315348254743687
ACH-000017,-0.15433901973854874
ACH-000018,-0.2609698069157019
ACH-000019,-0.371776954168261
ACH-000021,-0.13399729245584352
ACH-000022,-0.2767942842997867
ACH-000025,-0.10274178290437733
ACH-000028,-0.2278080925061409
ACH-000030,-0.09426092061027057
ACH-000035,-0.059919957706886365
ACH-000036,-0.3341540049500247
ACH-000037,-0.26519919365282296
ACH-000039,-0.16823380615144845
ACH-000040,-0.2576822501323772
ACH-000041,-0.2414503089508413
ACH-000042,-0.2683368513039893
ACH-000045,-0.09319939574933267
ACH-000047,-0.21674346040423104
ACH-000052,-0.15174380420386133
ACH-000053,-0.2252280823464729
ACH-000054,-0.3931326496497085
ACH-000055,-0.026076833949732075
ACH-000060,-0.2288486695801156
ACH-000067,-0.183675448900134
ACH-000070,-0.2177966305355215
ACH-000075,-0.14849156933585328
ACH-000078,-0.2780277661670898
ACH-000082,-0.1919256700611984
ACH-000085,-0.3994029980681831
ACH-000086,-0.2696317856005046
ACH-000087,-0.2121730145813424
ACH-000092,-0.19721852147166047
ACH-000095,-0.31668658613575223
ACH-000097,-0.14609737046987406
ACH-000098,-0.270039599761394
ACH-000099,-0.2846647307346443
ACH-000108,-0.21448613245044704
ACH-000113,-0.1561771870564181
ACH-000116,-0.18988609570579226
ACH-000118,-0.2565393041904049
ACH-000120,-0.2377032677690727
ACH-000123,-0.16055663241805795
ACH-000127,-0.2061506099897455
ACH-000128,-0.14988141520449286
ACH-000132,-0.21983243232397004
ACH-000133,-0.28817969854829883
ACH-000137,-0.2523062138665516
ACH-000138,-0.24063196880046506
ACH-000142,-0.1846660119180893
ACH-000143,-0.2740512200155635
ACH-000146,-0.1312416582909285
ACH-000148,-0.26282485194924354
ACH-000150,-0.24927176573952484
ACH-000152,-0.16379772113656912
ACH-000153,-0.08744651610191294
ACH-000159,-0.06809440549699028
ACH-000160,-0.2960969744933068
ACH-000163,-0.13198438788971525
ACH-000167,-0.6087801578961288
ACH-000168,-0.35986598120239416
ACH-000169,-0.12627616869442596
ACH-000178,-0.17771196415748866
ACH-000183,-0.10304715630248264
ACH-000188,-0.2460106242858051
ACH-000189,-0.19100796142770365
ACH-000190,-0.005283495928364229
ACH-000198,-0.33243658270646503
ACH-000203,0.19532451574148468
ACH-000204,-0.4104857631899714
ACH-000206,-0.18937602426129005
ACH-000207,-0.3885922907674501
ACH-000208,-0.08136574461085393
ACH-000210,-0.2628525288471161
ACH-000211,-0.2783363744200402
ACH-000215,-0.2648688041559949
ACH-000221,0.030141128188755924
ACH-000222,-0.0951130257287561
ACH-000223,-0.3565179308909729
ACH-000226,-0.2538412418187494
ACH-000227,-0.2830348572446063
ACH-000228,-0.3331908617320718
ACH-000231,-0.1143326725556284
ACH-000232,-0.20392572403352888
ACH-000233,-0.2010496585730224
ACH-000234,-0.3862481600199555
ACH-000235,-0.1481531557511827
ACH-000237,-0.2976470921807131
ACH-000238,-0.189961939560254
ACH-000242,-0.0685616291503242
ACH-000243,-0.12429457267305287
ACH-000244,-0.07361344492226926
ACH-000246,-0.19393135879048126
ACH-000248,-0.3118559666295737
ACH-000250,-0.22459952671041072
ACH-000251,-0.014173921645168472
ACH-000252,-0.5686584527381898
ACH-000253,-0.3123430632921814
ACH-000255,-0.1247094548252626
ACH-000256,-0.26619718562901384
ACH-000257,0.03445364637577575
ACH-000258,-0.20171282728386813
ACH-000259,-0.22679993996523695
ACH-000260,-0.17092333963997575
ACH-000261,-0.26144519367224706
ACH-000262,-0.10652024842511694
ACH-000263,-0.03419676132480698
ACH-000264,-0.19790215465374236
ACH-000265,-0.22278154253289106
ACH-000266,-0.3019696428308484
ACH-000272,-0.2384061925572521
ACH-000274,-0.14154762428086773
ACH-000277,-0.3437662307570637
ACH-000278,-0.4051105571791482
ACH-000279,-0.20784171016962072
ACH-000280,-0.09096228676632606
ACH-000281,-0.24012349289017354
ACH-000288,-0.17134022629980833
ACH-000291,-0.21422066981677296
ACH-000293,-0.2481853309445885
ACH-000294,-0.14687587198609306
ACH-000295,-0.28204444386808475
ACH-000296,-0.1541327491012051
ACH-000302,-0.17397968763228658
ACH-000304,-0.4461373695728523
ACH-000307,-0.22056892921331145
ACH-000308,-0.18468269922463146
ACH-000310,-0.2967846867528133
ACH-000311,-0.28004548423359266
ACH-000312,-0.3148683096570532
ACH-000315,0.0031194951589470672
ACH-000316,-0.20950538038915315
ACH-000317,-0.1729002248474618
ACH-000318,-0.23737153199321426
ACH-000319,-0.08824287394517052
ACH-000320,-0.2259072565496882
ACH-000322,-0.10960933598942983
ACH-000323,-0.22235076058731915
ACH-000324,-0.4089059590149858
ACH-000329,-0.2531563910109941
ACH-000330,-0.2987281595904743
ACH-000331,-0.25051149950835344
ACH-000332,-0.3362049124137952
ACH-000334,-0.09477963771322634
ACH-000335,-0.009681907759509886
ACH-000336,-0.15699487736239648
ACH-000337,-0.4514616966061018
ACH-000338,-0.4913660242604805
ACH-000339,-0.22468744974586544
ACH-000341,-0.21205643307343164
ACH-000348,-0.2896564484080413
ACH-000350,-0.3141342726256734
ACH-000352,-0.2499035315201117
ACH-000356,-0.014125232811042443
ACH-000361,-0.21511199751788376
ACH-000362,-0.1742419871709291
ACH-000363,-0.21535779875787986
ACH-000364,-0.04924078818957904
ACH-000365,-0.12258747830736873
ACH-000366,-0.15161054641936675
ACH-000368,-0.16876059614970845
ACH-000374,-0.06006313500576835
ACH-000375,-0.35795133744308416
ACH-000376,-0.19427271903410265
ACH-000381,-0.16747817528035686
ACH-000383,-0.2209594135756129
ACH-000387,-0.12346697273031508
ACH-000389,-0.20518337838005
ACH-000390,-0.2192225039649656
ACH-000393,-0.2322135567072611
ACH-000395,-0.03754269308570225
ACH-000396,-0.2557309334589482
ACH-000397,-0.25268118878768475
ACH-000401,-0.07330394352375444
ACH-000402,-0.3923802460356076
ACH-000403,-0.2207055653443748
ACH-000404,-0.0009150175978023652
ACH-000406,-0.15744935237128002
ACH-000407,-0.2602566435741676
ACH-000408,-0.10912657120121982
ACH-000410,-0.3169098646168866
ACH-000411,-0.18734775411266624
ACH-000414,-0.10151806779820206
ACH-000415,-0.1831957110952785
ACH-000416,-0.25267853988980715
ACH-000420,-0.32902451858660553
ACH-000421,-0.21044383551687387
ACH-000424,-0.23005677762250906
ACH-000425,-0.277757514084756
ACH-000426,-0.2377278366337423
ACH-000427,-0.3658617938508587
ACH-000433,-0.13102577742130833
ACH-000435,-0.008578989445101291
ACH-000436,-0.2481281392775344
ACH-000444,-0.21148539064650068
ACH-000445,-0.4590834707863372
ACH-000448,-0.228600085647516
ACH-000450,-0.37137911514028
ACH-000452,-0.1593505195504423
ACH-000454,-0.32677976785885343
ACH-000458,0.0116660556033369
ACH-000459,0.09110828266777968
ACH-000460,-0.1999658458916633
ACH-000461,-0.16610432405949066
ACH-000463,-0.27668311212975105
ACH-000464,-0.05559715344475217
ACH-000466,-0.15038220673809116
ACH-000467,-0.18461612414358544
ACH-000468,-0.1616061405943669
ACH-000469,-0.19052493135498752
ACH-000470,-0.04798019467454325
ACH-000471,-0.14708964881640418
ACH-000472,-0.1318082537369426
ACH-000473,-0.19094831323691008
ACH-000475,-0.15772481126047488
ACH-000476,-0.20669731612134307
ACH-000477,-0.3625250202743167
ACH-000479,-0.23934365504114266
ACH-000480,-0.2114315650496807
ACH-000481,-0.17264374453690293
ACH-000483,-0.09886731626990353
ACH-000484,-0.1456653965558368
ACH-000485,-0.25015264603183923
ACH-000486,-0.22299368944554374
ACH-000487,-0.049033815301585605
ACH-000488,-0.25591906632596045
ACH-000490,-0.20445247163527885
ACH-000491,-0.09674304943837687
ACH-000495,-0.3899973327929096
ACH-000496,-0.20341043089372332
ACH-000499,-0.05237312464534486
ACH-000500,-0.4481191373934322
ACH-000502,-0.2306962906006115
ACH-000503,-0.10480579059656736
ACH-000505,-0.31354532832045545
ACH-000507,-0.3978204106331841
ACH-000510,-0.17155138036352932
ACH-000511,-0.1015155084524382
ACH-000512,-0.19498975897561946
ACH-000516,-0.13308930960804918
ACH-000517,-0.2426225365981517
ACH-000518,-0.1359846272836915
