,ARHGAP11B (89839)
ACH-000004,-0.4676679711200751
ACH-000005,-0.5788159327747554
ACH-000007,-0.23320787818908464
ACH-000009,-0.5105808110348227
ACH-000011,-0.3083072251788417
ACH-000012,-0.3531287571810781
ACH-000013,-0.24609940865877294
ACH-000014,-0.4860939015055996
ACH-000015,-0.259114162267212
ACH-000017,-0.2727551680286655
ACH-000018,-0.2147616833548759
ACH-000019,-0.2891281515793321
ACH-000021,-0.3754295158872584
ACH-000022,-0.3387869307500924
ACH-000025,-0.4040417734149059
ACH-000028,-0.1827151149540676
ACH-000030,-0.3380746818310387
ACH-000035,-0.22277216701823774
ACH-000036,-0.3794694923574665
ACH-000037,-0.3141127670649307
ACH-000039,-0.33803308006108185
ACH-000040,-0.27971290067513604
ACH-000041,-0.33936386704404675
ACH-000042,-0.26269056587967665
ACH-000045,-0.2920462695370921
ACH-000047,-0.2770235741309542
ACH-000052,-0.33885051254558074
ACH-000053,-0.3210852357281879
ACH-000054,-0.4377276096639651
ACH-000055,-0.40695268932483175
ACH-000060,-0.19684392542990886
ACH-000067,-0.3682763036706583
ACH-000070,-0.3060216374866749
ACH-000075,-0.471736488079004
ACH-000078,-0.23153824262191225
ACH-000082,-0.4135645561942001
ACH-000085,-0.2664300447355199
ACH-000086,-0.3626937529136521
ACH-000087,-0.20801841474321967
ACH-000092,-0.3291809583999561
ACH-000095,-0.2823234925785054
ACH-000097,-0.6754247023681037
ACH-000098,-0.3556991996008921
ACH-000099,-0.2266214077085089
ACH-000108,-0.35094903771090863
ACH-000113,-0.3159136724837016
ACH-000116,-0.25922231964112946
ACH-000118,-0.2431332919606145
ACH-000120,-0.4532675555214978
ACH-000123,-0.2565641906023544
ACH-000127,-0.29788714536889105
ACH-000128,-0.2754923288441215
ACH-000132,-0.2290291965376396
ACH-000133,-0.5232641803291772
ACH-000137,-0.22773895775813754
ACH-000138,-0.28683738293609506
ACH-000142,-0.18445522924986185
ACH-000143,-0.2312930767898676
ACH-000146,-0.6225164462203194
ACH-000148,-0.3693844854636428
ACH-000150,-0.40115875598790995
ACH-000152,-0.3744669690961671
ACH-000153,-0.6384387312829817
ACH-000159,-0.3797551423829399
ACH-000160,-0.3359102514122781
ACH-000163,-0.2001106674946244
ACH-000167,-0.5663284305267046
ACH-000168,-0.4059154067398196
ACH-000169,-0.2470914723553807
ACH-000178,-0.3383814511560482
ACH-000183,-0.29835702652482754
ACH-000188,-0.3309476419153274
ACH-000189,-0.12148897277769816
ACH-000190,-0.3060236887117569
ACH-000198,-0.17130773783098435
ACH-000203,-0.2570437206530869
ACH-000204,-0.1920580221952945
ACH-000206,-0.5026381572371662
ACH-000207,-0.13730795286620515
ACH-000208,-0.3130011225111352
ACH-000210,-0.29170973298785485
ACH-000211,-0.3019475937561381
ACH-000215,-0.24998375303705234
ACH-000221,-0.27119038257202777
ACH-000222,-0.2003234615390988
ACH-000223,-0.2888049349504492
ACH-000226,-0.3051873022602537
ACH-000227,-0.3180171797500216
ACH-000228,-0.3631465745904777
ACH-000231,-0.24374546949910197
ACH-000232,-0.14190996493344718
ACH-000233,-0.4376340133556381
ACH-000234,-0.4239637912615161
ACH-000235,-0.3605999950550667
ACH-000237,-0.26277204438941204
ACH-000238,-0.25728741293357754
ACH-000242,-0.5411800182115879
ACH-000243,-0.3607260458559663
ACH-000244,-0.21547598697704687
ACH-000246,-0.2476518757468329
ACH-000248,-0.3051658122553707
ACH-000250,-0.3503718777970725
ACH-000251,-0.34082352981284725
ACH-000252,-0.3198575938521983
ACH-000253,-0.3312901635337605
ACH-000255,-0.4394110298258844
ACH-000256,-0.2751900555526945
ACH-000257,-0.43455179155778495
ACH-000258,-0.2155817807306621
ACH-000259,-0.3263998192512253
ACH-000260,-0.36320546516814817
ACH-000261,-0.37973395451895
ACH-000262,-0.3601529979555256
ACH-000263,-0.5654276082392851
ACH-000264,-0.2519809081884538
ACH-000265,-0.38229281574477786
ACH-000266,-0.3539848669565258
ACH-000272,-0.3225884999338866
ACH-000274,-0.3004017396055398
ACH-000277,-0.22252560721661324
ACH-000278,-0.349137182510579
ACH-000279,-0.2622386602829496
ACH-000280,-0.2332367378437385
ACH-000281,-0.16529672284568073
ACH-000288,-0.358217807925906
ACH-000291,-0.2490976798617666
ACH-000293,-0.16335715727161396
ACH-000294,-0.8891061732129214
ACH-000295,-0.2180961578551864
ACH-000296,-0.4524439648207639
ACH-000302,-0.3451390603420729
ACH-000304,-0.4422680268554228
ACH-000307,-0.2894828292508595
ACH-000308,-0.2361745544299508
ACH-000310,-0.40222826440626813
ACH-000311,-0.3760704377876915
ACH-000312,-0.3545075282387982
ACH-000315,-0.2679360784265584
ACH-000316,-0.4550778405576818
ACH-000317,-0.4100804027019951
ACH-000318,-0.34879765152544084
ACH-000319,-0.4807113862457557
ACH-000320,-0.3111060251990275
ACH-000322,-0.5876758328036668
ACH-000323,-0.29297739033271786
ACH-000324,-0.2848707789845257
ACH-000329,-0.3464712904955914
ACH-000330,-0.1422221768837782
ACH-000331,-0.3160501612907813
ACH-000332,-0.4227936947537646
ACH-000334,-0.2818618430601665
ACH-000335,-0.3585045320206153
ACH-000336,-0.38036091383041415
ACH-000337,-0.4360339812880623
ACH-000338,-0.4512954335002706
ACH-000339,-0.3422570014236652
ACH-000341,-0.3575946234354066
ACH-000348,-0.4282272587968482
ACH-000350,-0.3689007932242894
ACH-000352,-0.42080733489238104
ACH-000356,-0.31988114535481843
ACH-000361,-0.3770673101023436
ACH-000362,-0.3456857418192505
ACH-000363,-0.3005673152335317
ACH-000364,-0.3346351841140861
ACH-000365,-0.29558711266017745
ACH-000366,-0.23106790440670505
ACH-000368,-0.4813077955063617
