,SPAG5 (10615)
ACH-000004,-0.39642932358152055
ACH-000005,-0.7856926725264983
ACH-000007,-0.16970697695657208
ACH-000009,-0.2712291920340316
ACH-000011,-0.38489950769123693
ACH-000012,-0.3598227102936021
ACH-000013,-0.3642890767240556
ACH-000014,-0.18306777152803785
ACH-000015,-0.4092215276441137
ACH-000017,-0.3083362679845057
ACH-000018,-0.4399958110842748
ACH-000019,-0.3242200589711497
ACH-000021,-0.3792642721098375
ACH-000022,-0.5120937171833642
ACH-000025,-0.21892427550619345
ACH-000028,-0.1969929179416471
ACH-000030,-0.5992905974188534
ACH-000035,-0.3281451332182548
ACH-000036,-0.3220810502111168
ACH-000037,-0.3034021865570656
ACH-000039,-0.0902577664271318
ACH-000040,-0.4252718628081768
ACH-000041,-0.3587795412418752
ACH-000042,-0.3795914490457585
ACH-000045,-0.4258327662275088
ACH-000047,-0.4828695517245538
ACH-000052,-0.302179922207372
ACH-000053,-0.3103245389818914
ACH-000054,-0.2507103036365838
ACH-000055,-0.2907376906502903
ACH-000060,-0.4086730014453479
ACH-000067,-0.5563764683556401
ACH-000070,-0.2793723327628639
ACH-000075,-0.4172103230884553
ACH-000078,-0.35609416856396936
ACH-000082,-0.4580125070135617
ACH-000085,-0.39235597111725184
ACH-000086,-0.33510999981605977
ACH-000087,-0.22058265349396144
ACH-000092,-0.08180259968290123
ACH-000095,-0.19855446989711004
ACH-000097,-0.337448962099353
ACH-000098,-0.4202339495882835
ACH-000099,-0.1444633486295014
ACH-000108,-0.4921010565480526
ACH-000113,-0.3725538400271517
ACH-000116,-0.5482117855341924
ACH-000118,-0.21078039237774576
ACH-000120,-0.27836362531809633
ACH-000123,-0.4483581966975567
ACH-000127,-0.2635580282499324
ACH-000128,-0.29214913875681897
ACH-000132,-0.11771939884326073
ACH-000133,-0.2704154117490684
ACH-000137,-0.20921139807393346
ACH-000138,-0.18204519096461225
ACH-000142,-0.3288445149289008
ACH-000143,-0.4654920608333466
ACH-000146,-0.2637899284261236
ACH-000148,-0.3541987405156934
ACH-000150,-0.3308466000117189
ACH-000152,-0.31045885699015136
ACH-000153,-0.30285086906360065
ACH-000159,-0.15823899236493946
ACH-000160,-0.35199733605837275
ACH-000163,-0.3499181445723552
ACH-000167,-0.6411410591577422
ACH-000168,-0.34503484893504216
ACH-000169,-0.4705230002088445
ACH-000178,-0.3631177281754443
ACH-000183,-0.2510567914600221
ACH-000188,-0.4091287074955586
ACH-000189,-0.0401990929428314
ACH-000190,-0.4188143516939665
ACH-000198,-0.2520923953946204
ACH-000203,0.1885610489091673
ACH-000204,-0.1520686245236238
ACH-000206,-0.18841332572660224
ACH-000207,-0.5922904189514924
ACH-000208,-0.25044920055279657
ACH-000210,0.08794869562652198
ACH-000211,-0.5235025909309702
ACH-000215,-0.2623057459134212
ACH-000221,-0.42826649649742105
ACH-000222,-0.30085886673640266
ACH-000223,-0.35148904854178625
ACH-000226,-0.12355508054950545
ACH-000227,-0.28133487942938296
ACH-000228,-0.5155288412823007
ACH-000231,-0.3892438652586959
ACH-000232,-0.1114262107298604
ACH-000233,-0.24871318061346606
ACH-000234,-0.3189764294405484
ACH-000235,-0.2988580530999194
ACH-000237,-0.3938510053745609
ACH-000238,-0.6109978793289914
ACH-000242,-0.23031017881947385
ACH-000243,-0.32083356887378345
ACH-000244,-0.17544570880143098
ACH-000246,-0.15142411943047976
ACH-000248,-0.5022403119858023
ACH-000250,-0.4791991131298191
ACH-000251,-0.3968526329661283
ACH-000252,-0.3155996190038883
ACH-000253,-0.0740726697751696
ACH-000255,-0.5612229931986211
ACH-000256,-0.3489017580796261
ACH-000257,-0.3705802162267361
ACH-000258,-0.26150581861860706
ACH-000259,-0.3833849022870328
ACH-000260,-0.3659767973812419
ACH-000261,-0.5390301279411326
ACH-000262,0.03931418904282038
ACH-000263,-0.4780907750815141
ACH-000264,-0.2474023182819443
ACH-000265,-0.3834785397220388
ACH-000266,-0.22986847217753698
ACH-000272,-0.1198451750801915
ACH-000274,-0.2804083933909101
ACH-000277,-0.2915714338706802
ACH-000278,-0.14814055240059534
ACH-000279,-0.2218861662019907
ACH-000280,-0.3526812601697411
ACH-000281,-0.1665191508295726
ACH-000288,-0.4168170864620331
ACH-000291,-0.3622275960177345
ACH-000293,-0.5882030706436682
ACH-000294,-0.4665285552753994
ACH-000295,-0.35327677182196554
ACH-000296,-0.17350584636177774
ACH-000302,-0.33113749117823843
ACH-000304,-0.4327923230657123
ACH-000307,-0.4041446753530348
ACH-000308,-0.07403128434230204
ACH-000310,-0.21737827770766988
ACH-000311,-0.33191629931585803
ACH-000312,-0.3224133152770239
ACH-000315,-0.12227138624130635
ACH-000316,-0.5742428791724151
ACH-000317,-0.22728172619904186
ACH-000318,-0.3719879634158429
ACH-000319,-0.3490219147006277
ACH-000320,-0.09659777397537206
ACH-000322,-0.36902371725882266
ACH-000323,-0.3837148561106464
ACH-000324,-0.17285307065604802
ACH-000329,-0.5751689478516234
ACH-000330,-0.3152329676696809
ACH-000331,-0.16740995754924268
ACH-000332,-0.08587070773300212
ACH-000334,-0.2078824162402399
ACH-000335,-0.3065176056244928
ACH-000336,-0.5700395907210474
ACH-000337,-0.16075924143019804
ACH-000338,-0.12054891971614624
ACH-000339,-0.22508169868001066
ACH-000341,-0.2699056551426128
ACH-000348,-0.3356498668331975
ACH-000350,-0.20341347126898826
ACH-000352,-0.3230548727363615
ACH-000356,-0.1431811836487323
ACH-000361,-0.17090935530835166
ACH-000362,-0.3406362619374339
ACH-000363,-0.19296314858438987
ACH-000364,-0.1704671596906279
ACH-000365,-0.19836658407125804
ACH-000366,-0.2839409439225924
ACH-000368,-0.17422134104204204
ACH-000374,-0.6153972087970403
ACH-000375,-0.151186759898295
ACH-000376,-0.18171914156423827
ACH-000381,-0.32493243422039936
ACH-000383,-0.421237256161374
ACH-000387,-0.2095749796715514
ACH-000389,0.0003573213098354301
ACH-000390,-0.4184924194825238
ACH-000393,-0.4050222627949826
ACH-000395,-0.22135188214468896
ACH-000396,-0.3579230915093956
ACH-000397,-0.3458166343250994
ACH-000401,-0.3738131136431437
ACH-000402,-0.4499358960505065
ACH-000403,-0.2852686967964279
ACH-000404,-0.35866819606280026
ACH-000406,-0.3197323628536526
ACH-000407,-0.30548873075051824
ACH-000408,-0.3393278515887649
ACH-000410,-0.27115148357485275
ACH-000411,-0.261382555956408
ACH-000414,-0.4902115890576434
ACH-000415,-0.4960001729932752
ACH-000416,-0.2023549665321415
ACH-000420,-0.4295946826982801
ACH-000421,-0.40600454609672615
ACH-000424,-0.3347430193242313
ACH-000425,-0.3740428971332641
ACH-000426,-0.018937886770571972
ACH-000427,-0.6110987107071761
ACH-000433,-0.4746587347122495
ACH-000435,-0.5728480872054011
ACH-000436,-0.23457274235031256
ACH-000444,-0.29370914579972524
ACH-000445,-0.6837440025063974
ACH-000448,-0.27238785722576725
ACH-000450,-0.2396567528999453
ACH-000452,-0.2968750644140493
ACH-000454,-0.05782243662582862
ACH-000458,-0.36597047825868606
ACH-000459,-0.14033022134906709
ACH-000460,-0.24747380482682724
ACH-000461,-0.2416117764296562
ACH-000463,-0.3009736084279949
ACH-000464,-0.2386207971655934
ACH-000466,-0.4498736845324993
