,MYLK2 (85366)
ACH-000004,-0.4100660342677329
ACH-000005,-0.5956961861165684
ACH-000007,-0.3779716016877799
ACH-000009,-0.2427484544353317
ACH-000011,-0.3070244486070729
ACH-000012,-0.1925301840981848
ACH-000013,-0.17518171173119487
ACH-000014,-0.060518413265595976
ACH-000015,-0.23582073534509995
ACH-000017,-0.12233907600667443
ACH-000018,-0.12452779980874497
ACH-000019,-0.1530830001535094
ACH-000021,-0.1870168098663707
ACH-000022,-0.08080346685010252
ACH-000025,-0.39475419753386615
ACH-000028,-0.321753994173708
ACH-000030,-0.2887425111186437
ACH-000035,-0.21816900361575087
ACH-000036,-0.34290758075630084
ACH-000037,0.015354579105002375
ACH-000039,-0.1241236758994249
ACH-000040,-0.21474711915043276
ACH-000041,-0.17561663419160653
ACH-000042,-0.3397325681971706
ACH-000045,-0.002655104080950637
ACH-000047,-0.28204857347253964
ACH-000052,-0.2494445483150229
ACH-000053,-0.28310722417474365
ACH-000054,-0.08770976181281695
ACH-000055,-0.3647901048168178
ACH-000060,-0.3640132840823483
ACH-000067,-0.159054204242321
ACH-000070,-0.28691781876045536
ACH-000075,-0.23645147799595814
ACH-000078,-0.1639353456523168
ACH-000082,-0.29754474266684544
ACH-000085,-0.3471107638617361
ACH-000086,-0.3413022694770195
ACH-000087,0.05778315979133355
ACH-000092,-0.3885621593792072
ACH-000095,-0.07395722478195399
ACH-000097,-0.19242379679717586
ACH-000098,-0.09136677439568056
ACH-000099,-0.2268798791384349
ACH-000108,-0.4197849329682091
ACH-000113,-0.2709895063104194
ACH-000116,-0.2567293399960877
ACH-000118,-0.17747330928581728
ACH-000120,-0.09346778036859237
ACH-000123,-0.20939286980738864
ACH-000127,-0.08148421730414639
ACH-000128,-0.2385923892295519
ACH-000132,-0.04581826363563619
ACH-000133,-0.35559634868634304
ACH-000137,-0.1250734411234462
ACH-000138,-0.1846662146841412
ACH-000142,-0.13024431725541713
ACH-000143,0.014797040817773654
ACH-000146,-0.1906174021972375
ACH-000148,-0.2390928746131683
ACH-000150,-0.30724048448654123
ACH-000152,-0.23701291112781184
ACH-000153,-0.2969736125296128
ACH-000159,-0.2501252626026105
