,EXOC3L1 (283849)
ACH-000004,-0.22341636042347215
ACH-000005,-0.10579097156762003
ACH-000007,-0.31108630413111704
ACH-000009,-0.16316174562897273
ACH-000011,-0.10560160470507818
ACH-000012,-0.2101236504847228
ACH-000013,-0.2500229905945846
ACH-000014,-0.19307994589508334
ACH-000015,0.03659623232311577
ACH-000017,-0.14416527718814118
ACH-000018,-0.174767463867925
ACH-000019,-0.19113750694056128
ACH-000021,-0.3056556980371789
ACH-000022,-0.05795695978694975
ACH-000025,-0.2613255382432313
ACH-000028,-0.18718704311756332
ACH-000030,-0.09078581241971566
ACH-000035,-0.10276582052469656
ACH-000036,-0.29088883110297503
ACH-000037,-0.31437482564134617
ACH-000039,-0.12845881301229414
ACH-000040,-0.1974803059202064
ACH-000041,-0.22661489075188465
ACH-000042,-0.2752338114351591
ACH-000045,-0.18871750946541135
ACH-000047,-0.22684101448076002
ACH-000052,-0.04915821070479246
ACH-000053,-0.18787880146555294
ACH-000054,-0.2840852500041419
ACH-000055,-0.28171251831065297
ACH-000060,-0.29775234482638224
ACH-000067,-0.013895761970653285
ACH-000070,-0.29792565072151234
ACH-000075,-0.4502169144834359
ACH-000078,-0.1924053369023108
ACH-000082,-0.273403022397514
ACH-000085,-0.4621168409284791
ACH-000086,-0.3082041718588989
ACH-000087,-0.33218404060652323
ACH-000092,-0.3445960971499269
ACH-000095,-0.2266152552308935
ACH-000097,-0.15941380140076467
ACH-000098,-0.3077034639566104
ACH-000099,-0.10301408018865492
ACH-000108,-0.2537814452283224
ACH-000113,-0.0663610013060808
ACH-000116,-0.22635122839433064
ACH-000118,-0.10617994692034216
ACH-000120,0.020709012116771446
ACH-000123,-0.11154298487763617
ACH-000127,-0.16168052344819964
ACH-000128,-0.184101845139216
ACH-000132,-0.4900267555812455
ACH-000133,-0.4147775389671805
ACH-000137,-0.31356992196992123
ACH-000138,-0.1531566424013921
ACH-000142,-0.11362257949633177
ACH-000143,-0.2685441116966829
ACH-000146,-0.12711070894164148
ACH-000148,-0.31441539366466603
ACH-000150,-0.16889958041291406
ACH-000152,-0.1935239348343003
ACH-000153,-0.3006632235650183
ACH-000159,-0.21448308136957656
ACH-000160,-0.13537675386277254
ACH-000163,-0.028266448400384694
ACH-000167,0.3813304252717155
ACH-000168,-0.1373464774126157
ACH-000169,-0.283271744055367
ACH-000178,-0.14137991074155354
ACH-000183,-0.07415627925160345
ACH-000188,-0.21401126590805336
ACH-000189,-0.21951701372484805
ACH-000190,0.16018713527847192
ACH-000198,-0.09474777544750508
ACH-000203,-0.2636782252797579
ACH-000204,-0.048246277549657775
ACH-000206,-0.052144656263453715
ACH-000207,-0.10773016937200224
ACH-000208,-0.3860561630408373
ACH-000210,-0.024045670264206325
ACH-000211,-0.2037109188702696
ACH-000215,-0.16686822828836342
ACH-000221,-0.2584594222028593
ACH-000222,-0.2948442963080025
ACH-000223,-0.09201371121420657
ACH-000226,-0.25569577405341376
ACH-000227,-0.2975220361786048
ACH-000228,-0.2005691621980111
ACH-000231,-0.25931152640635274
ACH-000232,-0.2861918821286181
ACH-000233,-0.15976635747402132
ACH-000234,-0.2767739673024571
ACH-000235,-0.2179169428832817
ACH-000237,-0.1890848499410697
ACH-000238,-0.258603052915539
ACH-000242,0.25022726715116805
ACH-000243,-0.2398406447869514
ACH-000244,-0.472892126399673
ACH-000246,-0.17466562419201534
ACH-000248,-0.133286842489524
ACH-000250,-0.23251325588704394
ACH-000251,-0.3686347352729836
ACH-000252,-0.1512927659660481
ACH-000253,-0.20031633834589047
ACH-000255,-0.12761389123144268
ACH-000256,-0.1988171341231148
ACH-000257,-0.3751607008904397
ACH-000258,-0.17411972348538818
ACH-000259,-0.19851609358412364
ACH-000260,-0.2961127965153004
ACH-000261,-0.2860080778165384
ACH-000262,-0.15255763317963605
ACH-000263,-0.11391417911773775
ACH-000264,-0.21335966790539046
ACH-000265,-0.2374079248113423
ACH-000266,-0.21445005333299416
ACH-000272,-0.12225778571744465
ACH-000274,-0.14661344433636506
ACH-000277,-0.3512624431514765
ACH-000278,-0.27629831916878594
ACH-000279,-0.14020670672880833
ACH-000280,-0.14788944867195233
ACH-000281,-0.3262453894116075
ACH-000288,-0.3659797675242485
ACH-000291,-0.20746843497508716
ACH-000293,-0.1933682681403312
ACH-000294,-0.2030029253464634
ACH-000295,-0.22501844141440625
ACH-000296,-0.18065367712376448
ACH-000302,-0.0923194372817272
ACH-000304,0.005470563407924939
ACH-000307,-0.13128418289757102
ACH-000308,-0.2522147574245753
ACH-000310,-0.27768593085370524
ACH-000311,-0.08050056011491727
ACH-000312,-0.2105978109709449
ACH-000315,-0.1688599644649067
ACH-000316,-0.09707697962891994
ACH-000317,-0.19974484813499788
ACH-000318,-0.037028007316208734
ACH-000319,-0.1418145831280115
ACH-000320,-0.25259086625939525
ACH-000322,-0.4431526433160659
ACH-000323,-0.08357197012311647
ACH-000324,-0.14305945991393407
ACH-000329,-0.32610951546095085
ACH-000330,-0.32628199529484525
ACH-000331,-0.19750865156015812
ACH-000332,-0.0802613971785778
ACH-000334,-0.2342226034092605
ACH-000335,-0.3038059094517005
ACH-000336,-0.21774203755914093
ACH-000337,-0.5021451591998759
ACH-000338,-0.013357978939785627
ACH-000339,-0.2216485279201688
ACH-000341,-0.07407554389036003
ACH-000348,-0.2189302328760964
ACH-000350,-0.13078557051536965
ACH-000352,-0.1133928033524924
ACH-000356,-0.261780646723983
ACH-000361,-0.1031882252530584
ACH-000362,-0.12984827640388516
ACH-000363,-0.12650941565833607
ACH-000364,-0.3546785564599261
ACH-000365,-0.22797322180707774
ACH-000366,-0.2314903692786537
ACH-000368,-0.1977535113019567
ACH-000374,-0.1502093343842168
ACH-000375,-0.2834679706892311
ACH-000376,-0.2402255532127443
ACH-000381,-0.21017219758056774
ACH-000383,-0.16070834416071145
ACH-000387,-0.12592695024784542
ACH-000389,-0.12086568861050985
ACH-000390,-0.05626038922045458
ACH-000393,-0.2458069331973012
ACH-000395,-0.328930948425026
ACH-000396,-0.3951919017920405
ACH-000397,-0.19356330775809205
ACH-000401,-0.3176899434519544
ACH-000402,-0.2299693870066289
ACH-000403,-0.2915458010914862
ACH-000404,-0.0170633727694089
ACH-000406,-0.2266999208752812
ACH-000407,-0.14707585649190372
ACH-000408,-0.06996859681314689
ACH-000410,-0.25084191171772263
ACH-000411,-0.17817869742276804
ACH-000414,-0.0380234629236408
ACH-000415,-0.09893835120916973
ACH-000416,-0.3917027873145533
ACH-000420,-0.2490148133624423
ACH-000421,-0.07744534208207814
ACH-000424,-0.2591913401899711
ACH-000425,-0.22540773358825303
ACH-000426,-0.27259847795502457
ACH-000427,-0.09055621871009692
ACH-000433,-0.3657793861190107
ACH-000435,0.07151896166544658
ACH-000436,-0.16889514438314626
ACH-000444,-0.27227657700075325
ACH-000445,-0.5203749113029387
ACH-000448,-0.20197634049583807
ACH-000450,0.03919333382697563
ACH-000452,-0.27854831231028593
ACH-000454,-0.2732315819023469
ACH-000458,-0.04593643687102531
ACH-000459,-0.2155243905465622
ACH-000460,-0.2511152817266068
ACH-000461,-0.07548732973005452
ACH-000463,-0.20913232090766332
ACH-000464,-0.20634022288000053
ACH-000466,-0.0964562647780982
ACH-000467,-0.3485620788508707
ACH-000468,-0.2324557084416169
ACH-000469,-0.2520834953315809
ACH-000470,-0.1751073007078413
ACH-000471,-0.2679238956737406
ACH-000472,-0.12743090986451786
ACH-000473,-0.21745576348876852
ACH-000475,-0.2930606233158233
ACH-000476,-0.08905868619903347
ACH-000477,-0.193752351209532
ACH-000479,-0.4672248215952512
ACH-000480,-0.2334284571032812
ACH-000481,-0.2638557123142644
ACH-000483,-0.21959444339135364
ACH-000484,-0.20934808088322815
ACH-000485,-0.30352093905962313
ACH-000486,-0.11752135699702633
ACH-000487,-0.13585919639771066
ACH-000488,-0.1380578532089367
ACH-000490,-0.1849654327993685
ACH-000491,-0.1567415443776011
ACH-000495,-0.13517122612692145
ACH-000496,-0.1427621588745987
ACH-000499,-0.1546053393279693
ACH-000500,0.2387678256389737
ACH-000502,-0.2308396654259587
ACH-000503,-0.3208155317344672
ACH-000505,-0.26433572431408114
ACH-000507,-0.1811503819891905
ACH-000510,-0.08901997930458831
ACH-000511,-0.200027126938882
ACH-000512,-0.15808316871367425
ACH-000516,-0.3104381276175707
ACH-000517,-0.23513303271706926
ACH-000518,-0.24887621069186386
ACH-000520,-0.2857369853244104
ACH-000521,-0.2458225584209445
ACH-000522,-0.27880405327764035
ACH-000524,-0.16754614250695218
ACH-000527,-0.183716308159092
ACH-000528,-0.2386751873116201
ACH-000537,-0.18236583873569653
ACH-000541,-0.3458711801933229
ACH-000542,-0.13606732276553998
ACH-000544,-0.1851040181036297
ACH-000545,-0.1259823254443691
ACH-000547,-0.20558035902887767
ACH-000548,-0.17867810743250906
ACH-000549,-0.0753325223213227
ACH-000550,-0.4806696376027325
ACH-000552,-0.1441760757467981
ACH-000556,-0.3125549850939646
ACH-000557,-0.13383844122077942
ACH-000569,-0.3420422395919901
ACH-000570,-0.1411161914141413
ACH-000571,-0.15102055384346588
ACH-000573,-0.15581475934347588
ACH-000576,-0.25201519279118045
ACH-000579,-0.06998235735214522
ACH-000580,-0.2744333846712895
ACH-000584,-0.1578978505725344
ACH-000585,-0.16607713509659022
ACH-000588,-0.014500017474536669
ACH-000589,-0.1127336835568207
ACH-000591,-0.1979165810617192
ACH-000593,-0.288984279614917
ACH-000600,-0.27156224077487645
ACH-000601,-0.28574512564853016
ACH-000605,-0.2011774618665561
ACH-000606,-0.25939123146759857
ACH-000608,-0.21274797161873799
ACH-000614,-0.09079252099436208
ACH-000616,-0.2995437570544903
ACH-000618,-0.11660836092169875
ACH-000619,-0.18948836503583874
ACH-000620,-0.1438211821324523
ACH-000621,-0.2974611010582126
ACH-000622,-0.18917637255962266
ACH-000623,-0.3114263411745422
ACH-000624,-0.19931423835808396
ACH-000627,-0.29139270871652195
ACH-000630,-0.35297100532304
ACH-000631,-0.28704666189685457
ACH-000632,-0.21736037164583172
ACH-000633,-0.010509612974723736
ACH-000637,-0.2415863810187974
ACH-000638,-0.3501077894943009
ACH-000646,-0.40000969252426094
ACH-000647,-0.3039930118593052
ACH-000648,-0.06475427221036151
ACH-000649,-0.14026303144936636
ACH-000651,-0.3611318816311225
ACH-000652,-0.2124183274492774
ACH-000653,-0.23920474227961375
ACH-000657,-0.18442323102972236
ACH-000658,-0.12194957865721932
ACH-000661,-0.2388552738163261
ACH-000662,-0.12219742399744962
ACH-000663,-0.30233622717784675
ACH-000665,-0.11884795104060847
ACH-000671,-0.15678313271169034
ACH-000672,-0.1742356403219968
ACH-000673,-0.1242201493402045
ACH-000676,-0.11229403429320507
ACH-000677,-0.14314580048951955
ACH-000681,-0.11442476076806543
ACH-000683,-0.28275239929839885
ACH-000684,-0.2402039798803852
ACH-000688,-0.1764406471014041
ACH-000693,-0.24690432844914664
ACH-000694,-0.06827752951200677
ACH-000695,-0.2875098106447714
ACH-000696,-0.3209517986307445
ACH-000697,-0.15086130636645662
ACH-000699,-0.1044167596236844
ACH-000701,-0.16383951102357275
ACH-000706,-0.12726061075167436
ACH-000711,-0.2789056634299581
ACH-000713,-0.1186006919963508
ACH-000714,-0.4041697452192783
ACH-000718,-0.17682138820684742
ACH-000720,-0.1797269037027987
ACH-000721,-0.24327957494961225
ACH-000724,-0.12782264436220872
ACH-000725,-0.08456732294694078
ACH-000732,-0.1630612524447427
ACH-000734,-0.14643216755038485
ACH-000735,-0.23557442113252625
ACH-000736,-0.3942919203389063
ACH-000738,-0.2278463971767485
ACH-000746,-0.10258715172075736
ACH-000747,-0.20572774405541025
ACH-000748,-0.1023627720198716
ACH-000753,-0.1879030616049071
ACH-000756,-0.19776645437474802
ACH-000757,-0.2269295305997685
ACH-000758,-0.16609604345397425
ACH-000760,-0.0715843775005821
ACH-000762,-0.1720650885505393
ACH-000763,-0.1499269535896355
ACH-000764,-0.17774449471309972
ACH-000765,-0.13959508330051393
ACH-000766,-0.2664038423362608
ACH-000767,-0.05271562175651413
ACH-000768,-0.2737252515578547
ACH-000769,-0.07594834885325658
ACH-000770,-0.218158967695928
ACH-000771,-0.1852684193527532
ACH-000773,-0.18773437135048607
ACH-000776,-0.19824139991839546
ACH-000777,-0.1989795358315388
ACH-000778,-0.28530622197252953
ACH-000781,-0.17902869893880147
ACH-000782,-0.20289726681279044
ACH-000783,-0.2891828153753519
ACH-000784,-0.24765431053194165
ACH-000785,-0.3070713844513366
ACH-000787,-0.10511439726216157
ACH-000788,-0.19070875967421672
ACH-000791,-0.2183633915097302
ACH-000792,-0.18877933128798932
ACH-000794,-0.12524934617877356
ACH-000796,-0.1469757459151204
ACH-000798,-0.11370885397039655
ACH-000799,-0.3145005499193371
ACH-000800,-0.3728706825266121
ACH-000802,-0.14000206852121386
ACH-000804,-0.25979604581504123
ACH-000805,-0.03235486122478806
ACH-000809,-0.15663075701970205
ACH-000810,-0.23322765493325165
ACH-000811,-0.14653279856786092
ACH-000817,-0.2623575612125297
ACH-000819,-0.149629224905544
ACH-000820,-0.1802937556028781
ACH-000821,-0.13263405017677032
ACH-000822,-0.2525905152384509
ACH-000823,-0.11687983774361535
ACH-000824,-0.16139071148477216
ACH-000827,-0.18629379981734215
ACH-000829,-0.10122650280569864
ACH-000831,-0.3815092487184824
ACH-000832,-0.14845318249457648
ACH-000833,-0.28932954363773955
ACH-000834,-0.15490359893984074
ACH-000835,-0.13602096179321194
ACH-000836,-0.3937843977357265
ACH-000837,-0.14826285015200089
ACH-000838,0.02153272528320737
ACH-000839,-0.29084662655203525
ACH-000840,-0.0341481414094758
ACH-000841,-0.22582719195654524
ACH-000843,-0.3797306199418442
ACH-000846,-0.2499880764788468
ACH-000847,-0.26874096548048804
ACH-000848,-0.1877828213937684
ACH-000849,-0.15485297706572762
ACH-000851,-0.2061496642481627
ACH-000855,-0.3181955534092009
ACH-000856,-0.13920774863971785
ACH-000858,-0.25293900348168497
ACH-000859,-0.22001345416527604
ACH-000861,-0.1810036254804263
ACH-000862,-0.16928793691396696
ACH-000865,-0.24584132801614486
ACH-000866,-0.14406663857497531
ACH-000867,-0.1847846609010396
ACH-000869,-0.27155681057182784
ACH-000872,-0.2380641555312145
ACH-000873,-0.22758006061611485
ACH-000876,-0.2424347687716556
ACH-000878,-0.2376730072444297
ACH-000880,-0.18596082764823216
ACH-000881,-0.124224404476225
ACH-000882,-0.2176241780706838
ACH-000884,-0.2443464035671692
ACH-000885,-0.23046027148236334
ACH-000887,-0.17273193895828795
ACH-000889,-0.13661369589921785
ACH-000896,-0.1852403985551232
ACH-000898,-0.14089332312904113
ACH-000900,-0.2759163883369927
ACH-000901,-0.2415108868567056
ACH-000905,-0.314552450660223
ACH-000906,-0.1567360484308201
ACH-000907,-0.2146793933826643
ACH-000910,-0.17669065751530547
ACH-000911,-0.14314927994965107
ACH-000912,-0.15687604336115202
ACH-000913,-0.029585450876481286
ACH-000915,-0.10241654396250506
ACH-000916,0.2496061733504775
ACH-000917,-0.03351769983076277
ACH-000920,-0.4379297918637
ACH-000921,-0.13632227662045104
ACH-000924,-0.2573460725872372
ACH-000926,-0.20941870224584733
ACH-000928,-0.34259202707217784
ACH-000929,-0.26344541735973115
ACH-000932,-0.11716980163472256
ACH-000935,-0.2482373882402036
ACH-000936,-0.09572275227443253
ACH-000937,-0.29920905737797776
ACH-000938,-0.2156380676609846
ACH-000939,-0.1333286705227206
ACH-000941,-0.2848658408943223
ACH-000943,-0.13594532216534494
ACH-000946,-0.21202714596954989
ACH-000947,-0.21554396534204667
ACH-000948,-0.07684867025332162
ACH-000950,0.006284386591698114
ACH-000953,-0.36213052713609545
ACH-000954,-0.16648036254287174
ACH-000957,-0.12549405807125044
ACH-000958,-0.3734057689934352
ACH-000960,-0.3272290383142505
ACH-000963,-0.2319163031972647
ACH-000968,-0.2631332858929135
ACH-000969,-0.2399268666811698
ACH-000972,-0.2953441128131142
ACH-000973,-0.16119334723428766
ACH-000974,-0.12582872919567806
ACH-000978,-0.4643545797123315
ACH-000984,-0.2383078377090165
ACH-000986,-0.2508218397073542
ACH-000988,-0.13354844093670426
ACH-000993,-0.3241663768228936
ACH-000994,-0.4098198229073234
ACH-000996,-0.4753072939872461
ACH-001001,-0.11797631976408585
ACH-001020,-0.6457666209990698
ACH-001028,-0.2519361377714908
ACH-001031,-0.2922147930713529
ACH-001038,-0.14749247729175638
ACH-001048,-0.18493138468294654
ACH-001050,-0.2863552251991268
ACH-001053,-0.2239212754753052
ACH-001054,-0.1965332522360292
ACH-001061,-0.28899317665860524
ACH-001067,-0.3794853073465465
ACH-001075,-0.0559703081143879
ACH-001096,-0.4177494430728733
ACH-001111,-0.10749351653985928
ACH-001119,-0.12149262209136184
ACH-001128,-0.3712231358481042
ACH-001134,-0.08395001606202633
ACH-001151,-0.2067357780165705
ACH-001163,-0.3074458191562435
ACH-001164,-0.4382012321473545
ACH-001183,-0.25768022702149856
ACH-001192,-0.018663987189872337
ACH-001193,-0.08183489896816032
ACH-001196,-0.1677475105695544
ACH-001197,-0.362295029249199
ACH-001205,-0.23065696258106005
ACH-001211,-0.3141641142312357
ACH-001212,-0.21801774545489785
ACH-001228,-0.1514910107331896
ACH-001232,-0.19455095115804655
ACH-001239,-0.17711488262120648
ACH-001270,-0.2378782226314121
ACH-001274,-0.06093099803614546
ACH-001275,-0.454004253927365
ACH-001277,-0.24801579384386324
ACH-001278,-0.2194744865746708
ACH-001280,-0.28387676776396664
ACH-001283,-0.16116713563994145
ACH-001289,-0.3446958946687069
ACH-001300,-0.19094570032229308
ACH-001301,-0.3911289297954528
ACH-001302,-0.04837785518618029
ACH-001306,-0.2671218912939693
ACH-001318,-0.117317578805887
ACH-001322,-0.017574497213354006
ACH-001328,-0.17430370331245434
ACH-001332,0.2118153500905135
ACH-001336,-0.18420911677438206
ACH-001346,-0.16576697883213096
ACH-001353,-0.17771933927740258
ACH-001354,-0.12146133739409525
ACH-001367,-0.07352120908180171
ACH-001368,-0.2253097117151845
ACH-001374,-0.2250138258492369
ACH-001377,-0.23100735988505305
ACH-001380,-0.2077893272962973
