,FOSB (2354)
ACH-000004,-0.10466756474593973
ACH-000005,-0.17949697519519928
ACH-000007,-0.2707188017984604
ACH-000009,-0.1147474831279966
ACH-000011,-0.23548099973759096
ACH-000012,-0.19820375819346325
ACH-000013,-0.3213159310082856
ACH-000014,-0.07006988404980663
ACH-000015,-0.1973616082092917
ACH-000017,0.05288030733463097
ACH-000018,-0.10208427737726794
ACH-000019,-0.17551650581895806
ACH-000021,-0.250944884909208
ACH-000022,-0.1780285694345315
ACH-000025,-0.03805939214298221
ACH-000028,-0.22750682054859825
ACH-000030,-0.2669777569779327
ACH-000035,-0.2508191081507311
ACH-000036,-0.21457143180036453
ACH-000037,-0.2212461745555428
ACH-000039,-0.1578690307225442
ACH-000040,-0.27338218321416835
ACH-000041,-0.21080830005947554
ACH-000042,-0.16938459462861294
ACH-000045,-0.28453633887872715
ACH-000047,-0.15647589686674684
ACH-000052,-0.20685613057876412
ACH-000053,-0.34440524022899544
ACH-000054,-0.2507336059271037
ACH-000055,-0.0339796214386185
ACH-000060,-0.11289450603215652
ACH-000067,-0.1549670055697932
ACH-000070,-0.20014283248135306
ACH-000075,-0.36698759187489344
ACH-000078,-0.11913681272272357
ACH-000082,-0.18886880502423348
ACH-000085,-0.1991635114905984
ACH-000086,-0.13966964202467191
ACH-000087,-0.2841021338171755
ACH-000092,-0.2009380543895352
ACH-000095,-0.20979408323615198
ACH-000097,-0.2902544374976671
ACH-000098,-0.21741710350838175
ACH-000099,-0.14797923079746056
ACH-000108,-0.2845913883395477
ACH-000113,-0.1929667870725565
ACH-000116,-0.1247744782628668
ACH-000118,-0.19606191507137968
ACH-000120,-0.06983736747386042
ACH-000123,-0.06262447676976511
ACH-000127,-0.2667455884460184
ACH-000128,-0.1733202530136368
ACH-000132,-0.13460051101102338
ACH-000133,-0.2830947406436842
ACH-000137,-0.30362428173201694
ACH-000138,-0.1799099365343152
ACH-000142,-0.19814472344113748
ACH-000143,-0.10570344372792004
ACH-000146,-0.18512027459325964
ACH-000148,-0.29767512937966195
ACH-000150,-0.1727669473208137
ACH-000152,-0.24812459095451
ACH-000153,-0.4041667039448079
ACH-000159,-0.12389780462217878
ACH-000160,-0.25623676004033946
ACH-000163,-0.2579489830164079
ACH-000167,-0.001088755016492075
ACH-000168,-0.1938842881490322
ACH-000169,-0.11548099746875592
ACH-000178,-0.1558198194579313
ACH-000183,-0.18991883919550254
ACH-000188,-0.2614339180912462
ACH-000189,0.042630283789015115
ACH-000190,0.0045239901793401325
ACH-000198,-0.1205333035654556
ACH-000203,-0.2825726834480701
ACH-000204,-0.21021104081927752
ACH-000206,0.02648490280962361
ACH-000207,-0.26113129693612697
ACH-000208,-0.19741555058641846
ACH-000210,-0.2703342146009819
ACH-000211,-0.14650828824750406
ACH-000215,-0.2256744229488324
ACH-000221,-0.3564626656785566
ACH-000222,-0.3035599561289674
ACH-000223,-0.14594703645473214
ACH-000226,-0.2402624910914617
ACH-000227,-0.2034896290734608
ACH-000228,-0.14727557875137906
ACH-000231,-0.15135079530386478
ACH-000232,-0.16166493310752908
ACH-000233,-0.245817308564134
ACH-000234,-0.11903703148815745
ACH-000235,-0.1881268504543424
ACH-000237,-0.21147842492854946
ACH-000238,-0.1763960213117308
ACH-000242,-0.3346084285509886
ACH-000243,-0.16775570351680386
ACH-000244,-0.2149789830365115
ACH-000246,-0.22200106023368754
ACH-000248,-0.0811744982624566
ACH-000250,-0.1912879882191712
ACH-000251,-0.4149455500700006
ACH-000252,-0.07442231443920551
ACH-000253,-0.3142460633035961
