,ESRRG (2104)
ACH-000004,0.025102307166718067
ACH-000005,-0.5019912744176039
ACH-000007,-0.07543087669582972
ACH-000009,-0.2790900688290779
ACH-000011,-0.1136936479607166
ACH-000012,-0.2632580332779068
ACH-000013,-0.028389502303236714
ACH-000014,-0.1317590930438246
ACH-000015,-0.036856637590226435
ACH-000017,-0.048030314317082684
ACH-000018,0.1416413927733499
ACH-000019,0.022250385106926857
ACH-000021,-0.115651977901763
ACH-000022,-0.0363746914079571
ACH-000025,-0.15501792943958365
ACH-000028,-0.05312944703979472
ACH-000030,-0.00937754971891404
ACH-000035,-0.0436322125526314
ACH-000036,-0.1350599084715299
ACH-000037,-0.27022631571443273
ACH-000039,-0.14502542118373904
ACH-000040,-0.07515598453907657
ACH-000041,-0.11888658615594265
ACH-000042,-0.04330885661361182
ACH-000045,-0.3026624381583053
ACH-000047,-0.12551306016164285
ACH-000052,-0.34519762894836864
ACH-000053,-0.08798869722813166
ACH-000054,0.001970826122284666
ACH-000055,-0.35967070067477963
ACH-000060,-0.16083495501176934
ACH-000067,-0.005431521599548657
ACH-000070,-0.3067492125785818
ACH-000075,-0.1157021027961239
ACH-000078,-0.20010269435501388
ACH-000082,-0.0824709709012822
ACH-000085,-0.06829176292949328
ACH-000086,-0.05425923577439877
ACH-000087,-0.2753059061919688
ACH-000092,-0.15507368989072515
ACH-000095,-0.19678180734110848
ACH-000097,0.07834539955605495
ACH-000098,-0.1288238797677105
ACH-000099,-0.06604148017961348
ACH-000108,0.002701795504168627
ACH-000113,0.033970977740947164
ACH-000116,-0.0737785933541857
ACH-000118,0.0414339709055303
ACH-000120,-0.1162955556530604
ACH-000123,-0.1783405637837754
ACH-000127,-0.05437419606375905
ACH-000128,-0.23473193348808305
ACH-000132,-0.19709241595401547
ACH-000133,-0.07914336579436286
ACH-000137,0.00823516019495
ACH-000138,0.03680762117556861
ACH-000142,0.022549995395158333
ACH-000143,-0.07317900543541299
ACH-000146,-0.01587086796219721
ACH-000148,-0.07356965845451549
ACH-000150,-0.12001946489762462
ACH-000152,-0.08098081954856795
ACH-000153,-0.3316774762488903
ACH-000159,-0.06484000153534727
ACH-000160,-0.10988808937396193
ACH-000163,-0.025311898768762837
ACH-000167,0.06277453749155812
ACH-000168,-0.11923015779108476
ACH-000169,-0.11954519499343698
ACH-000178,-0.014842879040452513
ACH-000183,-0.02763612227964141
ACH-000188,-0.04329585884809515
ACH-000189,-0.12586735679274735
ACH-000190,-0.048840719464615885
ACH-000198,-0.15553264084015095
ACH-000203,-0.2462322607884824
ACH-000204,-0.10928692250498258
ACH-000206,0.1206313582113248
ACH-000207,-0.032079596869171015
ACH-000208,-0.09865805422996443
ACH-000210,-0.28533158976365103
ACH-000211,-0.03176763745470547
ACH-000215,-0.12352530720329807
ACH-000221,-0.011233406313448872
ACH-000222,0.12438629104738012
ACH-000223,-0.12302883545463625
ACH-000226,-0.2325522000466396
ACH-000227,-0.2666399852193518
ACH-000228,0.051503966944639566
ACH-000231,-0.07884308329839974
ACH-000232,-0.2108260451772179
ACH-000233,-0.06533889371771003
ACH-000234,-0.05817109229330791
ACH-000235,-0.060255501780704865
ACH-000237,-0.1343206819231721
ACH-000238,-0.2774861342023641
ACH-000242,-0.13977161348530398
ACH-000243,-0.05176839872987754
ACH-000244,0.198692617323142
ACH-000246,-0.1102441755675248
ACH-000248,-0.16384453406613994
ACH-000250,-0.07409863090645498
ACH-000251,-0.1257178300512195
ACH-000252,-0.2362053549712803
ACH-000253,-0.09658329706469496
ACH-000255,-0.01481220454883274
ACH-000256,-0.08349597081673463
ACH-000257,0.08333558561008712
ACH-000258,-0.5306355075671271
ACH-000259,0.034966705443832555
ACH-000260,-0.1173614065531806
ACH-000261,-0.05786361107294394
ACH-000262,0.07589944533343264
ACH-000263,-0.09930267959714947
ACH-000264,-0.08497847405348301
ACH-000265,0.09146927958649362
ACH-000266,-0.08022491825335587
ACH-000272,-0.09227650418646223
ACH-000274,-0.08291122356784872
ACH-000277,-0.14078796342414493
ACH-000278,-0.17862696460106656
ACH-000279,-0.09819354479350467
ACH-000280,0.12009402737490298
ACH-000281,-0.07033436232285878
ACH-000288,-0.06292796720249022
ACH-000291,-0.09591532549417503
ACH-000293,0.08954215717798182
ACH-000294,-0.09836376260551297
ACH-000295,-0.15960695827466145
ACH-000296,-0.12296525363791028
ACH-000302,-0.12114390672067765
ACH-000304,-0.12314959567614088
ACH-000307,-0.033092173552275894
ACH-000308,-0.04804712319730329
ACH-000310,-0.2024660208643955
ACH-000311,0.03039902231064225
ACH-000312,-0.017503083809180645
ACH-000315,0.0848384227884826
ACH-000316,-0.03122453668454693
ACH-000317,-0.038357436288344
ACH-000318,-0.05702758089455026
ACH-000319,0.011774537065745308
ACH-000320,-0.10410819518341573
ACH-000322,-0.09861136627117288
