,JUND (3727)
ACH-000004,-0.19155089247147905
ACH-000005,-0.24833042663209426
ACH-000007,-0.24815906589290535
ACH-000009,0.0026004248379686034
ACH-000011,-0.08542383005558554
ACH-000012,-0.12110944644669375
ACH-000013,-0.3450933094452019
ACH-000014,-0.13266669854510826
ACH-000015,-0.2955479133285908
ACH-000017,-0.31931870000614176
ACH-000018,-0.27179975141955315
ACH-000019,-0.4181016580357393
ACH-000021,-0.25037285313896424
ACH-000022,-0.15535863551368764
ACH-000025,-0.08599056982589408
ACH-000028,-0.4221287935903366
ACH-000030,-0.2465988253109292
ACH-000035,-0.044282739865305565
ACH-000036,-0.2738598636660156
ACH-000037,-0.3215212766970509
ACH-000039,-0.12063744386557107
ACH-000040,-0.2555076207665077
ACH-000041,-0.2520555042462644
ACH-000042,-0.24928305783963345
ACH-000045,-0.1405920821626684
ACH-000047,-0.21363031666831486
ACH-000052,-0.33246916430489903
ACH-000053,-0.20325931263194533
ACH-000054,-0.235097643746118
ACH-000055,-0.19406781625970213
ACH-000060,-0.2275715132063649
ACH-000067,-0.2265320065860275
ACH-000070,-0.12838580028792784
ACH-000075,-0.33781740318217235
ACH-000078,0.055218232217546716
ACH-000082,-0.19950575621435465
ACH-000085,-0.14204382366555748
ACH-000086,-0.23902367630335106
ACH-000087,-0.4005792055694426
ACH-000092,-0.17638298840527505
ACH-000095,-0.16847594495848714
ACH-000097,-0.14492974857875088
ACH-000098,-0.30406329752794525
ACH-000099,-0.25969093747214417
ACH-000108,-0.4470510412138887
ACH-000113,-0.043139543752788466
ACH-000116,-0.22996564653363405
ACH-000118,-0.20242244593083092
ACH-000120,-0.1436575800112007
ACH-000123,-0.17316106785099686
ACH-000127,-0.27246067619878245
ACH-000128,-0.3814014279330101
ACH-000132,-0.18407122697019848
ACH-000133,-0.00910873423503801
ACH-000137,-0.24020913340126696
ACH-000138,-0.2740490742851756
ACH-000142,-0.16707655540322358
ACH-000143,-0.14131336173026268
ACH-000146,-0.17014451910904507
ACH-000148,-0.013292162027654502
ACH-000150,-0.25859341418975423
ACH-000152,-0.0843363440501106
ACH-000153,-0.029038792319355362
ACH-000159,-0.1765380453940309
ACH-000160,-0.3319678150201201
ACH-000163,-0.1006972478043557
ACH-000167,-0.09795166082704336
ACH-000168,0.006925364436056714
ACH-000169,-0.3201237727210554
ACH-000178,-0.17510575049502358
ACH-000183,-0.2344913653729019
ACH-000188,-0.0982124647446273
ACH-000189,0.030890264105566008
ACH-000190,-0.0766646228854616
ACH-000198,0.22494744522378324
ACH-000203,-0.35092728111535
ACH-000204,0.11629491345758565
ACH-000206,-0.3390383015626602
ACH-000207,-0.1543206523460742
ACH-000208,-0.5983244928322534
ACH-000210,-0.18807287465009676
ACH-000211,-0.1860055880819977
ACH-000215,-0.21836487517217254
ACH-000221,-0.21184621936567125
ACH-000222,-0.17157053279409154
ACH-000223,-0.20729788973058655
ACH-000226,-0.2512145169423013
ACH-000227,-0.17828823978449568
ACH-000228,-0.1786022754863019
ACH-000231,-0.12099940792175187
ACH-000232,-0.18986159571404088
ACH-000233,-0.36166480280817853
ACH-000234,-0.20380746215737894
ACH-000235,-0.1589666974369465
ACH-000237,-0.2453051150013347
ACH-000238,-0.14107755471603048
ACH-000242,-0.405344418333128
ACH-000243,-0.3760559833109513
ACH-000244,-0.07907494385533059
ACH-000246,-0.2458402236379001
ACH-000248,-0.19139801354067493
ACH-000250,-0.30137112842745256
ACH-000251,-0.33026381127031673
ACH-000252,-0.149418715249108
ACH-000253,-0.2739166016088175
ACH-000255,-0.05489841194312695
ACH-000256,-0.16855301503125608
ACH-000257,0.02828201593890022
ACH-000258,-0.014036777876268648
ACH-000259,-0.18918646116154197
ACH-000260,-0.1591886350153537
ACH-000261,-0.281303619831324
ACH-000262,-0.2543350934549332
ACH-000263,-0.11798344862760475
ACH-000264,-0.12701189749961647
ACH-000265,-0.12046603188286575
ACH-000266,-0.25261807905685524
ACH-000272,-0.2771564110874135
ACH-000274,-0.2249315684668169
ACH-000277,-0.06429283117333387
ACH-000278,-0.40138133514187374
ACH-000279,-0.0020367661809648344
ACH-000280,-0.0309275674409846
ACH-000281,0.06104839264020386
ACH-000288,0.0199038341058771
ACH-000291,-0.14905544602278478
ACH-000293,-0.4103623771134608
ACH-000294,-0.10795586490889596
ACH-000295,0.014012999535778337
ACH-000296,-0.1433446980539322
ACH-000302,-0.315983852033112
ACH-000304,-0.07729762027428543
ACH-000307,-0.0918078335562044
ACH-000308,-0.14632156476474473
ACH-000310,-0.06660368661650076
ACH-000311,-0.19670557066715147
ACH-000312,-0.1242337357577242
ACH-000315,0.0720153687094749
ACH-000316,-0.24588836365598
ACH-000317,0.011505870229028228
ACH-000318,-0.2899227187422659
ACH-000319,0.03437406753813022
ACH-000320,-0.2355642522915351
ACH-000322,0.0022366171063997226
ACH-000323,-0.12127624607089668
ACH-000324,-0.2711574191127955
ACH-000329,-0.22408146477397264
ACH-000330,-0.1494867677857025
ACH-000331,-0.29982339970196803
ACH-000332,-0.22152479000069092
ACH-000334,-0.06387485258242273
ACH-000335,-0.17358133287547015
ACH-000336,-0.17236670938332135
ACH-000337,-0.2165919095205644
ACH-000338,-0.4428808029550457
ACH-000339,-0.21129452921349484
ACH-000341,-0.3932692938805327
ACH-000348,-0.1618897564579146
ACH-000350,-0.15366009997357286
ACH-000352,-0.2283367661117495
ACH-000356,-0.32579760438616806
ACH-000361,-0.08173453267032928
ACH-000362,-0.2679750107426421
ACH-000363,-0.21576450258567115
ACH-000364,-0.05505912290146492
ACH-000365,-0.08258643914996078
ACH-000366,-0.32284820187996544
ACH-000368,0.05433882349211817
ACH-000374,-0.19863004035028264
ACH-000375,-0.3766037196760459
ACH-000376,0.0016516660720903614
