,SNIP1 (79753)
ACH-000004,-0.9186167551758209
ACH-000005,-0.7040409358143395
ACH-000007,-0.7307882795102375
ACH-000009,-1.1149764762327297
ACH-000011,-0.8807190223369018
ACH-000012,-0.8640045620286889
ACH-000013,-0.7495347540124828
ACH-000014,-0.6522807673662295
ACH-000015,-0.7724925670505995
ACH-000017,-0.8453806568209773
ACH-000018,-0.6163128753896342
ACH-000019,-0.8503260669599849
ACH-000021,-0.7233202778555036
ACH-000022,-0.9046359992108052
ACH-000025,-0.6543092407758931
ACH-000028,-0.7368111973762268
ACH-000030,-0.5890974253487341
ACH-000035,-0.7099833648502959
ACH-000036,-0.6210112180320806
ACH-000037,-0.7154666841740194
ACH-000039,-0.6419380980890226
ACH-000040,-0.5558105211916554
ACH-000041,-0.7873724025758752
ACH-000042,-0.6804040960973835
ACH-000045,-0.7076710313785773
ACH-000047,-0.7528042188052869
ACH-000052,-0.6308866539105407
ACH-000053,-0.8896959199244426
ACH-000054,-0.8442785167328364
ACH-000055,-1.0254081907232993
ACH-000060,-0.8560424227502883
ACH-000067,-0.4752106845459978
ACH-000070,-0.6402359856413082
ACH-000075,-0.8442256080345523
ACH-000078,-0.5286687087853097
ACH-000082,-0.8261080844048753
ACH-000085,-0.6060513844099371
ACH-000086,-0.7485999019096221
ACH-000087,-0.518327850700069
ACH-000092,-0.7579179410488945
ACH-000095,-0.7776709515499642
ACH-000097,-0.965889868770912
ACH-000098,-0.6048254317728546
ACH-000099,-0.9721342269238809
ACH-000108,-0.8855801463732724
ACH-000113,-0.8349295320582211
ACH-000116,-0.6237097622753213
ACH-000118,-0.7931282062214855
ACH-000120,-0.8892917315353218
ACH-000123,-0.6807375670186113
ACH-000127,-0.9113515900439588
ACH-000128,-0.9211059460844184
ACH-000132,-0.71985349336056
ACH-000133,-0.4789791844975053
ACH-000137,-0.8384845221811673
ACH-000138,-0.6943537063839863
ACH-000142,-0.8533216695792919
ACH-000143,-0.8278428483177415
ACH-000146,-0.8830002249681227
ACH-000148,-0.6600353410685086
ACH-000150,-0.8799987779570471
ACH-000152,-0.8372968789713957
ACH-000153,-0.9829362277775212
ACH-000159,-0.8757931222902376
ACH-000160,-0.8562619245652097
ACH-000163,-0.5612952540723211
ACH-000167,-1.1833847940887197
ACH-000168,-0.8371983039090561
ACH-000169,-0.7602885258424288
ACH-000178,-0.686553935983333
ACH-000183,-0.7245614263068394
ACH-000188,-0.7267772250658401
ACH-000189,-0.9908572070097086
ACH-000190,-0.9949841939680109
ACH-000198,-0.7622920863051132
ACH-000203,-1.3498512055731762
ACH-000204,-0.6262202902299147
ACH-000206,-0.7603341981198877
ACH-000207,-1.018561623947807
ACH-000208,-0.6832421135044432
ACH-000210,-0.5736523731370399
ACH-000211,-0.5927528834285414
ACH-000215,-0.6396275883349523
ACH-000221,-0.9970948362330068
ACH-000222,-0.8219780022175155
ACH-000223,-0.8792338657394508
ACH-000226,-0.7862698519565197
ACH-000227,-1.2650318501325335
ACH-000228,-0.9903390055894452
ACH-000231,-0.7843656998781556
ACH-000232,-0.8129920692457392
ACH-000233,-0.8299190164795393
ACH-000234,-0.7915421400524721
ACH-000235,-0.7671513595508533
ACH-000237,-0.7755092755683862
ACH-000238,-0.8157664086846502
ACH-000242,-0.5862240883459531
ACH-000243,-0.8750785468588519
ACH-000244,-0.8601742723532408
ACH-000246,-0.6550925723652741
ACH-000248,-0.7255180805383017
ACH-000250,-0.6219374124546394
ACH-000251,-0.8919403771724373
ACH-000252,-0.982897395188592
ACH-000253,-0.7632119040891351
ACH-000255,-0.7108691116502203
