,POC1B (282809)
ACH-000004,-0.12937446095802912
ACH-000005,-0.1875298320675147
ACH-000007,-0.10087307217044823
ACH-000009,-0.08684907819437918
ACH-000011,-0.08190945869038871
ACH-000012,-0.3763188791243753
ACH-000013,-0.029767713674001123
ACH-000014,0.07013205879330503
ACH-000015,-0.19444511300474146
ACH-000017,-0.11659806397434465
ACH-000018,-0.2933903423108155
ACH-000019,0.0919974297969998
ACH-000021,-0.11324193751709292
ACH-000022,-0.033213242324714023
ACH-000025,-0.3420778409755363
ACH-000028,-0.008730160308202851
ACH-000030,-0.02519977088614825
ACH-000035,-0.23343407890033935
ACH-000036,-0.16500780152120498
ACH-000037,-0.20402179372319248
ACH-000039,-0.22647262136219065
ACH-000040,-0.15865512264194465
ACH-000041,-0.14222468312249145
ACH-000042,-0.20831399908349302
ACH-000045,-0.14817721896818736
ACH-000047,-0.1794702861634066
ACH-000052,-0.1377899350625862
ACH-000053,-0.0930267796013146
ACH-000054,-0.1354008039999178
ACH-000055,-0.2131208709791054
ACH-000060,-0.10384969627117713
ACH-000067,-0.2416024767617584
ACH-000070,0.016198620986608143
ACH-000075,-0.010780475656733913
ACH-000078,-0.3098619870940593
ACH-000082,-0.2351023284382741
ACH-000085,-0.12593984453157242
ACH-000086,-0.27783839180905723
ACH-000087,-0.1040338599720833
ACH-000092,-0.20478739225386328
ACH-000095,-0.16132726166414452
ACH-000097,-0.14501066165236787
ACH-000098,-0.2740121995713286
ACH-000099,-0.21098950768496413
ACH-000108,-0.03243104484355051
ACH-000113,-0.16497058804318215
ACH-000116,-0.147992613025375
ACH-000118,-0.039550673347374964
ACH-000120,-0.006292896556844907
ACH-000123,-0.11269092160568114
ACH-000127,-0.1333701801739399
ACH-000128,-0.387089245108552
ACH-000132,0.008129918617084056
ACH-000133,-0.3656542753311999
ACH-000137,-0.40051928207832027
ACH-000138,-0.1514094649809685
ACH-000142,-0.17764558266535405
ACH-000143,-0.00013403369670127996
ACH-000146,0.0638592105214478
ACH-000148,-0.1153674962118361
ACH-000150,-0.5893454652048812
ACH-000152,-0.3610057404818187
ACH-000153,0.026394676899753118
ACH-000159,-0.2276882573532222
ACH-000160,-0.044936501939376136
ACH-000163,-0.1472687372297184
ACH-000167,-0.4272698763380746
ACH-000168,-0.2539225569106333
ACH-000169,-0.6359170351209773
ACH-000178,-0.12474315825790383
ACH-000183,-0.034366538731676874
ACH-000188,-0.08131433887787133
ACH-000189,-0.4811773603185207
ACH-000190,-0.0709877655338102
ACH-000198,-0.038295803701825976
ACH-000203,0.2190864646109136
ACH-000204,0.3002959502594333
ACH-000206,-0.1671756298547899
ACH-000207,0.036376390304908184
ACH-000208,-0.12564569456624294
ACH-000210,-0.07760756417377321
ACH-000211,-0.0972198193017822
ACH-000215,-0.2498608851520751
ACH-000221,0.07406196370327803
ACH-000222,-0.1446146359013535
ACH-000223,-0.19987614254788166
ACH-000226,-0.14288653558462197
ACH-000227,-0.2935919114769309
ACH-000228,-0.005990247438492493
ACH-000231,-0.2732257639673953
ACH-000232,-0.11528030917045153
ACH-000233,0.043222760164183735
ACH-000234,-0.036837900437292605
ACH-000235,-0.08413005901114523
ACH-000237,-0.20204745878575187
ACH-000238,-0.16808844011363488
ACH-000242,-0.0839181885259317
ACH-000243,-0.18631502224580515
ACH-000244,-0.3712423088407412
ACH-000246,-0.05055555146859992
ACH-000248,-0.16297754459913702
ACH-000250,-0.20140989460731407
ACH-000251,0.020129647534543587
ACH-000252,-0.0307475762298232
ACH-000253,-0.009815885515000195
ACH-000255,-0.009112840711942323
ACH-000256,-0.2398578914908961
