,CYP4V2 (285440)
ACH-000004,0.27595649874368544
ACH-000005,0.24609569707277915
ACH-000007,0.12819264724058094
ACH-000009,0.16061521591077516
ACH-000011,0.20176949566512545
ACH-000012,0.18302770368911925
ACH-000013,0.11736168038947475
ACH-000014,0.10385887445741772
ACH-000015,0.095637753532217
ACH-000017,0.2112443148246926
ACH-000018,-0.030511611302856408
ACH-000019,0.3023647865372261
ACH-000021,0.09220862857113693
ACH-000022,0.1474857961943595
ACH-000025,0.13776105789232188
ACH-000028,0.16556616182860934
ACH-000030,0.1858078235331896
ACH-000035,0.08847448181513977
ACH-000036,0.10418081901738394
ACH-000037,0.2102138350592073
ACH-000039,0.2365216226198741
ACH-000040,0.05267586583008798
ACH-000041,0.0484197708153694
ACH-000042,0.1269420288658588
ACH-000045,0.027319201943536316
ACH-000047,0.07520512738649192
ACH-000052,-0.007272433752626767
ACH-000053,0.15335611278288225
ACH-000054,0.09440933513495524
ACH-000055,0.06289396193988166
ACH-000060,0.17196386916821202
ACH-000067,0.14143285308905987
ACH-000070,0.09588837614704812
ACH-000075,0.0888689850694676
ACH-000078,0.13798809464787787
ACH-000082,0.04130769591196037
ACH-000085,0.16858820263304966
ACH-000086,0.12126105008151805
ACH-000087,0.14140561800711918
ACH-000092,0.08688484058099964
ACH-000095,0.016937598589306227
ACH-000097,0.09678359143055404
ACH-000098,0.07543503711845494
ACH-000099,0.09667679168180814
ACH-000108,0.15814331954601574
ACH-000113,0.15281321542099618
ACH-000116,0.05285930372915336
ACH-000118,0.14775832250706702
ACH-000120,0.170355899411118
ACH-000123,0.13928775689751044
ACH-000127,0.2020799128882382
ACH-000128,0.14511562558422453
ACH-000132,0.12507212388046665
ACH-000133,0.2380973372402975
ACH-000137,0.06650655974687529
ACH-000138,0.15037752195062976
ACH-000142,0.10527719150409323
ACH-000143,0.1618585969893783
ACH-000146,0.22315585755618592
ACH-000148,0.06384040009761324
ACH-000150,0.08729620412375387
ACH-000152,0.11172096258385683
ACH-000153,0.2781937813736889
ACH-000159,0.09733972233334842
ACH-000160,0.04235867583250932
ACH-000163,0.16570685572937915
ACH-000167,0.27457878373142003
ACH-000168,0.15932759090866752
ACH-000169,0.12707917852287962
ACH-000178,0.1107731035958578
ACH-000183,0.1733436289462967
ACH-000188,0.008978241261405506
ACH-000189,0.1877961362815917
ACH-000190,0.055046222025788905
ACH-000198,0.17820317873282268
ACH-000203,-0.13433225144795294
ACH-000204,0.39782380626814384
ACH-000206,0.3155268537920044
ACH-000207,0.10753892286537413
ACH-000208,-0.06708476541887542
ACH-000210,-0.17333727556391468
ACH-000211,0.04349868384613555
ACH-000215,0.12644352581734206
ACH-000221,0.22400114669826168
ACH-000222,0.07254748360972778
ACH-000223,0.03516803720070367
ACH-000226,0.14741979141403933
ACH-000227,0.02002650983411736
ACH-000228,0.015536786219085403
ACH-000231,0.1307327881946714
ACH-000232,0.0456675251905294
ACH-000233,-0.027396393807445296
ACH-000234,0.032567523421739526
ACH-000235,0.10287894562732368
ACH-000237,0.15721832681412745
ACH-000238,0.10667796962180813
ACH-000242,0.35486898269576056
ACH-000243,0.10838403974467573
ACH-000244,0.15760389718450715
ACH-000246,0.04276464948653017
ACH-000248,-0.045442467842571437
ACH-000250,0.07002170086704268
ACH-000251,0.012247286212309784
ACH-000252,0.18342478338581147
ACH-000253,0.1725937644898636
ACH-000255,0.18204911849526556
ACH-000256,0.15927558389070584
ACH-000257,0.103022432190762
ACH-000258,0.04652547267624045
ACH-000259,0.1520032615317712
ACH-000260,0.1431974688948328
ACH-000261,0.11672548333635012
ACH-000262,0.15564365644055767
ACH-000263,0.09587782418311808
ACH-000264,0.11775368148529478
ACH-000265,0.027319864962335686
ACH-000266,0.048033873506970914
ACH-000272,0.11376120699920135
ACH-000274,0.07889707865942026
ACH-000277,0.04166914538416665
ACH-000278,-0.002742791799478449
ACH-000279,0.112408436851848
ACH-000280,0.17357042387871827
ACH-000281,0.038869500564162864
ACH-000288,0.1163178991885444
ACH-000291,0.14766706865833518
ACH-000293,0.15103067135530612
ACH-000294,0.2641367285207442
ACH-000295,-0.22837186468846796
ACH-000296,0.11850099728315852
ACH-000302,0.1682456708183829
ACH-000304,0.2348664245573437
ACH-000307,0.1029909574822192
ACH-000308,0.0949185439797329
ACH-000310,0.077662156612457
ACH-000311,0.09631764711284553
ACH-000312,0.06766211125501036
ACH-000315,0.14631762260615808
ACH-000316,0.13537390214118267
ACH-000317,0.3188008007810251
ACH-000318,0.05485775554764638
ACH-000319,0.1677067450120184
ACH-000320,0.08405242196316652
ACH-000322,0.15511669186852892
ACH-000323,0.09402661340142793
ACH-000324,0.10662283015207223
ACH-000329,0.0625057495809183
ACH-000330,0.1837512364576169
ACH-000331,0.2272342651956852
ACH-000332,0.14341214329948485
ACH-000334,0.12508468704873493
ACH-000335,-0.06875273732848491
ACH-000336,0.1653814814891225
ACH-000337,-0.11067322681691116
ACH-000338,0.16754186238596389
ACH-000339,0.13804963249318195
ACH-000341,0.04289069388914757
ACH-000348,0.14268069101513273
ACH-000350,0.09071428327376936
ACH-000352,0.09770716434528252
ACH-000356,0.17863898611310453
ACH-000361,0.02973794636609293
ACH-000362,0.1914834270279332
ACH-000363,0.1341243607084457
ACH-000364,0.06430902373835158
ACH-000365,0.08488526398717275
ACH-000366,0.12931614992707574
ACH-000368,0.16907658201910356
ACH-000374,0.1325700640048493
ACH-000375,0.01943145223068086
ACH-000376,0.04656730012788027
ACH-000381,0.29694790077720296
ACH-000383,0.14338565204552847
ACH-000387,0.14486726028656982
ACH-000389,0.07459197197601079
ACH-000390,0.12566691172438302
ACH-000393,0.03575134121158053
ACH-000395,0.08326765933329869
ACH-000396,0.2361388250194817
ACH-000397,0.04399767900282184
ACH-000401,-0.03452559671481257
ACH-000402,0.11778268537430064
ACH-000403,0.15734919469613778
ACH-000404,0.08513757616245267
ACH-000406,0.19084669152383654
ACH-000407,0.07832343367996161
ACH-000408,0.20309328665500334
ACH-000410,0.17061822827094544
ACH-000411,0.08853513188442627
ACH-000414,0.12633060405348054
ACH-000415,0.20086680365868664
ACH-000416,0.16813306236031197
ACH-000420,0.039674740588412326
ACH-000421,0.15875145335289478
ACH-000424,0.16741128435498065
ACH-000425,0.07699009467441804
ACH-000426,0.16379507369893087
ACH-000427,-0.06680702860510314
ACH-000433,0.15311037330652627
ACH-000435,0.3040412697841019
ACH-000436,0.1334342153480738
ACH-000444,0.10909287192337133
ACH-000445,0.15011119786991065
ACH-000448,0.06287058356067884
ACH-000450,0.0025755241912865517
ACH-000452,0.17719889836298028
ACH-000454,0.17830874620810996
ACH-000458,0.2252936517741725
ACH-000459,0.2735673686228928
ACH-000460,0.08683118337571663
ACH-000461,0.06686806932630157
ACH-000463,0.09946994649829216
ACH-000464,0.05264273042389603
ACH-000466,0.22923384605406605
ACH-000467,0.17934890376624674
ACH-000468,0.13416209266824014
ACH-000469,0.10062102353903088
ACH-000470,0.0605344709711084
ACH-000471,0.08622086541210512
ACH-000472,0.11028791909080304
ACH-000473,0.06507870579199088
ACH-000475,0.15114427149829845
ACH-000476,0.10383915154017813
ACH-000477,0.15463934391154238
ACH-000479,0.17117268682508216
ACH-000480,0.12536569855516955
ACH-000481,0.1789276630230215
ACH-000483,0.2692311544448629
ACH-000484,0.06204948171204019
ACH-000485,0.12634199288612796
ACH-000486,0.08554808017250963
ACH-000487,0.20026601023115465
ACH-000488,0.09108132555493463
ACH-000490,0.1031747007838607
ACH-000491,0.1268137205239273
ACH-000495,0.18283236276700005
