,UBE2Q2L (100505679)
ACH-000004,-0.14480532274861338
ACH-000005,-0.14797691049482686
ACH-000007,-0.2577898983992822
ACH-000009,-0.3623841941829284
ACH-000011,-0.31656206466145714
ACH-000012,-0.2464094931957018
ACH-000013,-0.05125701117786001
ACH-000014,-0.04790917290459695
ACH-000015,-0.08820808175217841
ACH-000017,-0.10583209547541618
ACH-000018,-0.32366696909762044
ACH-000019,0.16676566864656447
ACH-000021,0.12804192065664333
ACH-000022,-0.23532902664518096
ACH-000025,-0.4942515315524967
ACH-000028,-0.13108570823778726
ACH-000030,-0.10611747806332254
ACH-000035,0.0942943332359341
ACH-000036,-0.3319596052207931
ACH-000037,-0.23174421298803266
ACH-000039,0.06172479606905577
ACH-000040,-0.2250609722532875
ACH-000041,-0.16615490063890773
ACH-000042,-0.2284720626888365
ACH-000045,-0.29872559209218336
ACH-000047,-0.2680619324247018
ACH-000052,-0.09410650129795783
ACH-000053,-0.06801877823398317
ACH-000054,-0.3425069177076435
ACH-000055,-0.22025072541237867
ACH-000060,-0.22072244996894602
ACH-000067,-0.2493208034547037
ACH-000070,-0.1397970450495753
ACH-000075,-0.4220879127112265
ACH-000078,-0.116702256188837
ACH-000082,-0.028494770019543137
ACH-000085,-0.11807891126820035
ACH-000086,-0.2415003895397687
ACH-000087,-0.0702913490859693
ACH-000092,-0.13385087423354045
ACH-000095,-0.3882989160571769
ACH-000097,-0.14615630684155212
ACH-000098,-0.07332054383911922
ACH-000099,-0.009567414806013416
ACH-000108,-0.4682186592550673
ACH-000113,-0.27128803639225296
ACH-000116,-0.5376454464783369
ACH-000118,-0.1568039088011397
ACH-000120,-0.1250843715753153
ACH-000123,-0.04104298095178533
ACH-000127,-0.1912758434924079
ACH-000128,-0.2396356617305222
ACH-000132,-0.13349536084933109
ACH-000133,-0.09404798895674496
ACH-000137,-0.2529155405348299
ACH-000138,-0.12081647921776505
ACH-000142,-0.023278384366700686
ACH-000143,-0.20843944590334704
ACH-000146,-0.3937594841727675
ACH-000148,-0.22609817916988945
ACH-000150,-0.33515537275326074
ACH-000152,-0.05274426400153788
ACH-000153,-0.1893829079773369
ACH-000159,0.03491493861574105
ACH-000160,-0.1391996433952489
ACH-000163,-0.3254531280701152
ACH-000167,-0.32564351812691106
ACH-000168,-0.29646925757344805
ACH-000169,-0.26567338344751873
ACH-000178,-0.08680720808295624
ACH-000183,-0.059117895297567974
ACH-000188,-0.11196484524496852
ACH-000189,-0.08341842550962805
ACH-000190,-0.3140943171816498
ACH-000198,-0.1362055780810865
ACH-000203,-0.1563035006854196
ACH-000204,0.0942423265169384
