,FLG2 (388698)
ACH-000004,-0.0778379545304296
ACH-000005,0.03222906500177431
ACH-000007,-0.05427106384252122
ACH-000009,-0.2416298951923644
ACH-000011,0.051507085932004135
ACH-000012,-0.1509883322508206
ACH-000013,-0.02593753776833957
ACH-000014,-0.12842915941842012
ACH-000015,-0.1069773705196878
ACH-000017,0.001770840019859405
ACH-000018,0.015805583010034475
ACH-000019,-0.2689712252530627
ACH-000021,-0.08801566285610446
ACH-000022,-0.08554455496474335
ACH-000025,-0.1237636593707488
ACH-000028,-0.24633351016278265
ACH-000030,-0.0461215965092832
ACH-000035,-0.16265597659212402
ACH-000036,-0.07421355739126091
ACH-000037,-0.009292764442209743
ACH-000039,-0.20122365054370792
ACH-000040,-0.048766272847059616
ACH-000041,-0.05818898491847905
ACH-000042,0.01114142073097969
ACH-000045,-0.07264856980777175
ACH-000047,-0.1772492834702998
ACH-000052,-0.06725210072783806
ACH-000053,-0.19178769172792948
ACH-000054,-0.1097977686629443
ACH-000055,-0.36677773551866255
ACH-000060,-0.06204744485852546
ACH-000067,-0.09005342344836981
ACH-000070,-0.10282171051661096
ACH-000075,0.1190699554694448
ACH-000078,-0.13422442491293973
ACH-000082,-0.093526435341714
ACH-000085,0.009684542518122546
ACH-000086,-0.1440329807474468
ACH-000087,-0.06986575500796613
ACH-000092,-0.16208448333651013
ACH-000095,-0.03378866217812178
ACH-000097,-0.21310533926677885
ACH-000098,-0.11763275291698773
ACH-000099,-0.11415635822259625
ACH-000108,-0.07379740157746115
ACH-000113,-0.06009424354620418
ACH-000116,-0.1586374484297162
ACH-000118,-0.12593175837649578
ACH-000120,-0.1856284586390116
ACH-000123,-0.0328451672043566
ACH-000127,-0.013968068958873954
ACH-000128,-0.1546817555283062
ACH-000132,-0.0965549226744196
ACH-000133,-0.08207390138080545
ACH-000137,-0.039045364192821605
ACH-000138,-0.040327444845307904
ACH-000142,-0.12653850157843932
ACH-000143,-0.12494747598474253
ACH-000146,-0.11473299077385195
ACH-000148,-0.1363638592436806
ACH-000150,-0.15186819842777688
ACH-000152,0.01051242051558702
ACH-000153,-0.23336824088640898
ACH-000159,-0.09565288219629804
ACH-000160,-0.07023474699719409
ACH-000163,-0.1377395916008624
ACH-000167,0.15049282853095966
ACH-000168,-0.15257430710412967
ACH-000169,-0.10790146861629572
ACH-000178,-0.09032469705810617
ACH-000183,-0.2441775090315187
ACH-000188,-0.0626502103718168
ACH-000189,-0.12615352349283526
ACH-000190,-0.1270622719436736
ACH-000198,-0.13721614562543194
ACH-000203,-0.42629906410669344
ACH-000204,-0.260362353275844
ACH-000206,-0.12103076280136092
ACH-000207,0.0016223376394648168
ACH-000208,-0.20313467972886573
ACH-000210,0.09325754922308356
ACH-000211,-0.07875044045790716
ACH-000215,-0.10131545467342186
ACH-000221,-0.12559976541739434
ACH-000222,-0.2624238765606909
ACH-000223,-0.035922415803666265
ACH-000226,-0.08125721970504031
ACH-000227,0.004046003408167925
ACH-000228,-0.06429790370166094
ACH-000231,-0.07947220407890952
ACH-000232,-0.14500463126584295
ACH-000233,-0.14972527462923066
ACH-000234,-0.06366989307126847
ACH-000235,-0.09106090778741333
ACH-000237,-0.05296417240662192
ACH-000238,-0.041252771882095515
ACH-000242,-0.2886326749574004
ACH-000243,-0.09180148385998962
ACH-000244,0.04108027076073121
ACH-000246,-0.10871095725096684
ACH-000248,-0.13125866272702275
ACH-000250,-0.13264011182054067
ACH-000251,-0.18588087363922884
ACH-000252,0.07863934792511343
ACH-000253,-0.0345192414807372
ACH-000255,-0.07471251757509023
ACH-000256,0.10225544625403833
ACH-000257,-0.2124777989631053
ACH-000258,-0.4005198220127943
ACH-000259,-0.21536224606456414
ACH-000260,-0.2062298020456516
ACH-000261,0.0010065189972080914
