,ASZ1 (136991)
ACH-000004,-0.1475382581498891
ACH-000005,0.06565235703921267
ACH-000007,-0.0731516160601674
ACH-000009,-0.1800291790400619
ACH-000011,-0.1659424416722843
ACH-000012,-0.18905016039353215
ACH-000013,-0.045211729130444384
ACH-000014,-0.30963513854543073
ACH-000015,-0.01120710755391273
ACH-000017,-0.16189810508117955
ACH-000018,-0.026552170918090864
ACH-000019,0.01018042139122582
ACH-000021,-0.3158603594822198
ACH-000022,-0.014794840798562503
ACH-000025,-0.22280926625815367
ACH-000028,-0.02257468572742005
ACH-000030,-0.10297900251686763
ACH-000035,-0.1281608542811345
ACH-000036,-0.12825215254484684
ACH-000037,-0.08450058454526778
ACH-000039,-0.20022364601191076
ACH-000040,-0.10369921290918843
ACH-000041,-0.16557902534540272
ACH-000042,-0.0479268273070324
ACH-000045,-0.01781040617676119
ACH-000047,-0.07467301170313388
ACH-000052,-0.24087553174036624
ACH-000053,-0.09949743331321544
ACH-000054,-0.21540723670845094
ACH-000055,-0.0419919835796678
ACH-000060,-0.1381708264656213
ACH-000067,-0.2582768938073359
ACH-000070,-0.12746775392516915
ACH-000075,0.09364758118176447
ACH-000078,-0.1117626451826592
ACH-000082,-0.12808968935250598
ACH-000085,-0.1989733383383812
ACH-000086,-0.012723676916886455
ACH-000087,-0.13195946018672894
ACH-000092,-0.09570767773495537
ACH-000095,-0.21870345958240664
ACH-000097,-0.11012954053678847
ACH-000098,-0.08342964422684318
ACH-000099,-0.11051156906450883
ACH-000108,-0.07184190250305568
ACH-000113,-0.053432158678344166
ACH-000116,-0.144863965513339
ACH-000118,-0.09562580129897276
ACH-000120,-0.0604463999856091
ACH-000123,-0.1146242890043829
ACH-000127,-0.11771753811858995
ACH-000128,-0.08819520950906827
ACH-000132,-0.11979674008871735
ACH-000133,-0.1607380019456391
ACH-000137,-0.14578172815530474
ACH-000138,-0.09745849631630266
ACH-000142,-0.1308271465893746
ACH-000143,0.06323790708041413
ACH-000146,-0.08500970664549694
ACH-000148,-0.11696217635623342
ACH-000150,-0.1031451226511756
ACH-000152,-0.08405884737644302
ACH-000153,-0.10124553350820177
ACH-000159,-0.1044146134285981
ACH-000160,0.05930620910906932
ACH-000163,-0.13674832013251126
ACH-000167,0.128474215114732
ACH-000168,0.02352060250108051
ACH-000169,-0.03866702158740205
ACH-000178,-0.2255885525554791
ACH-000183,-0.1664893490918967
ACH-000188,-0.11370339304197312
ACH-000189,-0.04448243029739416
ACH-000190,0.08893250744028727
ACH-000198,-0.164559637540259
ACH-000203,0.0
ACH-000204,-0.2150242562895856
ACH-000206,0.02431499629985333
ACH-000207,-0.006898217799672622
ACH-000208,-0.16234716422653464
ACH-000210,-0.0904308753498722
ACH-000211,-0.13294950756326332
ACH-000215,-0.12233188023691045
ACH-000221,-0.15458924357532328
ACH-000222,0.00017811116527800892
ACH-000223,-0.10085230323309403
ACH-000226,-0.20954746641260946
ACH-000227,-0.007858390638232878
ACH-000228,0.05066255447424082
ACH-000231,-0.14109453409754785
ACH-000232,-0.2963665516807286
ACH-000233,-0.10407120733067693
ACH-000234,-0.05980954809230985
ACH-000235,-0.09923230564346228
ACH-000237,-0.12204569843173065
ACH-000238,-0.07694127577009753
ACH-000242,-0.2471421443465872
ACH-000243,-0.16368791032950789
ACH-000244,-0.07450577808498535
ACH-000246,-0.1199119809004941
ACH-000248,-0.14868912795982134
ACH-000250,-0.19020402450113594
ACH-000251,-0.2983400077835457
ACH-000252,-0.05825699201173577
ACH-000253,-0.11998487163835568
ACH-000255,-0.1394559063202879
ACH-000256,-0.0817095666168752
ACH-000257,0.01712733222285216
ACH-000258,-0.4275263575557736
ACH-000259,-0.13507426603615494
ACH-000260,-0.13948164696500298
ACH-000261,-0.09662528622744057
ACH-000262,-0.17279674712291684
ACH-000263,-0.030009839990439418
ACH-000264,-0.06384288963110613
ACH-000265,-0.053215136813516695
ACH-000266,-0.11135556990721264
ACH-000272,-0.16192324189409
ACH-000274,-0.128279276287529
ACH-000277,-0.11357480834990807
ACH-000278,-0.186558168547525
ACH-000279,-0.20727196274106452
ACH-000280,-0.04940192757742638
ACH-000281,-0.16482761323771933
ACH-000288,-0.11835656131469888
ACH-000291,-0.16610279225530256
ACH-000293,-0.13476680548995945
ACH-000294,-0.0906480833094377
ACH-000295,-0.2888006848387135
ACH-000296,-0.1720519852153935
ACH-000302,-0.12633072724853242
ACH-000304,-0.031876570024324
ACH-000307,-0.040210469663461985
ACH-000308,-0.16047923795126096
ACH-000310,-0.12824364925654
ACH-000311,-0.012512063915440396
ACH-000312,-0.1738761451787548
ACH-000315,-0.13114585338118326
ACH-000316,-0.010667538873661156
ACH-000317,-0.24916947598258646
ACH-000318,-0.1404860953836077
ACH-000319,-0.040287094272371336
ACH-000320,0.04349095690368426
ACH-000322,-0.11070036118100676
ACH-000323,-0.04925031786334935
ACH-000324,-0.1629830579527894
ACH-000329,-0.07808212413366705
ACH-000330,-0.1982901528763071
ACH-000331,-0.16637345486389196
ACH-000332,-0.1293270280279271
ACH-000334,0.016322712305696846
