,SCAF4 (57466)
ACH-000510,-0.19154060479518087
ACH-000511,-0.2767764938413059
ACH-000512,-0.3073703836294404
ACH-000516,-0.1353714661833873
ACH-000517,-0.28344407430725643
ACH-000518,-0.2053115160906476
ACH-000520,-0.4562180906969738
ACH-000521,-0.19277023293642467
ACH-000522,-0.41425682897904187
ACH-000524,-0.11409377610228685
ACH-000527,-0.3694696124718817
ACH-000528,-0.16587087111411988
ACH-000537,-0.33932255322621263
ACH-000541,-0.0728743850253224
ACH-000542,-0.26764389017771634
ACH-000544,-0.35737179723669044
ACH-000545,-0.256104238551104
ACH-000547,-0.3500520114412688
ACH-000548,-0.2367331227531488
ACH-000549,-0.4452598123754138
ACH-000550,-0.4699285739429058
ACH-000552,-0.07942793821116237
ACH-000556,-0.03976547064835386
ACH-000557,-0.09654280734256873
ACH-000569,-0.5595137521135742
ACH-000570,-0.494359390792711
ACH-000571,-0.2926918327080515
ACH-000573,-0.29017678009454706
ACH-000576,-0.20236096160291056
ACH-000579,-0.3510307551677612
ACH-000580,-0.2025590041686635
ACH-000584,-0.3998197772747474
ACH-000585,-0.08831443812367128
ACH-000588,-0.5974364439106901
ACH-000589,-0.12795164555253674
ACH-000591,-0.20154842293961603
ACH-000593,-0.002406258256023566
ACH-000600,-0.11537238562048005
ACH-000601,-0.3624860596187092
ACH-000605,-0.19103620176640695
ACH-000606,-0.3462906688292871
ACH-000608,-0.3161141151302702
ACH-000614,0.011591869453768049
ACH-000616,-0.2616539321902468
ACH-000618,-0.3875143531452764
ACH-000619,-0.4619031415047895
ACH-000620,-0.17052464710903306
ACH-000621,-0.1239867239235466
ACH-000622,-0.6345687579759611
ACH-000623,-0.4462398782765108
ACH-000624,-0.4800553657576702
ACH-000627,-0.2970739541898398
ACH-000630,-0.3616539464925375
ACH-000631,-0.14684090649120524
ACH-000632,-0.1638399027441785
ACH-000633,-0.501336153890321
ACH-000637,-0.3788613122046464
ACH-000638,-0.5279698893497781
ACH-000646,-0.04647921745719639
ACH-000647,-0.12373367764630926
ACH-000648,-0.14123751253208802
ACH-000649,-0.3656028409240892
ACH-000651,-0.1589448573853638
ACH-000652,-0.33191892821479946
ACH-000653,-0.53129265555269
ACH-000657,-0.11897216282922933
ACH-000658,-0.13904469669752878
ACH-000661,-0.5155341566547613
ACH-000662,-0.4653037948251778
ACH-000663,-0.2268663981671571
ACH-000665,-0.31150848464241193
ACH-000671,-0.17360244205766714
ACH-000672,-0.31912538833302473
ACH-000673,-0.2877890400144983
ACH-000676,-0.3065177668017013
ACH-000677,-0.21439450886306985
ACH-000681,-0.18838447883917628
ACH-000683,-0.24808204347381196
ACH-000684,-0.5969942363198759
ACH-000688,0.07997373526258095
ACH-000693,-0.0830286673318524
ACH-000694,-0.2451778601532125
ACH-000695,-0.30389137089422896
ACH-000696,-0.2719385245337572
ACH-000697,-0.3203179377695258
ACH-000699,-0.438242210543734
ACH-000701,-0.21833309970678547
ACH-000706,-0.16540651618233848
ACH-000711,-0.36757799422882137
ACH-000713,-0.5338772024557893
ACH-000714,-0.5072044369068888
ACH-000718,-0.4011379456184501
ACH-000720,-0.2813643276329712
ACH-000721,-0.35863210168921106
ACH-000724,-0.07667486875357966
ACH-000725,-0.26307498733626994
ACH-000732,-0.529400764991075
ACH-000734,-0.1630779103809273
ACH-000735,-0.6254087852574921
ACH-000736,-0.608534019577871
ACH-000738,-0.5925030992258964
ACH-000746,-0.4835109643298569
ACH-000747,-0.2605244216166536
ACH-000748,-0.2556089104969366
ACH-000753,-0.07562826181806513
ACH-000756,-0.5452395872936402
ACH-000757,-0.5549736260766835
ACH-000758,0.020576915730812592
ACH-000760,-0.17814447614300044
ACH-000762,-0.3412495311543612
ACH-000763,-0.27846311181324346
ACH-000764,-0.18817109222721976
ACH-000765,-0.3162429684041664
ACH-000766,-0.00897222664567658
ACH-000767,-0.13042032104459325
ACH-000768,-0.3573110455665555
ACH-000769,-0.27757804499152805
ACH-000770,-0.2984863170292043
ACH-000771,-0.19351988565411726
ACH-000773,-0.5756073083921742
ACH-000776,0.020703283510685996
ACH-000777,-0.3084690477837121
ACH-000778,-0.18395098652333094
ACH-000781,-0.2379412113850553
ACH-000782,-0.1408427579947383
ACH-000783,-0.35652441740763857
ACH-000784,-0.07635175387286101
ACH-000785,-0.3965072315877368
ACH-000787,-0.1458222001954205
ACH-000788,-0.4385766179625461
ACH-000791,-0.3194553170310628
ACH-000792,-0.3258441796738973
ACH-000794,-0.04135110205452575
ACH-000796,-0.4283088298822583
ACH-000798,-0.32965069338831066
ACH-000799,-0.043194991545898495
ACH-000800,-0.1186210545892948
ACH-000802,-0.4252785088437096
ACH-000804,-0.07559628638052243
ACH-000805,-0.3511577444768436
ACH-000809,-0.09506674607090518
ACH-000810,-0.3463031348433108
ACH-000811,-0.2808482315472928
ACH-000817,-0.4814050814843192
ACH-000819,-0.2520401342841539
ACH-000820,-0.6489121427249871
ACH-000821,-0.4190357418263653
ACH-000822,-0.08463558786133127
ACH-000823,-0.3526846318409519
ACH-000824,-0.1388824293560902
ACH-000827,-0.21199954443552727
ACH-000829,-0.1639270990680648
ACH-000831,-0.470985474769839
ACH-000832,-0.4958232150246021
ACH-000833,-0.4353130169957252
ACH-000834,-0.2814015584895825
ACH-000835,-0.4576058324193638
ACH-000836,-0.2376123557605267
ACH-000837,-0.2616814217043815
ACH-000838,-0.2224505584908392
ACH-000839,-0.4019024030140847
ACH-000840,-0.05793540438526309
ACH-000841,-0.1581900418257018
ACH-000843,-0.2652724121684821
ACH-000846,-0.08965448493721251
ACH-000847,-0.3619060294665333
ACH-000848,-0.3337949596275949
ACH-000849,-0.2441670919640625
ACH-000851,-0.4945635767190352
ACH-000855,-0.4613555444818679
ACH-000856,-0.2996655586711659
ACH-000858,-0.05922982131466242
ACH-000859,-0.4445045241629229
ACH-000861,-0.3979741142577363
ACH-000862,-0.1290677243798633
ACH-000865,-0.18507444531755265
ACH-000866,-0.4988153382373449
ACH-000867,-0.1684714154257907
ACH-000869,-0.31867261593081664
ACH-000872,-0.2543336686288793
ACH-000873,-0.34119687348304945
ACH-000876,-0.09339542342684544
ACH-000878,-0.2423830657521321
ACH-000880,-0.22636550472155
ACH-000881,-0.2215998247152336
ACH-000882,-0.4271874789963497
ACH-000884,-0.4218510577080175
ACH-000885,-0.2571201104323592
