,CRACR2B (283229)
ACH-000004,-0.14575417119434242
ACH-000005,-0.31002492906160023
ACH-000007,-0.13157702694113965
ACH-000009,-0.005717191707651171
ACH-000011,-0.043511642843993545
ACH-000012,0.003741906682886385
ACH-000013,-0.07804613139881032
ACH-000014,0.013413052265804462
ACH-000015,0.0043433091272427156
ACH-000017,-0.272020748800162
ACH-000018,-0.20459190803731933
ACH-000019,-0.29622367637870034
ACH-000021,-0.07670949553379673
ACH-000022,-0.2007068251523666
ACH-000025,-0.2275250466230688
ACH-000028,-0.1645088133004799
ACH-000030,-0.05790314956442815
ACH-000035,-0.0320558260472539
ACH-000036,-0.13477311550743218
ACH-000037,-0.025259606452750192
ACH-000039,-0.004309892770519554
ACH-000040,-0.08150745361868895
ACH-000041,-0.09566862643305543
ACH-000042,-0.1715381729338361
ACH-000045,-0.15459481914661685
ACH-000047,0.032265241644432535
ACH-000052,0.09476341230897828
ACH-000053,-0.0986133807087394
ACH-000054,-0.01285209916915122
ACH-000055,0.08053788028564755
ACH-000060,-0.011245079871737257
ACH-000067,-0.06450135828297192
ACH-000070,-0.12277554532465362
ACH-000075,-0.00248715186616651
ACH-000078,-0.17774711912657687
ACH-000082,-0.11571083412269614
ACH-000085,-0.09987439739922524
ACH-000086,-0.0194609693475439
ACH-000087,0.0808818843474692
ACH-000092,0.04142249616658361
ACH-000095,-0.11619484156846425
ACH-000097,-0.11617874304306637
ACH-000098,0.03361107486870195
ACH-000099,-0.02128026191227789
ACH-000108,-0.08380718507153695
ACH-000113,-0.03081670922123285
ACH-000116,-0.024443545279287042
ACH-000118,-0.015355726112248115
ACH-000120,-0.04261516334533517
ACH-000123,-0.17032845398327506
ACH-000127,-0.08650724386410949
ACH-000128,-0.141872778812376
ACH-000132,-0.18668611454097048
ACH-000133,-0.006899196402285317
ACH-000137,-0.203594217970939
ACH-000138,-0.14238198856063855
ACH-000142,-0.009240565171920331
ACH-000143,0.0738823369735605
ACH-000146,-0.04297638466113824
ACH-000148,0.18497587408070928
ACH-000150,-0.1894303693469811
ACH-000152,-0.03195499003836146
ACH-000153,-0.3756073896760482
ACH-000159,-0.06674979932802849
ACH-000160,0.018372960007245698
ACH-000163,-0.09521971117299012
ACH-000167,-0.03261059033481774
ACH-000168,-0.1544747546002408
ACH-000169,-0.1601085771145117
ACH-000178,-0.010093363652076541
ACH-000183,-0.07839618826112889
ACH-000188,-0.019094682210595636
ACH-000189,-0.14240365186466608
ACH-000190,0.30052082165951605
ACH-000198,-0.07481459376925875
ACH-000203,-0.22419369565323533
ACH-000204,-0.04210285537835988
ACH-000206,-0.03981480902311452
ACH-000207,-0.09361001835370024
ACH-000208,-0.03335502564117152
ACH-000210,-0.055736543041772536
ACH-000211,-0.0915991381466692
ACH-000215,-0.05967178542363835
ACH-000221,-0.0036805251591603572
ACH-000222,0.056486030681708564
ACH-000223,-0.08227990352310306
ACH-000226,-0.09404926005329874
ACH-000227,-0.07548691109279611
ACH-000228,-0.06600617515392433
ACH-000231,-0.04905750063677359
ACH-000232,-0.13163797865688107
ACH-000233,-0.21492097478949296
ACH-000234,-0.09765761685228112
ACH-000235,-0.041156703758981485
ACH-000237,-0.0365975912584267
ACH-000238,0.03198739061548513
ACH-000242,0.4044298567472419
ACH-000243,-0.011321016566476395
ACH-000244,-0.040892522775739265
ACH-000246,-0.11122598643951707
ACH-000248,-0.1001106522769202
ACH-000250,-0.063581314108883
ACH-000251,0.044044561626257625
ACH-000252,-0.028968643854526875
ACH-000253,-0.18627759779565448
ACH-000255,-0.00893494801004697
ACH-000256,-0.09273519115181993
ACH-000257,0.01615084474622989
ACH-000258,-0.11414151120551685
ACH-000259,8.193514629942271e-05
ACH-000260,-0.0841494584464546
ACH-000261,-0.22297493039716712
