,PHYKPL (85007)
ACH-000004,-0.2249564555022157
ACH-000005,-0.21769938787901927
ACH-000007,-0.3170564922443755
ACH-000009,-0.1476542901103995
ACH-000011,-0.1084061516969164
ACH-000012,-0.15418075654383734
ACH-000013,-0.09546582997229844
ACH-000014,-0.11119317208615223
ACH-000015,-0.18586644743969352
ACH-000017,-0.1334088240481088
ACH-000018,-0.30820806826883224
ACH-000019,-0.2758969135880694
ACH-000021,-0.1776885033051179
ACH-000022,-0.1875279322590424
ACH-000025,-0.04733519120097705
ACH-000028,-0.25068454167228377
ACH-000030,-0.09273551658204006
ACH-000035,-0.1401584917719057
ACH-000036,-0.2628744871455119
ACH-000037,-0.17562569386273902
ACH-000039,-0.21654127577906526
ACH-000040,-0.21933515511433085
ACH-000041,-0.17603563216708865
ACH-000042,-0.1695094307527719
ACH-000045,-0.3039727257465661
ACH-000047,-0.06361105997256714
ACH-000052,-0.2566743027690746
ACH-000053,-0.1863033491293572
ACH-000054,-0.227641028986386
ACH-000055,0.05473278678637578
ACH-000060,-0.2102676190266909
ACH-000067,-0.04861076012195326
ACH-000070,-0.2302551308721719
ACH-000075,-0.27334425506097504
ACH-000078,-0.05929802812293827
ACH-000082,-0.06735209416258807
ACH-000085,-0.2724113580226438
ACH-000086,-0.16171503231054687
ACH-000087,-0.12285686325098998
ACH-000092,-0.15648206678146387
ACH-000095,-0.10448485110360843
ACH-000097,-0.14191935575476025
ACH-000098,-0.15427578639580772
ACH-000099,-0.13441812365557768
ACH-000108,-0.20913668428598345
ACH-000113,-0.2162194170293776
ACH-000116,-0.05467044578425092
ACH-000118,-0.08980690724751414
ACH-000120,-0.2787467641639452
ACH-000123,-0.08395600146509356
ACH-000127,-0.052622195744698175
ACH-000128,-0.0606166277339498
ACH-000132,-0.2245451783059884
ACH-000133,-0.15358258334207542
ACH-000137,-0.11200212431503838
ACH-000138,-0.20625713589543404
ACH-000142,-0.1015422127429954
ACH-000143,-0.0024171594566555965
ACH-000146,-0.0536875389653923
ACH-000148,-0.22616174781338494
ACH-000150,-0.2842700286896997
ACH-000152,-0.2604668500921497
ACH-000153,-0.2275009876434972
ACH-000159,-0.1940587636309442
ACH-000160,-0.14346290516386553
ACH-000163,-0.056507021417527614
ACH-000167,0.055673159909802566
ACH-000168,-0.2597700762989866
ACH-000169,-0.19693212113943187
ACH-000178,-0.2216005637419008
ACH-000183,-0.047782361925434384
ACH-000188,-0.1603896900456036
ACH-000189,-0.2083999035362156
ACH-000190,-0.13251793231589534
ACH-000198,-0.11730968327728912
ACH-000203,-0.011838933097820598
ACH-000204,-0.09137883061518297
ACH-000206,-0.14570317672787125
ACH-000207,-0.03846273644897829
ACH-000208,-0.15592421835911688
ACH-000210,0.07532656915915109
ACH-000211,-0.16103632848449204
ACH-000215,-0.1478243973861658
ACH-000221,-0.06358237585446315
ACH-000222,-0.3168913787008864
ACH-000223,-0.19143524422627287
ACH-000226,-0.14650433515452194
ACH-000227,-0.1826513408161917
ACH-000228,-0.17619358496668894
ACH-000231,-0.1012309305840188
ACH-000232,-0.24530459295174514
ACH-000233,-0.3938689173962945
ACH-000234,-0.16498166849011353
ACH-000235,-0.11198947039445176
ACH-000237,-0.13921877330998933
ACH-000238,-0.24823476254492854
ACH-000242,-0.10925517708925768
ACH-000243,-0.1772124751732062
ACH-000244,-0.013505921890254437
ACH-000246,-0.1460860952890031
ACH-000248,-0.09755210948832896
ACH-000250,-0.1763387694357579
ACH-000251,-0.3934428953335145
ACH-000252,-0.08109405151644901
ACH-000253,-0.12652124136538215
ACH-000255,-0.06647879220146331
ACH-000256,-0.09517590289056667
ACH-000257,-0.20935578141512212
ACH-000258,-0.23935691620756336
ACH-000259,-0.200703013097558
ACH-000260,-0.12738771762238613
ACH-000261,-0.17926266284953032
ACH-000262,-0.10399131243352598
ACH-000263,-0.2522567675252756
ACH-000264,-0.12259487659377168
ACH-000265,-0.163505412491192
ACH-000266,-0.16992846227179842
ACH-000272,-0.18312249180570395
ACH-000274,-0.1673544823091582
ACH-000277,-0.17882076561160615
ACH-000278,-0.04159906014350311
ACH-000279,-0.19024117190475465
ACH-000280,-0.09953041680466866
ACH-000281,-0.2278760879055116
ACH-000288,-0.157267113698834
ACH-000291,-0.11603167625842765
ACH-000293,-0.08108243903709039
ACH-000294,-0.19182007744254972
ACH-000295,-0.28494939587115803
ACH-000296,-0.09256712530436408
ACH-000302,-0.16904594150748747
ACH-000304,-0.3883734398518093
ACH-000307,-0.12973960583894856
ACH-000308,-0.14594242043628436
ACH-000310,-0.04301570439731015
ACH-000311,-0.18310688354570095
ACH-000312,-0.1564291386603207
ACH-000315,-0.14675049912411625
ACH-000316,-0.1522432321475181
ACH-000317,-0.1940414950298559
ACH-000318,-0.16709710820834772
ACH-000319,-0.1619904841744336
ACH-000320,-0.2733546952956798
ACH-000322,-0.12089731031222438
ACH-000323,-0.11633535655159577
ACH-000324,-0.1838995443396926
ACH-000329,-0.2292535050429072
ACH-000330,-0.054115868181573434
ACH-000331,-0.2690416546798011
ACH-000332,-0.19737009639357825
ACH-000334,-0.13996794704034785
ACH-000335,-0.16609905731744715
ACH-000336,-0.2939298925332894
ACH-000337,-0.3508278205536212
ACH-000338,-0.1466605182235324
ACH-000339,-0.11452000949576027
ACH-000341,-0.06005387873324676
ACH-000348,-0.15655984029589612
ACH-000350,-0.2293117783487755
ACH-000352,-0.2083839245393816
ACH-000356,-0.15120260245303666
ACH-000361,-0.3887233245586124
ACH-000362,-0.1222184295216878
ACH-000363,-0.2930764819162325
ACH-000364,-0.003681498275432432
ACH-000365,-0.1977182724667204
ACH-000366,-0.1433626157420948
ACH-000368,-0.3331647031784336
ACH-000374,-0.12136381387769195
ACH-000375,-0.1023220193163626
ACH-000376,-0.1383225815358287
ACH-000381,-0.2878020993160515
ACH-000383,-0.1655542151162576
ACH-000387,-0.16716313844689334
ACH-000389,-0.30437869270719065
ACH-000390,-0.0787308916925653
ACH-000393,-0.2161229287061866
ACH-000395,-0.16341787316686834
ACH-000396,0.02053059944958973
ACH-000397,-0.16868567430098885
ACH-000401,0.13989293795339794
ACH-000402,-0.3128787095248443
ACH-000403,-0.24902785659515886
ACH-000404,0.06469412048723593
ACH-000406,-0.178039555315153
ACH-000407,-0.11422504048602397
ACH-000408,-0.11439036559040452
ACH-000410,-0.11998438407350168
ACH-000411,-0.12143819450127585
ACH-000414,-0.19476206517816413
ACH-000415,-0.021627512044842697
ACH-000416,-0.07110618998951967
ACH-000420,-0.1088727949569662
ACH-000421,-0.1611210349033659
ACH-000424,-0.1218377091707508
ACH-000425,-0.17393786694179314
ACH-000426,-0.2209672593405569
ACH-000427,-0.17296774483201452
ACH-000433,-0.04405486320911451
ACH-000435,-0.319155646980378
ACH-000436,-0.077102856157155
