,LUC7L3 (51747)
ACH-000004,-1.4239888247675987
ACH-000005,-1.5563695776190116
ACH-000007,-1.2952751711278951
ACH-000009,-1.3428822676057026
ACH-000011,-1.3868741388922643
ACH-000012,-1.418870350127287
ACH-000013,-1.3377114641533272
ACH-000014,-1.4867110224508242
ACH-000015,-1.3537696248489184
ACH-000017,-1.5551253458378695
ACH-000018,-1.5149309767548191
ACH-000019,-1.3327314699969317
ACH-000021,-1.3127425701967592
ACH-000022,-1.2167594072788812
ACH-000025,-1.3620468780219053
ACH-000028,-1.2101319600670524
ACH-000030,-1.3988724797818173
ACH-000035,-1.4399563687960657
ACH-000036,-1.3025338021783857
ACH-000037,-1.5109775802758678
ACH-000039,-1.497610493781223
ACH-000040,-1.4330759861736642
ACH-000041,-1.6110502799349864
ACH-000042,-1.213838124331117
ACH-000045,-1.3565903400298502
ACH-000047,-1.31958106332988
ACH-000052,-1.544504045738651
ACH-000053,-1.3875803986822248
ACH-000054,-1.3263933302728008
ACH-000055,-1.2377577559572306
ACH-000060,-1.2844244589724387
ACH-000067,-1.2635088825479108
ACH-000070,-1.4525177334078834
ACH-000075,-1.4230435287935477
ACH-000078,-1.355875958635116
ACH-000082,-1.451662395013395
ACH-000085,-1.4404797718151081
ACH-000086,-1.3497211402553275
ACH-000087,-1.5315637962209159
ACH-000092,-1.3244499466538129
ACH-000095,-1.2715937835389497
ACH-000097,-1.4127121183668034
ACH-000098,-1.3787880164577822
ACH-000099,-1.2036903273801438
ACH-000108,-1.3879160038528529
ACH-000113,-1.30580811453883
ACH-000116,-1.4210639926383892
ACH-000118,-1.1490590156201537
ACH-000120,-1.4217788406963388
ACH-000123,-1.3724650061422659
ACH-000127,-1.3868721009863887
ACH-000128,-1.3604594120269515
ACH-000132,-1.2960308233115019
ACH-000133,-1.4128476535656802
ACH-000137,-1.2159705154326428
ACH-000138,-1.2927924906073291
ACH-000142,-1.4218975625907655
ACH-000143,-1.5464014073484025
ACH-000146,-1.3763265871738402
ACH-000148,-1.6119755741993522
ACH-000150,-1.3561368789493125
ACH-000152,-1.4095369695472997
ACH-000153,-1.5361801187513586
ACH-000159,-1.322263167062511
ACH-000160,-1.3778776813310971
ACH-000163,-1.1600295448410058
ACH-000167,-1.990432465656564
ACH-000168,-1.4311961030371358
ACH-000169,-1.1884072410595792
ACH-000178,-1.3564906702611437
ACH-000183,-1.3855689102327622
ACH-000188,-1.2582949049059664
