,SPG21 (51324)
ACH-000004,-0.3425410694797399
ACH-000005,-0.3584659023321099
ACH-000007,-0.4017469037420505
ACH-000009,-0.33829928587676666
ACH-000011,-0.0428141418631512
ACH-000012,-0.2425292883017011
ACH-000013,-0.4056856107573517
ACH-000014,-0.31277231827555163
ACH-000015,-0.30313193121294485
ACH-000017,-0.2732128882220584
ACH-000018,-0.4217627361908792
ACH-000019,-0.166063504583366
ACH-000021,-0.18911770265640507
ACH-000022,-0.22007891162504772
ACH-000025,-0.16329284261352908
ACH-000028,-0.11870886402262446
ACH-000030,-0.3019106447095511
ACH-000035,-0.2340885806777873
ACH-000036,-0.5295454352802006
ACH-000037,-0.3577837396520255
ACH-000039,-0.03997094543582788
ACH-000040,-0.19712851496383255
ACH-000041,-0.3917176767323083
ACH-000042,-0.14889343096826466
ACH-000045,-0.20353553096788626
ACH-000047,-0.2729971184882697
ACH-000052,-0.13997134454164148
ACH-000053,-0.22553543468459564
ACH-000054,-0.4685954133631645
ACH-000055,-0.16995725743658707
ACH-000060,-0.2980464412023056
ACH-000067,-0.3862672143461423
ACH-000070,-0.2623897814114361
ACH-000075,-0.03331772158073853
ACH-000078,-0.2674387337796765
ACH-000082,-0.2867768518858429
ACH-000085,-0.3026250829796864
ACH-000086,-0.1153111446888719
ACH-000087,-0.12012939234799752
ACH-000092,-0.3454016698365259
ACH-000095,-0.27903166908578986
ACH-000097,-0.2387139285398883
ACH-000098,0.21345279648600307
ACH-000099,-0.2374507354100744
ACH-000108,-0.13589485946366853
ACH-000113,-0.2624454059037247
ACH-000116,-0.2750073582282262
ACH-000118,-0.13280145218568742
ACH-000120,-0.2057941276471844
ACH-000123,-0.19837418020394104
ACH-000127,-0.2836058958569968
ACH-000128,-0.27358621244825165
ACH-000132,-0.2681101579189904
ACH-000133,-0.22493027358277293
ACH-000137,-0.22066204099907166
ACH-000138,-0.3347617078199244
ACH-000142,-0.19799105317091212
ACH-000143,-0.2380959549875625
ACH-000146,-0.13724519665928686
ACH-000148,-0.3142497071816677
ACH-000150,-0.0855798698728282
ACH-000152,-0.15404209186052312
ACH-000153,-0.3536530053045235
ACH-000159,-0.29006421911917146
ACH-000160,-0.3122942056559857
ACH-000163,-0.17791433326920347
ACH-000167,-0.13683385944737353
ACH-000168,-0.26988352078161176
ACH-000169,-0.2342471536149287
ACH-000178,-0.4619625258809432
ACH-000183,-0.3402033114543564
ACH-000188,-0.2847223484549463
ACH-000189,-0.16156687469018802
ACH-000190,-0.10756824883042763
ACH-000198,-0.10543174941238932
ACH-000203,-0.2591631008811459
ACH-000204,-0.19753187299696245
ACH-000206,-0.14736513097892093
ACH-000207,-0.3474072624090551
ACH-000208,-0.4979492360313437
ACH-000210,-0.4867596647922927
ACH-000211,-0.2567044499610796
ACH-000215,-0.10293072685574284
ACH-000221,-0.16645241714313527
ACH-000222,-0.09742806066965387
ACH-000223,-0.2847801307825935
ACH-000226,-0.22355979204981385
ACH-000227,-0.34421000313520284
ACH-000228,-0.3566372731668498
ACH-000231,-0.17986022657781547
ACH-000232,-0.3419876772464432
ACH-000233,-0.1938183407554608
ACH-000234,-0.2755524486389251
ACH-000235,-0.26282148781651155
ACH-000237,-0.4254242635812098
ACH-000238,-0.1846792497661336
ACH-000242,-0.5493074545337664
ACH-000243,-0.3013813150391238
ACH-000244,-0.3048009500363284
