,NTSR2 (23620)
ACH-000004,-0.10760453144445836
ACH-000005,-0.2191143081647843
ACH-000007,-0.09823183748546993
ACH-000009,-0.15484574968753598
ACH-000011,-0.11236557115872167
ACH-000012,-0.14930673426143398
ACH-000013,-0.08906861832089102
ACH-000014,0.03565205301933632
ACH-000015,-0.15675515081716468
ACH-000017,-0.1980207758146897
ACH-000018,-0.093154429677567
ACH-000019,-0.2797929898203834
ACH-000021,-0.06791093663348842
ACH-000022,-0.14536194636868588
ACH-000025,-0.17851925598292212
ACH-000028,0.03702020773872845
ACH-000030,-0.014300913759699585
ACH-000035,0.01619966007738984
ACH-000036,-0.1316955924556661
ACH-000037,-0.44242873604309796
ACH-000039,0.027303093387060967
ACH-000040,-0.22095308546612952
ACH-000041,-0.2689601251272111
ACH-000042,-0.15687063629042794
ACH-000045,0.046951075219096784
ACH-000047,-0.2103976833619449
ACH-000052,-0.1919146185975444
ACH-000053,-0.15118780610358815
ACH-000054,-0.040390197355740516
ACH-000055,-0.2763310768763601
ACH-000060,-0.029294125945234593
ACH-000067,-0.15065038094827626
ACH-000070,-0.18660874051391604
ACH-000075,-0.11771172892416015
ACH-000078,-0.28309797927606645
ACH-000082,-0.13687616233264624
ACH-000085,0.09805303619691476
ACH-000086,-0.08086575192155454
ACH-000087,-0.05312240834390833
ACH-000092,-0.2561349192156557
ACH-000095,-0.011447998373029991
ACH-000097,-0.0425599699241344
ACH-000098,0.018032157996207027
ACH-000099,-0.07366386807256575
ACH-000108,-0.14561145968937314
ACH-000113,-0.26922984832123825
ACH-000116,-0.10059655109935524
ACH-000118,-0.058469164397707114
ACH-000120,-0.12455144155589284
ACH-000123,-0.2546553594136909
ACH-000127,-0.19768760934204369
ACH-000128,-0.2353474041027733
ACH-000132,0.053168543580159634
ACH-000133,-0.16914336268577707
ACH-000137,0.045922395355185774
ACH-000138,-0.1280342804007813
ACH-000142,-0.06236687968538353
ACH-000143,-0.2792321456048009
ACH-000146,-0.19535769180905133
ACH-000148,-0.19265848611559006
ACH-000150,0.002756589909093009
ACH-000152,-0.1679914975214419
ACH-000153,-0.3490867933023139
ACH-000159,-0.1253515829353227
ACH-000160,-0.055178578868195965
ACH-000163,-0.14898852858655162
ACH-000167,-0.2843294707311292
ACH-000168,-0.331795186407266
ACH-000169,-0.036770740587304736
ACH-000178,-0.1311358062418791
ACH-000183,-0.11043952856408537
ACH-000188,-0.25027291133927465
ACH-000189,0.01137362301583032
ACH-000190,-0.2493720852943043
