,BAIAP2 (10458)
ACH-000004,-0.15896840295543507
ACH-000005,-0.0502145536650405
ACH-000007,-0.11261468065991262
ACH-000009,-0.19311613507479694
ACH-000011,-0.12002123915953605
ACH-000012,-0.1964644002049032
ACH-000013,0.029271371174509012
ACH-000014,0.0230041462583841
ACH-000015,-0.11677528434518905
ACH-000017,-0.04309859011627218
ACH-000018,0.10803784251349904
ACH-000019,-0.09375849370008647
ACH-000021,-0.06108634780664667
ACH-000022,-0.0553784022930327
ACH-000025,-0.05644352187206751
ACH-000028,-0.24653396153281945
ACH-000030,-0.020405813983685937
ACH-000035,0.07724458387008927
ACH-000036,-0.24933913586234965
ACH-000037,-0.2209467417996866
ACH-000039,-0.06681613771051212
ACH-000040,-0.18395778995445566
ACH-000041,-0.17732961559017882
ACH-000042,-0.2569189496609405
ACH-000045,-0.20399781877481707
ACH-000047,-0.0237608875149846
ACH-000052,-0.03252108603404415
ACH-000053,-0.1492183924206221
ACH-000054,-0.1070650101232028
ACH-000055,-0.3765050824488635
ACH-000060,-0.06573987030501878
ACH-000067,-0.17526049783463432
ACH-000070,-0.10585985215758224
ACH-000075,-0.2154061290494
ACH-000078,-0.22253705022001125
ACH-000082,-0.07094248329843178
ACH-000085,-0.21827213816237093
ACH-000086,-0.1650520694528911
ACH-000087,-0.26831730847122937
ACH-000092,-0.04693311388992321
ACH-000095,-0.1541637458132052
ACH-000097,-0.11445922450323485
ACH-000098,0.06130473547284473
ACH-000099,-0.2762094047982163
ACH-000108,-0.24943736372005104
ACH-000113,-0.044890158082094865
ACH-000116,-0.11682983407632183
ACH-000118,-0.08910969293598517
ACH-000120,-0.27565131706160223
ACH-000123,-0.09263263688223952
ACH-000127,-0.10745229864857718
ACH-000128,-0.12095111290488535
ACH-000132,-0.14051681286382608
ACH-000133,-0.097639083847669
ACH-000137,0.05870287782264245
ACH-000138,-0.1196250138321244
ACH-000142,-0.287883307668368
ACH-000143,-0.1914727234939209
ACH-000146,-0.023629163958601214
ACH-000148,-0.2322650560308078
ACH-000150,-0.05705498185759924
ACH-000152,-0.17583774729731413
ACH-000153,-0.033678756166798704
ACH-000159,-0.16386350631013455
ACH-000160,-0.15386567928553938
ACH-000163,-0.2955555036365407
ACH-000167,-0.097428833205192
ACH-000168,-0.08128999427589415
ACH-000169,-0.15500739872972705
ACH-000178,-0.04647419898162663
ACH-000183,-0.1974318740798485
ACH-000188,-0.06632732372694275
ACH-000189,-0.20843309425527667
ACH-000190,-0.16140745750320326
ACH-000198,-0.009645094794690265
ACH-000203,-0.036802765449311055
ACH-000204,-0.06686667264717011
ACH-000206,-0.30820944394793104
ACH-000207,-0.09171093922605046
ACH-000208,0.0939968257248268
ACH-000210,-0.19405546000109467
ACH-000211,-0.19296836419359567
ACH-000215,-0.08735070087929163
ACH-000221,-0.04617347681614502
ACH-000222,-0.1459551575579245
ACH-000223,-0.06615961191228198
ACH-000226,-0.03821941603461953
ACH-000227,-0.13522320628282228
ACH-000228,-0.17949021466358586
