,NXN (64359)
ACH-000235,-0.018107193028001074
ACH-000237,0.039907350538086896
ACH-000238,-0.11316210771947295
ACH-000242,-0.19454636602701467
ACH-000243,-0.042225632548539005
ACH-000244,-0.20726936787413444
ACH-000246,-0.022504976300587128
ACH-000248,-0.03459616292011769
ACH-000250,-0.0450950164786384
ACH-000251,0.17206045543607895
ACH-000252,-0.00891588545602731
ACH-000253,0.0386744122403808
ACH-000255,0.02904487689579815
ACH-000256,-0.03324237222108782
ACH-000257,-0.07992532655014778
ACH-000258,-0.14297772113458648
ACH-000259,0.06321712118106901
ACH-000260,-0.040979961751512174
ACH-000261,-0.1939105848593439
ACH-000262,-0.028348212442565007
ACH-000263,0.11007588898915203
ACH-000264,-0.15155917791622714
ACH-000265,-0.020634319889857228
ACH-000266,0.007146981154961905
ACH-000272,-0.032169668638471836
ACH-000274,-0.15464008230290682
ACH-000277,-0.06043610263226165
ACH-000278,0.0057256372717758705
ACH-000279,-0.08296532801479478
ACH-000280,-0.17304166919398772
ACH-000281,-0.1460410296368455
ACH-000288,-0.05382831805801881
ACH-000291,-0.13353002104835945
ACH-000293,-0.1241081347932062
ACH-000294,-0.025023884942995768
ACH-000295,-0.09882948495784616
ACH-000296,-0.19721106215956888
ACH-000302,0.03685127168914328
ACH-000304,-0.416149483950065
ACH-000307,-0.01337407537232514
ACH-000308,0.02752901010457413
ACH-000310,-0.12092885331265175
ACH-000311,-0.0819247408111318
ACH-000312,-0.03438041205513802
ACH-000315,0.03634980141669944
ACH-000316,-0.174411657777328
ACH-000317,0.0818314478266753
ACH-000318,-0.04788840885587202
ACH-000319,0.07427978605772878
ACH-000320,0.1009960258414662
ACH-000322,0.18563836031248945
ACH-000323,0.04407038207066905
ACH-000324,-0.12303225274560288
ACH-000329,0.0017292874160848351
ACH-000330,-0.04012916793181258
ACH-000331,-0.11171951051049593
ACH-000332,-0.021930433230055637
ACH-000334,-0.1666678413558133
ACH-000335,0.05872034384484474
ACH-000336,0.010306666668461004
ACH-000337,-0.15126482231014576
ACH-000338,-0.3038769466848347
ACH-000339,-0.06383376217276986
ACH-000341,-0.1180958867518929
ACH-000348,-0.11004689001518694
ACH-000350,-0.16951918552114845
ACH-000352,-0.009636544144840468
ACH-000356,-0.04550517844608847
ACH-000361,-0.03536404225055497
ACH-000362,-0.15663264756714182
ACH-000363,-0.14591043836386886
ACH-000364,-0.03903427670348976
ACH-000365,-0.07492818788361208
ACH-000366,-0.17002305416707628
ACH-000368,-0.06948268894449597
ACH-000374,-0.04993874914039585
