,SRRT (51593)
ACH-000004,-0.9241335545590568
ACH-000005,-0.8489471812337696
ACH-000007,-0.5835482102496473
ACH-000009,-0.3641465017958528
ACH-000011,-0.5874485803852943
ACH-000012,-0.35952019891616965
ACH-000013,-0.5543222587301269
ACH-000014,-0.3959142753244514
ACH-000015,-0.5948127611009422
ACH-000017,-0.4386738504592525
ACH-000018,-0.3878896097118728
ACH-000019,-0.7765166467474467
ACH-000021,-0.6557873644678597
ACH-000022,-0.4560598054972297
ACH-000025,-0.418540911128634
ACH-000028,-0.557526347841546
ACH-000030,-0.4210405671213967
ACH-000035,-0.6203363716808158
ACH-000036,-0.4079711056171921
ACH-000037,-0.7022596814823542
ACH-000039,-0.6005729219461395
ACH-000040,-0.6602456457684267
ACH-000041,-0.6007067533297856
ACH-000042,-0.4956100813318571
ACH-000045,-0.609140028969207
ACH-000047,-0.5503101791623759
ACH-000052,-0.8415480012023693
ACH-000053,-0.6943613809556977
ACH-000054,-0.6691499394630456
ACH-000055,-0.9527759430698044
ACH-000060,-0.6966311336559988
ACH-000067,-0.5948792486217621
ACH-000070,-0.4945407531127378
ACH-000075,-0.7685656068865657
ACH-000078,-0.3263312638369612
ACH-000082,-0.8637899041756121
ACH-000085,-0.7831487719194303
ACH-000086,-0.3950897120058681
ACH-000087,-0.5155210875997023
ACH-000092,-0.7526974145430376
ACH-000095,-0.6225832766744971
ACH-000097,-0.4426034308435763
ACH-000098,-0.6130773823195528
ACH-000099,-0.3667061293220905
ACH-000108,-0.9568277573161752
ACH-000113,-0.7776246195833421
ACH-000116,-0.7161946471175532
ACH-000118,-0.5941548280786839
ACH-000120,-0.6291806090273545
ACH-000123,-0.6069895022659821
ACH-000127,-0.7068283367881371
ACH-000128,-0.8726224697001974
ACH-000132,-0.8174869119784927
ACH-000133,-0.5998622297559567
ACH-000137,-0.8023167806467092
ACH-000138,-0.4532944525208976
ACH-000142,-0.3933509434456167
ACH-000143,-0.7295578716496376
ACH-000146,-0.7137361498469968
ACH-000148,-0.5544880258680356
ACH-000150,-0.5216167458791856
ACH-000152,-0.6680675743414765
ACH-000153,-1.0744753952815198
ACH-000159,-0.5988547385124083
ACH-000160,-0.7060471946571617
ACH-000163,-0.7656933589575524
ACH-000167,-0.4451096932188704
ACH-000168,-0.5159324329022367
ACH-000169,-0.8629466604282539
ACH-000178,-0.5753356136624829
ACH-000183,-0.5330344514249611
ACH-000188,-0.4673982670603722
ACH-000189,-0.4787117076483173
ACH-000190,-0.6483797920014411
ACH-000198,-0.8307125506256808
ACH-000203,-0.4370690322881191
ACH-000204,-0.5351433047353089
ACH-000206,-0.9792053666554212
ACH-000207,-0.3288339429903868
ACH-000208,-0.6883121652632394
ACH-000210,-0.3971505733171843
ACH-000211,-0.4828028181564125
ACH-000215,-0.32933355048350016
ACH-000221,-0.7855050387513921
ACH-000222,-0.7567255029874604
ACH-000223,-0.7112173222130094
ACH-000226,-0.6579099692564035
ACH-000227,-0.4435845194225536
ACH-000228,-0.7101867611952911
ACH-000231,-0.6135836426327078
ACH-000232,-0.4737944544508446
ACH-000233,-0.6540047858762537
ACH-000234,-0.7417798378158543
ACH-000235,-0.7174919224818775
ACH-000237,-0.8244956297971279
ACH-000238,-0.4616176429271388
ACH-000242,-0.4545140512891576
ACH-000243,-0.5402977777132535
ACH-000244,-0.2731976007285585
ACH-000246,-0.5246050569191755
ACH-000248,-0.4752981325286227
ACH-000250,-0.3133922984515329
ACH-000251,-0.4887623910586372
ACH-000252,-0.6117259827833808
ACH-000253,-0.5933869219603503
ACH-000255,-0.8166909395647184
ACH-000256,-0.3982018551591843
ACH-000257,-0.6469659398364911
ACH-000258,-0.4356834364764325
ACH-000259,-0.9412818940003628
ACH-000260,-0.6086259282519016
ACH-000261,-0.6786152310973261
ACH-000262,-0.5968489609667853
ACH-000263,-0.7013818888474002
ACH-000264,-0.4846710958036349
ACH-000265,-0.5593155065556513
ACH-000266,-0.4299788571422545
ACH-000272,-0.5728160847104813
ACH-000274,-0.5665765924809562
ACH-000277,-0.4994409234714838
ACH-000278,-0.7205397280484869
ACH-000279,-0.35426208165908235
ACH-000280,-0.671398115814635
ACH-000281,-0.690314968152146
ACH-000288,-0.5125931688474157
ACH-000291,-0.5063923587432986
ACH-000293,-0.5633075465225
ACH-000294,-0.2272757837329518
ACH-000295,-0.6812548485644518
ACH-000296,-0.8165272554873685
ACH-000302,-0.6181215163896979
ACH-000304,-0.14516211264094725
ACH-000307,-0.688704850106484
ACH-000308,-0.5797270570010813
ACH-000310,-0.4315693690802528
ACH-000311,-0.6469892734805001
ACH-000312,-0.7753606738397099
ACH-000315,-0.8533471667323701
ACH-000316,-0.6391695888315837
ACH-000317,-0.4329528526282949
ACH-000318,-0.8638189210387778
ACH-000319,-0.8894249731112582
ACH-000320,-0.4535550593109224
ACH-000322,-0.4072385838140353
ACH-000323,-0.5230520651631679
ACH-000324,-0.5998239088296142
ACH-000329,-0.4995989766528385
ACH-000330,-0.7622805926093227
ACH-000331,-0.8325773112188782
ACH-000332,-0.4558713879220661
ACH-000334,-0.5349316625222993
ACH-000335,-0.4640977040340474
ACH-000336,-0.5205981595601951
ACH-000337,-0.9226228676613084
ACH-000338,-0.8537997632610597
ACH-000339,-0.6344256884619429
ACH-000341,-0.7351196529174038
ACH-000348,-0.7109729750419524
ACH-000350,-0.6169731763154453
ACH-000352,-0.7650568368814609
ACH-000356,-0.7249883307338667
ACH-000361,-0.8147524879050775
ACH-000362,-0.8018505460813135
ACH-000363,-0.8349445180177392
ACH-000364,-0.8636871161983022
ACH-000365,-0.6870603031080701
ACH-000366,-0.5798912769570052
ACH-000368,-0.3879729991590252
ACH-000374,-0.6287025205052356
ACH-000375,-0.4871816386135908
ACH-000376,-0.4173973260300465
ACH-000381,-0.5906635977834583
ACH-000383,-0.44499145684051583
ACH-000387,-0.7639190170991801
ACH-000389,-0.5481116718519912
ACH-000390,-0.4625867558760241
ACH-000393,-0.8152230607054562
ACH-000395,-0.41891683886918585
ACH-000396,-0.5450667582825129
ACH-000397,-0.6392357802349347
ACH-000401,-0.9111784720606868
ACH-000402,-0.5790908040814332
ACH-000403,-0.569563354721682
ACH-000404,-0.4267423232145051
ACH-000406,-0.5789049497721328
ACH-000407,-0.4190542035093527
ACH-000408,-0.551297740141364
ACH-000410,-0.4984190419355398
ACH-000411,-0.5960646516936502
ACH-000414,-0.7693104539937812
ACH-000415,-0.766802727353817
ACH-000416,-0.7645579443494515
ACH-000420,-0.8060399687794054
ACH-000421,-0.6978493965055359
ACH-000424,-0.8901440645250217
ACH-000425,-0.663760588025911
ACH-000426,-0.7672581880700109
ACH-000427,-0.6559273984435104
ACH-000433,-0.5021832852876956
ACH-000435,-0.472167464157651
ACH-000436,-0.7564703004354267
ACH-000444,-1.0481280243373754
ACH-000445,-0.26740945428432084
ACH-000448,-0.6460967291428185
ACH-000450,-0.5323617334935066
ACH-000452,-0.8879734657197846
ACH-000454,-0.5686085703039916
ACH-000458,-0.6712097026390441
ACH-000459,-0.6445624965624399
ACH-000460,-0.5051850329590523
ACH-000461,-0.4767587377098625
ACH-000463,-0.5992941846481645
ACH-000464,-0.5164958993033012
ACH-000466,-0.3571269325213521
ACH-000467,-0.6759575005986157
ACH-000468,-0.4968399717971854
ACH-000469,-0.19772822536280216
ACH-000470,-0.4250838763103325
ACH-000471,-0.4847322188066458
ACH-000472,-0.4758697238557729
ACH-000473,-0.7058025964471866
ACH-000475,-0.5649264126008792
ACH-000476,-0.5270280171027072
ACH-000477,-0.3571554624146209
ACH-000479,-0.4391632972674598
ACH-000480,-0.6713356859040143
ACH-000481,-0.5516490827559053
ACH-000483,-0.5330696953412122
ACH-000484,-0.7137958703964478
ACH-000485,-0.6384519038194824
ACH-000486,-0.6469303354990315
ACH-000487,-0.5546804726484471
ACH-000488,-0.6939879185668753
ACH-000490,-0.7823624475642338
ACH-000491,-0.4554308675464762
ACH-000495,-0.5327008546117552
ACH-000496,-0.4954728120297272
ACH-000499,-0.6265249895581569
ACH-000500,-0.4434029282933374
ACH-000502,-0.6665748685244463
ACH-000503,-0.3965285182471596
ACH-000505,-0.653891185944406
ACH-000507,-0.3959655549665539
ACH-000510,-0.4457753001106661
ACH-000511,-0.7234212349950726
ACH-000512,-0.281448516906885
ACH-000516,-0.6497067137519417
ACH-000517,-0.6421603648694443
ACH-000518,-0.8857840135854271
ACH-000520,-0.7611107540005437
ACH-000521,-0.7391347364742393
ACH-000522,-0.5616124414294102
ACH-000524,-0.6036742986339738
ACH-000527,-0.6855964954287819
ACH-000528,-0.6715270505527646
ACH-000537,-0.9072148847011456
ACH-000541,-0.2609190434970968
ACH-000542,-0.7985725667586147
ACH-000544,-0.5068840263697271
ACH-000545,-0.6639450054606676
ACH-000547,-0.7872942384887875
ACH-000548,-0.6551843885465449
ACH-000549,-0.655911027264928
ACH-000550,-0.5263071795647317
ACH-000552,-0.5855143244896049
ACH-000556,-0.5804145608342228
ACH-000557,-0.7226203990503369
ACH-000569,-0.4996483308253398
