,DBP (1628)
ACH-000004,-0.39354642421909897
ACH-000005,0.01588227102733602
ACH-000007,-0.15506145766377352
ACH-000009,-0.2685892278438653
ACH-000011,-0.07215223581314734
ACH-000012,-0.09029945491598901
ACH-000013,-0.14317393909787746
ACH-000014,0.2055077811695017
ACH-000015,-0.12173122799753301
ACH-000017,-0.10634154762393656
ACH-000018,-0.014592282022061769
ACH-000019,-0.3671324640094186
ACH-000021,-0.17007084059922695
ACH-000022,-0.09289938930938604
ACH-000025,0.11674207849989995
ACH-000028,-0.09087425329376793
ACH-000030,-0.16895282704507786
ACH-000035,-0.17725532207376596
ACH-000036,-0.03082060527842315
ACH-000037,-0.11093822909452453
ACH-000039,0.3007516723048526
ACH-000040,0.11946831426445376
ACH-000041,0.018561775350951472
ACH-000042,-0.05983580648586283
ACH-000045,0.05503637992104695
ACH-000047,-0.11482845121274653
ACH-000052,-0.2412412984897456
ACH-000053,-0.11617702249714645
ACH-000054,-0.10537243544842463
ACH-000055,-0.2136013299818907
ACH-000060,-0.05945234582153468
ACH-000067,-0.05522837265094066
ACH-000070,-0.007724025484842358
ACH-000075,0.12704407535133827
ACH-000078,-0.23272633014635336
ACH-000082,-0.058248788827839626
ACH-000085,-0.0385643817589821
ACH-000086,-0.15148132826410146
ACH-000087,-0.08689722886705957
ACH-000092,-0.1246829882586584
ACH-000095,-0.07542517534566019
ACH-000097,-0.1960981946925287
ACH-000098,-0.12255316514581713
ACH-000099,-0.2620531894027042
ACH-000108,-0.13585841991595013
ACH-000113,-0.022121679685923108
ACH-000116,-0.04558411170823515
ACH-000118,-0.08644810892960428
ACH-000120,-0.09244173376684904
ACH-000123,-0.19109903823485214
ACH-000127,-0.0967707993585827
ACH-000128,0.006969831904875262
ACH-000132,-0.09688338929619647
ACH-000133,-0.08194218838019017
ACH-000137,-0.1221233667339797
ACH-000138,-0.2684653588893647
ACH-000142,-0.1439423785831219
ACH-000143,-0.05484029493806904
ACH-000146,-0.12732692745826396
ACH-000148,-0.00011899944795740007
ACH-000150,-0.17610140545043035
ACH-000152,-0.19816874927785444
ACH-000153,-0.1901217364950612
ACH-000159,-0.12063306246379404
ACH-000160,-0.2116168595173029
ACH-000163,-0.08205069973644101
ACH-000167,-0.05967428076718135
ACH-000168,0.0397181964951179
ACH-000169,-0.12996726819928406
ACH-000178,-0.018118099790592063
ACH-000183,-0.28391456224476763
ACH-000188,0.0030291793562693533
ACH-000189,0.13631850141187485
ACH-000190,-0.08303894840039758
ACH-000198,-0.033393775797159714
ACH-000203,-0.047332549915903535
ACH-000204,-0.2436020852932297
ACH-000206,-0.10580364961676744
ACH-000207,-0.0577659644121391
ACH-000208,-0.1809966447651925
ACH-000210,-0.1926700354472463
ACH-000211,-0.1445465357644764
ACH-000215,-0.15487708281760446
ACH-000221,-0.04497752239836979
ACH-000222,0.09082928414198596
ACH-000223,-0.05954494430010601
ACH-000226,-0.2933824324402281
ACH-000227,-0.04057335322731
ACH-000228,-0.2850647682415379
ACH-000231,-0.11039218216052764
ACH-000232,-0.12780433813639638
ACH-000233,-0.19545574511051805
ACH-000234,-0.2370094355518684
ACH-000235,-0.1754799631012631
ACH-000237,-0.06955440387035061
ACH-000238,0.0004465345510574566
ACH-000242,0.05115488196649071
ACH-000243,-0.16007785456467116
ACH-000244,-0.12557125694255875
ACH-000246,-0.06662899461291079
ACH-000248,0.07422151364136018
ACH-000250,-0.17287388448710064
ACH-000251,-0.1741432445031034
ACH-000252,-0.09134560698224853
ACH-000253,-0.1597176603488334
ACH-000255,-0.3242804903868873
ACH-000256,-0.18152457575663306
ACH-000257,-0.10851078927682796
ACH-000258,0.0504315834285986
ACH-000259,-0.2732754171867203
ACH-000260,-0.08496221159936576
ACH-000261,-0.06642944518067836
ACH-000262,0.1448929436817232
ACH-000263,-0.25576295663827103
ACH-000264,0.0035937501150435204
ACH-000265,-0.18194053316291425
ACH-000266,-0.18089720984181987
ACH-000272,-0.12956132208415014
ACH-000274,-0.1516261000444292
ACH-000277,-0.16585534546517494
ACH-000278,-0.11817041199883492
ACH-000279,0.00275208332904246
ACH-000280,-0.11549708000834205
ACH-000281,0.0008886758084400365
ACH-000288,0.047516909196501735
ACH-000291,-0.03298340348173456
ACH-000293,-0.2538819560439702
ACH-000294,-0.5106454060477302
ACH-000295,-0.08715583716317431
ACH-000296,-0.14103884475781267
ACH-000302,-0.3809888502185298
ACH-000304,0.0013925880855550788
ACH-000307,0.015245913744830537
ACH-000308,-0.18399495801072566
ACH-000310,-0.010816096109173685
ACH-000311,-0.1997130854090854
ACH-000312,0.0051313752200766605
ACH-000315,0.15225680541309572
ACH-000316,-0.20077575051640945
ACH-000317,-0.0475876805883344
ACH-000318,-0.3074007207186293
ACH-000319,-0.06650937330191095
ACH-000320,-0.156882535247662
ACH-000322,-0.11223214739384653
ACH-000323,-0.22376061737925232
ACH-000324,-0.2123086933197462
ACH-000329,-0.21853366995805032
ACH-000330,-0.008675072799275917
ACH-000331,-0.03187613782916098
ACH-000332,-0.17670674860007105
ACH-000334,-0.23601926412096655
ACH-000335,-0.017863501809555562
ACH-000336,-0.06270821311586182
ACH-000337,-0.07595722490941434
ACH-000338,-0.480643760733036
ACH-000339,-0.16661014696369722
ACH-000341,-0.0643337801773899
ACH-000348,-0.1569720167717909
ACH-000350,-0.02630755215191495
ACH-000352,-0.10970774811072688
ACH-000356,-0.020937075952456717
ACH-000361,-0.19269073482298887
ACH-000362,-0.03271573797161681
ACH-000363,-0.1277595709667949
ACH-000364,0.0058177940384511705
ACH-000365,-0.14977413256158625
ACH-000366,-0.10619612416221204
ACH-000368,-0.0998629148301218
ACH-000374,-0.04771068976765458
ACH-000375,-0.06990089004526641
ACH-000376,-0.0018521570789248984
ACH-000381,-0.11579003263956796
ACH-000383,-0.21752685820520865
ACH-000387,-0.13030002212705066
ACH-000389,-0.16792240007869003
ACH-000390,-0.09527261373587097
ACH-000393,-0.02133733603627181
ACH-000395,0.12425048910350055
ACH-000396,0.3139543803522548
ACH-000397,-0.1366870527925908
ACH-000401,-0.3154628488476674
ACH-000402,-0.10498136309528602
ACH-000403,-0.13101302501663373
ACH-000404,-0.1646987385499653
ACH-000406,-0.028643410609287313
ACH-000407,-0.1666871270199146
ACH-000408,0.1052042794862104
ACH-000410,-0.04993754083778778
ACH-000411,-0.09879161451549376
ACH-000414,-0.12168162660805497
ACH-000415,0.002790031741896951
ACH-000416,-0.09337140560871986
ACH-000420,-0.16711506745904622
ACH-000421,-0.1107769550484183
ACH-000424,-0.2723207454517526
ACH-000425,-0.2024537094484884
ACH-000426,0.06084937840215455
ACH-000427,-0.019100252218330414
ACH-000433,-0.2809459357926837
ACH-000435,-0.0032470760441988405
ACH-000436,-0.02034029075516281
ACH-000444,-0.05156514308560725
ACH-000445,-0.31879221464690977
ACH-000448,-0.08877919151430771
ACH-000450,-0.2574023999607909
ACH-000452,-0.036751205192564564
ACH-000454,0.015617970529033916
ACH-000458,-0.15798867832126964
ACH-000459,-0.07097242036319383
ACH-000460,-0.08679486271159244
ACH-000461,-0.3033961678053941
ACH-000463,0.0014138104131935225
ACH-000464,-0.12624625893462227
ACH-000466,-0.1462191226847005
ACH-000467,0.0225941372756852
ACH-000468,-0.10401678892472192
ACH-000469,-0.16131902868448872
ACH-000470,-0.2173580062606981
ACH-000471,-0.20472499668432406
ACH-000472,-0.09167779574797866
ACH-000473,-0.013743121712516687
ACH-000475,-0.05238503198724243
ACH-000476,-0.01614076254541877
ACH-000477,-0.1829565317455943
ACH-000479,-0.03270340045756305
ACH-000480,-0.08678500050808009
ACH-000481,-0.08608492890066126
ACH-000483,-0.11638712642264434
ACH-000484,-0.2775270452144321
ACH-000485,-0.2294969103487329
ACH-000486,-0.19543006859330855
ACH-000487,-0.04236013249758307
ACH-000488,-0.12360836655285555
ACH-000490,0.022853256832091797
ACH-000491,-0.08509155637836746
ACH-000495,-0.16259102245272006
ACH-000496,-0.051165239807399135
ACH-000499,-0.1858056634482551
ACH-000500,0.3772081862268011
ACH-000502,-0.057031221902831886
ACH-000503,-0.1355176089896226
ACH-000505,-0.15147089021500126
ACH-000507,-0.1593881726139297
ACH-000510,-0.1948770959525982
ACH-000511,-0.20841149638322065
ACH-000512,-0.07486390734772283
ACH-000516,-0.1444205218288015
ACH-000517,-0.18304509003359595
ACH-000518,-0.042531039659880684
ACH-000520,-0.10533722771568194
ACH-000521,-0.1210980356693956
ACH-000522,-0.055839251504593734
ACH-000524,-0.16132140729644065
ACH-000527,-0.11529185340248425
ACH-000528,-0.12222924635708912
ACH-000537,-0.13813201660055358
ACH-000541,-0.281859567089838
ACH-000542,-0.027893510115715267
ACH-000544,-0.0020375963660714553
ACH-000545,0.09220598763789704
ACH-000547,-0.03881218023615152
ACH-000548,-0.1057431706680864
ACH-000549,-0.12284929884973125
ACH-000550,0.02362633736437513
ACH-000552,-0.1522917345530617
ACH-000556,-0.1994326978470772
ACH-000557,-0.1878995761524801
ACH-000569,-0.2272465645580591
ACH-000570,-0.10940357207320343
ACH-000571,-0.09687298683942973
ACH-000573,-0.186618907085732
ACH-000576,-0.07036762962489224
ACH-000579,0.053958291856184684
ACH-000580,-0.09780783869708612
ACH-000584,-0.028951635376710364
ACH-000585,-0.18873220664701898
ACH-000588,0.14795065228760124
ACH-000589,-0.143498246666789
ACH-000591,-0.04935655053305174
ACH-000593,-0.08770571519645165
ACH-000600,-0.15063941492605545
ACH-000601,-0.11588784790317665
ACH-000605,-0.027756084797406173
ACH-000606,-0.0659356140078392
ACH-000608,-0.2455649794696453
ACH-000614,-0.028559232528058687
ACH-000616,-0.2357121862581741
ACH-000618,-0.1492240048991427
ACH-000619,0.11742443146678695
ACH-000620,-0.23727415622854195
ACH-000621,-0.12992916657599834
ACH-000622,-0.0986356022002508
ACH-000623,-0.05883580749363852
ACH-000624,-0.253027439691802
ACH-000627,-0.25744303918572525
ACH-000630,0.048698050861848266
ACH-000631,0.03947722372780686
ACH-000632,-0.07957194188521173
ACH-000633,-0.07386965563992512
ACH-000637,-0.27189882174192137
ACH-000638,-0.15808761307713373
