,KDM8 (79831)
ACH-000004,-0.3983563331845076
ACH-000005,-0.419948016978129
ACH-000007,-0.611601682582849
ACH-000009,-0.3726404810913101
ACH-000011,-0.2570243579564581
ACH-000012,-0.5656717919611622
ACH-000013,-0.5386565454709185
ACH-000014,-0.7068040671945661
ACH-000015,-0.6290869848946018
ACH-000017,-0.5503428757227621
ACH-000018,-0.5157612079563173
ACH-000019,-0.4660889354159753
ACH-000021,-0.4870821093911651
ACH-000022,-0.34519687618455874
ACH-000025,-0.6153979561548101
ACH-000028,-0.6868058344631731
ACH-000030,-0.6237864545654962
ACH-000035,-0.5531787039003003
ACH-000036,-0.5976069613173454
ACH-000037,-0.6668868350953195
ACH-000039,-0.3905997240283673
ACH-000040,-0.7166451022196385
ACH-000041,-0.5779763026195707
ACH-000042,-0.4426129575901423
ACH-000045,-0.830837471782033
ACH-000047,-0.3600235565435884
ACH-000052,-0.9759629322181484
ACH-000053,-0.1587822688758781
ACH-000054,-0.3015245354275126
ACH-000055,-0.7235355569181229
ACH-000060,-0.4295534947967697
ACH-000067,-0.4891392882089796
ACH-000070,-0.4699076841735728
ACH-000075,-0.502704285868565
ACH-000078,-0.22412244261152872
ACH-000082,-0.49025834169840904
ACH-000085,-0.4596041363887864
ACH-000086,-0.6118485075873565
ACH-000087,-0.5585567004462668
ACH-000092,-0.8825881606080151
ACH-000095,-0.2659859469516476
ACH-000097,-0.3030298960937051
ACH-000098,-0.7269465256232774
ACH-000099,-0.36414768982834295
ACH-000108,-0.4943326296111224
ACH-000113,-0.6338502019387972
ACH-000116,-0.3833434575700698
ACH-000118,-0.6064208245849471
ACH-000120,-0.6330076199717929
ACH-000123,-0.5771755428981913
ACH-000127,-0.6530560275213696
ACH-000128,-0.38208678645624256
ACH-000132,-0.3084243503381797
ACH-000133,-0.684326948793526
ACH-000137,-0.44268876037026295
ACH-000138,-0.43183872311616
ACH-000142,-0.5083499717903568
ACH-000143,-0.4593808861210671
ACH-000146,-0.14521865348632715
ACH-000148,-0.6914468261075433
ACH-000150,-0.7391238830596615
ACH-000152,-0.43622124256452177
ACH-000153,-0.5529927590773729
ACH-000159,-0.275329776886269
ACH-000160,-0.4391963691342037
ACH-000163,-0.6436737480627011
ACH-000167,0.0076451064051683715
ACH-000168,-0.4411752656195977
ACH-000169,-0.1961604464630244
ACH-000178,-0.3146786051278443
ACH-000183,-0.6731772124037295
ACH-000188,-0.6620119520681329
ACH-000189,-0.8439509605122452
ACH-000190,-0.5644019466309306
ACH-000198,-0.7807052333948314
ACH-000203,-0.3578038096860895
ACH-000204,-0.4617055524356194
ACH-000206,-0.6892749584980697
ACH-000207,-0.7204122621116246
ACH-000208,-0.6245742602740357
ACH-000210,-0.6012419690730179
ACH-000211,-0.467653240380921
ACH-000215,-0.7093729645685729
ACH-000221,-0.8777389836512234
ACH-000222,-0.6342853435711592
ACH-000223,-0.24824522554385264
ACH-000226,-0.5902086532594426
ACH-000227,-0.5024762645725543
ACH-000228,-0.4661473635875801
ACH-000231,-1.1241900290476925
ACH-000232,-0.17250724643645568
ACH-000233,-0.4224686587522978
ACH-000234,-0.2864210927723302
ACH-000235,-0.33743236038773056
ACH-000237,-0.4892413186360912
ACH-000238,-0.4403168943309701
ACH-000242,-0.5207284722481754
ACH-000243,-0.6612161534428863
ACH-000244,-0.726945952164917
