,DNAJC5B (85479)
ACH-000004,0.08602136993844009
ACH-000005,-0.19600744872013856
ACH-000007,-0.08621423254048291
ACH-000009,0.10876027046566296
ACH-000011,-0.04916388788702508
ACH-000012,-0.28778161562272914
ACH-000013,-0.11286859905733845
ACH-000014,-0.04532335966665831
ACH-000015,-0.14023501569063546
ACH-000017,-0.15707022412031607
ACH-000018,-0.07862463715544771
ACH-000019,-0.15859999426220064
ACH-000021,-0.10165726104682987
ACH-000022,-0.12460032065628485
ACH-000025,-0.04272986025260564
ACH-000028,-0.08146005707170835
ACH-000030,-0.1373513999890636
ACH-000035,-0.21341360564160944
ACH-000036,-0.15806231761101822
ACH-000037,-0.13760921885463595
ACH-000039,0.09488787422471827
ACH-000040,-0.018251133135233584
ACH-000041,-0.07577562419451228
ACH-000042,-0.14073886652088222
ACH-000045,-0.024898527967971446
ACH-000047,0.005654745952042657
ACH-000052,-0.11974578187062515
ACH-000053,-0.10730497684653062
ACH-000054,-0.09243541830976867
ACH-000055,-0.018527552866107317
ACH-000060,-0.15410629748068805
ACH-000067,-0.06547952112547166
ACH-000070,-0.10047780557788184
ACH-000075,-0.09586869855710957
ACH-000078,-0.0070339376026518005
ACH-000082,-0.08537654971589062
ACH-000085,-0.06414887721664822
ACH-000086,0.10244789546771757
ACH-000087,-0.03099356606829972
ACH-000092,-0.17545579236818545
ACH-000095,0.11613421264811542
ACH-000097,-0.03926576124325686
ACH-000098,-0.10230351270173534
ACH-000099,-0.08396753025441829
ACH-000108,-0.10624573043487126
ACH-000113,-0.0549369115750891
ACH-000116,-0.18967216882045893
ACH-000118,-0.044711026753524535
ACH-000120,-0.06298464505584098
ACH-000123,-0.031973777226587875
ACH-000127,-0.0468062593037802
ACH-000128,-0.0885319580568493
ACH-000132,-0.050550679640406035
ACH-000133,-0.02859170058059879
ACH-000137,0.015197685605128753
ACH-000138,-0.009126282635039564
ACH-000142,-0.19062052065430768
ACH-000143,0.013267246217920782
ACH-000146,-0.09452009870568533
ACH-000148,-0.10663700818747514
ACH-000150,-0.21657007115039956
ACH-000152,-0.08431473772906484
ACH-000153,-0.1052144819119714
ACH-000159,-0.12783487182234976
ACH-000160,-0.14473567043128174
ACH-000163,-0.14243996906392298
ACH-000167,0.21696279260885998
ACH-000168,-0.14929002092356422
ACH-000169,-0.09081893702518593
ACH-000178,-0.13704425128902095
ACH-000183,-0.21623238956647448
ACH-000188,-0.18338987610263804
ACH-000189,-0.04378926481963583
ACH-000190,0.1024566766352938
ACH-000198,-0.02308380518352001
ACH-000203,0.2490842547130747
ACH-000204,-0.3155354188118158
ACH-000206,-0.20829282847450456
ACH-000207,-0.018704946068463218
ACH-000208,-0.138227005266272
ACH-000210,-0.14418969110347987
ACH-000211,-0.018868081133595675
ACH-000215,-0.07017022317209876
ACH-000221,-0.10258295345235646
ACH-000222,-0.10183820893647894
ACH-000223,-0.08236464523373199
ACH-000226,-0.05976776618923599
ACH-000227,0.02475213058683381
ACH-000228,-0.061961333682338075
ACH-000231,-0.10467260119278747
ACH-000232,-0.14219270158470307
ACH-000233,0.016409992535963522
ACH-000234,-0.12129888272961015
ACH-000235,-0.12399496530603997
ACH-000237,-0.12508290397654662
ACH-000238,-0.09928510353422153
ACH-000242,-0.036042509674054084
ACH-000243,-0.12353358362497364
ACH-000244,-0.03339476699339503
ACH-000246,-0.046839938157731534
ACH-000248,-0.1096316577668208
ACH-000250,-0.13680690445562976
ACH-000251,0.2652034925028348
ACH-000252,-0.07257005402022387
ACH-000253,-0.07311556709464463
ACH-000255,-0.08916718753362901
ACH-000256,-0.060673336661195884
ACH-000257,-0.047178642344813115
ACH-000258,-0.2025513566880882
ACH-000259,-0.195876523251705
ACH-000260,-0.11348527756467315
ACH-000261,-0.10100708251542743
ACH-000262,-0.18426084527012754
