,NUTM2G (441457)
ACH-000004,-0.07923429414648415
ACH-000005,-0.20312045925852415
ACH-000007,-0.214580015882266
ACH-000009,-0.3447140107424526
ACH-000011,-0.06561554460147083
ACH-000012,-0.129149276311461
ACH-000013,-0.11371894991777975
ACH-000014,-0.16953552458728885
ACH-000015,-0.1974838913498685
ACH-000017,-0.03461176824841777
ACH-000018,-0.12950247427063138
ACH-000019,-0.16029522461107776
ACH-000021,-0.16453924140748552
ACH-000022,-0.31047248267485794
ACH-000025,-0.03920910375921936
ACH-000028,-0.06305090919001452
ACH-000030,-0.11229440638049933
ACH-000035,0.02958839867967654
ACH-000036,-0.0642910376681595
ACH-000037,-0.18545682186867374
ACH-000039,-0.06032747034837144
ACH-000040,-0.11283230368084556
ACH-000041,-0.1300261424704547
ACH-000042,-0.15094008454914953
ACH-000045,-0.10955222995770933
ACH-000047,-0.161873441926735
ACH-000052,-0.1419526231814736
ACH-000053,-0.05199419889345299
ACH-000054,-0.3074266778309442
ACH-000055,-0.1200417490364362
ACH-000060,-0.2370399671455795
ACH-000067,-0.1881264473394141
ACH-000070,-0.13372448790399233
ACH-000075,-0.04472987593527837
ACH-000078,-0.019041121823186787
ACH-000082,-0.09114062591034704
ACH-000085,-0.2732233517544542
ACH-000086,-0.1718102431797192
ACH-000087,-0.4189992936901541
ACH-000092,-0.03442400065785591
ACH-000095,-0.2524267133478012
ACH-000097,-0.19480782701162386
ACH-000098,-0.06316413058514771
ACH-000099,-0.12209891833889334
ACH-000108,-0.17735421353451347
ACH-000113,-0.15466013012369298
ACH-000116,-0.020606547506571274
ACH-000118,-0.2013428902126501
ACH-000120,-0.15292423841927458
ACH-000123,-0.20053963940467207
ACH-000127,-0.04327571972618062
ACH-000128,-0.13767846519317828
ACH-000132,-0.19302823420084095
ACH-000133,-0.12313653600748654
ACH-000137,-0.07195771604925519
ACH-000138,-0.19932789181855695
ACH-000142,-0.053777082816699726
ACH-000143,-0.1964141665538376
ACH-000146,-0.12958190322067725
ACH-000148,-0.15810861068636387
ACH-000150,0.009543867526559585
ACH-000152,-0.13733622847458993
ACH-000153,0.031676369087602935
ACH-000159,-0.21942417359651264
ACH-000160,-0.14461465769673346
ACH-000163,-0.11767444175001812
ACH-000167,-0.38459656345807103
ACH-000168,-0.04461900676375728
ACH-000169,-0.18886231895482566
ACH-000178,-0.29818502954906084
ACH-000183,-0.11058650637788056
