,PROCA1 (147011)
ACH-000004,-0.34946900173628503
ACH-000005,-0.3215800077259028
ACH-000007,-0.03093614343736377
ACH-000009,-0.3150758975245839
ACH-000011,-0.19514267477983893
ACH-000012,-0.26926705279691704
ACH-000013,-0.29089374577769483
ACH-000014,-0.22266999081562144
ACH-000015,-0.17575758408239256
ACH-000017,-0.2506600781509637
ACH-000018,-0.3689885334575991
ACH-000019,-0.22828458582183506
ACH-000021,-0.361595418422784
ACH-000022,-0.288373528113334
ACH-000025,-0.016644611787118454
ACH-000028,-0.395115494697448
ACH-000030,-0.3259994763676462
ACH-000035,-0.4288781002656227
ACH-000036,-0.2558906486210224
ACH-000037,-0.2520442702073711
ACH-000039,-0.4049212438059263
ACH-000040,-0.3307169422703797
ACH-000041,-0.2051243573827666
ACH-000042,-0.2315777151252729
ACH-000045,-0.17107897711903866
ACH-000047,-0.16001269996593653
ACH-000052,-0.2430190135141352
ACH-000053,-0.2849147172894934
ACH-000054,-0.3919989008926774
ACH-000055,-0.2470377421853697
ACH-000060,-0.23189921491379745
ACH-000067,-0.2607983280799536
ACH-000070,-0.132191410204039
ACH-000075,-0.30072939038583235
ACH-000078,-0.34532948765397264
ACH-000082,-0.2587369097302933
ACH-000085,0.09060036186857612
ACH-000086,-0.2463139689724736
ACH-000087,-0.14379031344552642
ACH-000092,-0.13030297417421996
ACH-000095,-0.3095715793655207
ACH-000097,-0.2430345722143812
ACH-000098,-0.19257713471033872
ACH-000099,-0.23615453020091454
ACH-000108,-0.3785813586441208
ACH-000113,-0.3811558399109765
ACH-000116,-0.3040339793771913
ACH-000118,-0.2860069354506585
ACH-000120,-0.30440592346934026
ACH-000123,-0.31453875463041675
ACH-000127,-0.15107389641512536
ACH-000128,-0.38547921884375147
ACH-000132,-0.31148633873639936
ACH-000133,-0.01769600429734707
ACH-000137,-0.42547544552085975
ACH-000138,-0.10229061248123872
ACH-000142,-0.3560403059243622
ACH-000143,-0.3112771416790193
ACH-000146,-0.3269970822190536
ACH-000148,-0.3169391776667068
ACH-000150,-0.3413260040929959
ACH-000152,-0.4440742914939568
