,TNKS (8658)
ACH-000004,-0.1491114028613181
ACH-000005,-0.357083874254886
ACH-000007,-0.13032922091381746
ACH-000009,-0.016396615367262713
ACH-000011,-0.2983396685544494
ACH-000012,-0.00021318348514116418
ACH-000013,-0.028968818303207536
ACH-000014,0.03875107586556895
ACH-000015,-0.0868432166813304
ACH-000017,-0.24423876450345536
ACH-000018,-0.02525906169518349
ACH-000019,0.14154817636675918
ACH-000021,-0.037805272570307226
ACH-000022,0.01814532283538857
ACH-000025,-0.17449717607017678
ACH-000028,0.07409272335074071
ACH-000030,-0.11067846781229868
ACH-000035,-0.059473057618767824
ACH-000036,-0.1210374668870941
ACH-000037,0.01755619301790863
ACH-000039,-0.05128761085262558
ACH-000040,-0.11402918284731164
ACH-000041,-0.23028812744011384
ACH-000042,-0.16615887129159734
ACH-000045,-0.10676294029288362
ACH-000047,-0.173810954267327
ACH-000052,-0.03726601759145042
ACH-000053,-0.09833501450307523
ACH-000054,-0.15682505575347294
ACH-000055,0.157306829024867
ACH-000060,-0.34221285954944136
ACH-000067,-0.2606160679905293
ACH-000070,-0.0989111747227544
ACH-000075,-0.10631325457696672
ACH-000078,-0.3423684925808207
ACH-000082,0.0056371476498942525
ACH-000085,-0.14628011434649935
ACH-000086,-0.08383786335688187
ACH-000087,-0.11248931223414534
ACH-000092,-0.20976280067623773
ACH-000095,-0.1943668063092396
ACH-000097,-0.093930656091935
ACH-000098,-0.1695918197619539
ACH-000099,-0.014203914256486703
ACH-000108,-0.05749444197521771
ACH-000113,-0.08656087562963218
ACH-000116,-0.028004102375186482
ACH-000118,0.0019169189907915734
ACH-000120,-0.2228924107908659
ACH-000123,0.006338794750393833
ACH-000127,0.0946923757630487
ACH-000128,-0.3167557202723765
ACH-000132,-0.2477051046506523
ACH-000133,0.035524050255030755
ACH-000137,-0.18441742867283975
ACH-000138,-0.04770837798209839
ACH-000142,-0.2225509787226395
ACH-000143,0.07286441556789053
ACH-000146,-0.011895185735735808
ACH-000148,-0.05802383673564821
ACH-000150,-0.08050635505900915
ACH-000152,-0.10776489058099177
ACH-000153,0.17504391849674952
ACH-000159,-0.1094366590370379
ACH-000160,0.17956765504859887
ACH-000163,0.09567837927893978
ACH-000167,0.5148270670026581
ACH-000168,0.09350756582885948
ACH-000169,-0.1564470186508557
ACH-000178,-0.12143355482025045
ACH-000183,-0.13773517074416372
ACH-000188,-0.1926462870728365
ACH-000189,0.017865723351432574
ACH-000190,0.1793454263176797
ACH-000198,-0.0157943484435861
ACH-000203,-0.4410377415828504
ACH-000204,-0.04773879206447685
ACH-000206,-0.013047950195141222
ACH-000207,-0.0503770580440424
ACH-000208,-0.016504322118296586
ACH-000210,0.04384384959868782
ACH-000211,-0.1634989886165862
ACH-000215,-0.0393777706265777
ACH-000221,0.06646820089232562
ACH-000222,-0.0003070570007744369
ACH-000223,-0.03529911435797617
ACH-000226,-0.23792526972564906
ACH-000227,0.22212266028718192
ACH-000228,-0.09854156002048099
ACH-000231,-0.10504299342171908
ACH-000232,-0.21642824874518926
ACH-000233,0.07645058827888405
ACH-000234,-0.06379741965195126
ACH-000235,-0.023414067134550843
ACH-000237,-0.17752200494954992
ACH-000238,-0.08798273988561668
ACH-000242,-0.24730087960785424
ACH-000243,-0.06147571301890969
ACH-000244,-0.36036261560205696
ACH-000246,-0.27153165245252464
ACH-000248,-0.12698053465235898
ACH-000250,-0.08989124842532853
ACH-000251,0.09151294340895354
ACH-000252,-0.22711997717011234
ACH-000253,-0.0019069454330788184
ACH-000255,-0.055208907389687936
ACH-000256,-0.1687190318680553
ACH-000257,-0.2221307383269667
ACH-000258,-0.1309570991311137
ACH-000259,0.0002566880852442431
ACH-000260,-0.014788654254109171
ACH-000261,0.012064778132557514
ACH-000262,-0.16695529795038722
ACH-000263,-0.03384037983537401
ACH-000264,-0.015450427296940362
ACH-000265,-0.03546964477660187
ACH-000266,-0.021741744710659653
ACH-000272,-0.005486578621955172
ACH-000274,-0.13645225598728866
ACH-000277,0.08755521543510175
ACH-000278,-0.19706235775794034
ACH-000279,-0.02858026349950568
ACH-000280,-0.03266740249498907
ACH-000281,-0.05550692426903479
ACH-000288,-0.06695057875313512
ACH-000291,0.018098356923794613
ACH-000293,-0.03001476931449752
ACH-000294,-0.04746052926413414
ACH-000295,0.12053078740405225
ACH-000296,-0.34928987201182377
