,COX6A1 (1337)
ACH-000004,-0.4439181231551574
ACH-000005,-0.3456663846408157
ACH-000007,-0.3197854463855155
ACH-000009,-0.2889444342042253
ACH-000011,-0.2391893168471396
ACH-000012,-0.3432697099163561
ACH-000013,-0.31637084082775685
ACH-000014,-0.440532826505738
ACH-000015,-0.3731496790579533
ACH-000017,-0.3779393081334743
ACH-000018,-0.2997091311336547
ACH-000019,-0.33196807026656777
ACH-000021,-0.4937602333155669
ACH-000022,-0.3363118033535926
ACH-000025,-0.27964930927603193
ACH-000028,-0.35134543708574123
ACH-000030,-0.3030017460046609
ACH-000035,-0.4198916769936621
ACH-000036,-0.0729856862008723
ACH-000037,-0.3850725056533776
ACH-000039,-0.4978417219555109
ACH-000040,-0.28530202334595023
ACH-000041,-0.3928047094153341
ACH-000042,-0.44430290815034856
ACH-000045,-0.5012665862608676
ACH-000047,-0.3235617509718786
ACH-000052,-0.2478332887044761
ACH-000053,-0.2303938123951563
ACH-000054,-0.13381693571511055
ACH-000055,-0.2743013632191061
ACH-000060,-0.2385892005097926
ACH-000067,-0.3074394358334741
ACH-000070,-0.39510963901911
ACH-000075,-0.3713739310419848
ACH-000078,-0.2919804223809684
ACH-000082,-0.3057343618849931
ACH-000085,-0.397253255008272
ACH-000086,-0.41737632346079145
ACH-000087,-0.2930729980602772
ACH-000092,-0.3540349734906886
ACH-000095,-0.22622596186630714
ACH-000097,-0.15305116189514004
ACH-000098,-0.2335306324501439
ACH-000099,-0.3577338584294453
ACH-000108,-0.318056064342716
ACH-000113,-0.7233855034554079
ACH-000116,-0.2803255559048447
ACH-000118,-0.7636005099065265
ACH-000120,-0.3063085382619989
ACH-000123,-0.5338780507425077
ACH-000127,-0.2552799866892128
ACH-000128,-0.5934956542134774
ACH-000132,-0.33655829155488826
ACH-000133,-0.3797952393055681
ACH-000137,-0.35872978252589416
ACH-000138,-0.4693823323545229
ACH-000142,-0.22818816276916254
ACH-000143,-0.34575033281849915
ACH-000146,-0.4576822940680766
ACH-000148,-0.2535891047285438
ACH-000150,-0.4204040882930278
ACH-000152,-0.34400583834846216
ACH-000153,-0.2294696250845497
ACH-000159,-0.3937388794272367
ACH-000160,-0.3951235132882192
ACH-000163,-0.4537511289356984
ACH-000167,-0.1915141709728776
ACH-000168,-0.3318237503706796
ACH-000169,-0.2626340095137675
ACH-000178,-0.20295840626550726
ACH-000183,-0.4596573726436266
ACH-000188,-0.34560504428935546
ACH-000189,-0.14592725369099308
ACH-000190,-0.5831934041088609
ACH-000198,-0.6749679965542058
ACH-000203,-0.1581377353108199
ACH-000204,-0.5138169641786003
ACH-000206,-0.6132485834698421
ACH-000207,-0.2421551298415205
ACH-000208,-0.3397314671458197
ACH-000210,-0.8042050402345381
ACH-000211,-0.3904785858323022
ACH-000215,-0.2789772117141179
ACH-000221,-0.3748580221960796
ACH-000222,-0.22207183559308927
ACH-000223,-0.3194859790218174
ACH-000226,-0.27656426169140313
ACH-000227,-0.4094788596504202
ACH-000228,-0.5178438116180927
ACH-000231,-0.24726071207888775
ACH-000232,-0.18050234727964226
ACH-000233,-0.27486768807352785
ACH-000234,-0.33118500765959635
ACH-000235,-0.3902777466760332
ACH-000237,-0.12246835738027663
ACH-000238,-0.2782512638954297
ACH-000242,-0.6434919750605551
ACH-000243,-0.2890451848284533
ACH-000244,-0.25316120747563803
ACH-000246,-0.31409876184804164
ACH-000248,-0.37133678777110973
ACH-000250,-0.2805081900448689
ACH-000251,-0.4826695687115571
ACH-000252,-0.09395006661076907
ACH-000253,-0.2348117829374653
ACH-000255,-0.37118622270287904
ACH-000256,-0.3025817241049224
ACH-000257,-0.5286077878333935
ACH-000258,-0.3721956342581049
