,NUTM2A (728118)
ACH-000004,-0.08043012540765536
ACH-000005,-0.13306138019381605
ACH-000007,-0.17034023131063816
ACH-000009,-0.14595447303604991
ACH-000011,-0.2339698457104287
ACH-000012,-0.06582021039073271
ACH-000013,-0.13920489818201826
ACH-000014,-0.1054614367136526
ACH-000015,-0.2267054581007895
ACH-000017,-0.1362801493328177
ACH-000018,-0.2728909060126334
ACH-000019,-0.19466111314317555
ACH-000021,0.011184438158753814
ACH-000022,-0.16997244829958802
ACH-000025,-0.3167234671302909
ACH-000028,-0.17670264354883775
ACH-000030,-0.303550121172604
ACH-000035,-0.23138126865435385
ACH-000036,-0.1645639657885136
ACH-000037,-0.049590129926983736
ACH-000039,-0.039047461376275294
ACH-000040,-0.3839215332030765
ACH-000041,-0.04858635812445212
ACH-000042,-0.20187321521534995
ACH-000045,0.010264939863310648
ACH-000047,-0.04426209334139938
ACH-000052,-0.2324979255174912
ACH-000053,-0.15656186032915104
ACH-000054,-0.17214764815414754
ACH-000055,-0.03836657053616797
ACH-000060,-0.0774897504700493
ACH-000067,-0.18566160976075413
ACH-000070,-0.2036569639568769
ACH-000075,-0.057552606448370035
ACH-000078,-0.16431594366307156
ACH-000082,-0.14603028493514975
ACH-000085,-0.1285242654386271
ACH-000086,-0.3250500280375473
ACH-000087,0.012124165578138965
ACH-000092,-0.08710773862257548
ACH-000095,-0.16753346319781998
ACH-000097,-0.329597162708961
ACH-000098,-0.24638812723250414
ACH-000099,-0.2622955488216401
ACH-000108,-0.16261378412351016
ACH-000113,-0.045164502238991946
ACH-000116,-0.17447458479279926
ACH-000118,-0.1082006877330992
ACH-000120,-0.05077944050810936
ACH-000123,-0.028552951480347213
ACH-000127,-0.21034456488986847
ACH-000128,-0.13025204511190885
ACH-000132,-0.18296036689023787
ACH-000133,-0.3145468412479532
ACH-000137,-0.03294174264629802
ACH-000138,-0.05166776707449259
ACH-000142,-0.22400097019349974
ACH-000143,-0.28016302105024865
ACH-000146,-0.09076297298451423
ACH-000148,-0.3079365195270141
ACH-000150,-0.16568342389459054
ACH-000152,-0.33056394218573776
ACH-000153,0.031315529394241925
ACH-000159,-0.12071153769308485
ACH-000160,-0.1198019149599426
ACH-000163,-0.19169038183394072
ACH-000167,-0.2596175715171524
ACH-000168,-0.1730973417825798
ACH-000169,-0.3281711486625533
ACH-000178,-0.11872931384711324
