,PCED1B (91523)
ACH-000004,-0.4389973221918377
ACH-000005,-0.3397786251750842
ACH-000007,-0.3457074793083833
ACH-000009,-0.2730450580047866
ACH-000011,-0.3235233836016813
ACH-000012,-0.2650826105030073
ACH-000013,-0.381978484795524
ACH-000014,-0.3314168905063139
ACH-000015,-0.4052411719560848
ACH-000017,-0.2335172981618697
ACH-000018,-0.4805435142409812
ACH-000019,-0.3022395991648161
ACH-000021,-0.16887738117221873
ACH-000022,-0.3472402408242207
ACH-000025,-0.4575384701584514
ACH-000028,-0.2546497424705134
ACH-000030,-0.2862326801799858
ACH-000035,-0.390300063978273
ACH-000036,-0.20623864444043088
ACH-000037,-0.2979393408295611
ACH-000039,-0.3955924957977561
ACH-000040,-0.20823163947590334
ACH-000041,-0.6120645004151872
ACH-000042,-0.2248219099565629
ACH-000045,-0.09163543209380776
ACH-000047,-0.2451327856674917
ACH-000052,-0.4603778064994384
ACH-000053,-0.270959525047251
ACH-000054,-0.5372452998968125
ACH-000055,-0.07867034363161311
ACH-000060,-0.2712695479855288
ACH-000067,-0.21073497728788132
ACH-000070,-0.2185125912215155
ACH-000075,-0.563851955295212
ACH-000078,-0.2901195737025309
ACH-000082,-0.16824624025461274
ACH-000085,-0.0773849024417416
ACH-000086,-0.6067022508390523
ACH-000087,-0.4126286210788247
ACH-000092,-0.3810422764795181
ACH-000095,-0.21476669894279116
ACH-000097,-0.15644273692461355
ACH-000098,-0.23716382686081425
ACH-000099,-0.21082525565612376
ACH-000108,-0.14909250315585454
ACH-000113,-0.22998633285780565
ACH-000116,-0.2869841726833859
ACH-000118,-0.2766069457644293
ACH-000120,-0.5273491181875453
ACH-000123,-0.3187114161032777
ACH-000127,-0.3044387325511732
ACH-000128,-0.35464484107578303
ACH-000132,-0.2281952902956404
ACH-000133,-0.3199769248642639
ACH-000137,-0.30078291000326834
ACH-000138,-0.269659980570492
ACH-000142,-0.3899316101382889
ACH-000143,-0.4829961911496155
ACH-000146,-0.44360223273710975
ACH-000148,-0.29576222356803505
ACH-000150,-0.24989035894794856
ACH-000152,-0.3387613646340763
ACH-000153,-0.3704727578100456
ACH-000159,-0.2721242821182129
ACH-000160,-0.2992357410935754
ACH-000163,-0.21013246983516806
ACH-000167,-0.7115032234887951
ACH-000168,-0.2888736824319597
ACH-000169,-0.18484404463389267
ACH-000178,-0.1622082529631229
ACH-000183,-0.15095567651982272
ACH-000188,-0.25913083850220275
ACH-000189,-0.5283943534929229
ACH-000190,-0.39563475850001584
ACH-000198,-0.4098350941587876
ACH-000203,-0.3807058416662684
ACH-000204,-0.2933389284667404
ACH-000206,0.022163150524101543
ACH-000207,-0.3431342673200759
ACH-000208,-0.19706105706494648
ACH-000210,0.014247426189852763
ACH-000211,-0.3299787206232646
ACH-000215,-0.5033288033607904
ACH-000221,-0.3908886428451099
ACH-000222,-0.39586514380692944
ACH-000223,-0.4372202019999048
ACH-000226,-0.2963946431162882
ACH-000227,-0.313990892677155
ACH-000228,-0.2403690783084628
ACH-000231,-0.20990779420301686
ACH-000232,-0.4163926052237738
ACH-000233,-0.2124478981068152
ACH-000234,-0.16051879045024053
ACH-000235,-0.4209194287516688
ACH-000237,-0.27077330780281456
ACH-000238,-0.43522078502353
ACH-000242,-0.4363156990113521
ACH-000243,-0.3250183787170022
ACH-000244,-0.4444376791405363
ACH-000246,-0.19831319754048768
ACH-000248,-0.4821261967222255
ACH-000250,-0.2954159685055389
ACH-000251,-0.10354642928675764
ACH-000252,-0.26498146288730506
ACH-000253,-0.11317605540478858
ACH-000255,-0.2350220696666181
ACH-000256,-0.26829525778853225
ACH-000257,-0.08802207057893753
ACH-000258,-0.04949531351580365
ACH-000259,-0.24064146410906706
ACH-000260,-0.3413510907705384
ACH-000261,-0.3516278457807679
ACH-000262,-0.31189699061802645
ACH-000263,-0.3896085695876205
ACH-000264,-0.4362775309503355
ACH-000265,-0.35979707630361435
ACH-000266,-0.33544333528341963
ACH-000272,-0.3182147779785977
ACH-000274,-0.31657548800360197
ACH-000277,-0.18565102370281625
ACH-000278,-0.351102397415336
ACH-000279,-0.43314584446151005
ACH-000280,-0.1965836896566272
ACH-000281,-0.5591878167166574
ACH-000288,-0.3583908376632731
ACH-000291,-0.17040606523303795
ACH-000293,-0.2959045091659449
ACH-000294,-0.3640226933105357
ACH-000295,-0.2722370070278907
ACH-000296,-0.22232090866945525
ACH-000302,-0.2747339895548147
ACH-000304,-0.10797310920879896
ACH-000307,-0.2261869705419059
ACH-000308,-0.4003341839273625
ACH-000310,-0.0008637949454562152
ACH-000311,-0.3365092040718196
ACH-000312,-0.3562335758754804
