,CBS (875)
ACH-000004,-0.11577979837680842
ACH-000005,-0.17278442885244666
ACH-000007,0.11343369342881927
ACH-000009,0.0135575572931251
ACH-000011,-0.19831790629543825
ACH-000012,-0.14254626595253395
ACH-000013,0.04946546036082269
ACH-000014,0.014630955644961504
ACH-000015,0.023553946617596216
ACH-000017,-0.010251242666120463
ACH-000018,-0.01649015479607748
ACH-000019,0.005944369461344846
ACH-000021,0.026774075352419182
ACH-000022,-0.029413486536036593
ACH-000025,0.09757521152475272
ACH-000028,-0.017312046903090055
ACH-000030,-0.03639906066191483
ACH-000035,0.10684432106118603
ACH-000036,-0.040368660073785104
ACH-000037,-0.09181861734285136
ACH-000039,-0.27228157889343835
ACH-000040,0.06862640092131844
ACH-000041,-0.060517081604475435
ACH-000042,0.0049409367521515615
ACH-000045,-0.03540311995050088
ACH-000047,0.050694201375311186
ACH-000052,0.07020252377302166
ACH-000053,-0.055927617192895636
ACH-000054,0.012425232086032995
ACH-000055,0.04389171891615799
ACH-000060,-0.056331641979429886
ACH-000067,0.026487467172561358
ACH-000070,-0.08410340496947312
ACH-000075,0.062473229418882774
ACH-000078,-0.07763994211783579
ACH-000082,-0.04945818643383332
ACH-000085,0.01687188870140271
ACH-000086,-0.0551913547353368
ACH-000087,-0.26172228722380386
ACH-000092,0.08100912638242283
ACH-000095,-0.17954346279103411
ACH-000097,-0.008432937228752383
ACH-000098,0.039936632790153165
ACH-000099,-0.01530850787568152
ACH-000108,-0.045893636574215
ACH-000113,-0.13625808092951475
ACH-000116,0.033523254474393215
ACH-000118,0.0878631800119761
ACH-000120,-0.02090938494137929
ACH-000123,0.045229218207514764
ACH-000127,-0.04326829968515592
ACH-000128,-0.01713801912840426
ACH-000132,-0.08973061857528508
ACH-000133,0.06800278390800248
ACH-000137,0.038898956851354735
ACH-000138,0.12186762366687595
ACH-000142,-0.0941336029090648
ACH-000143,0.05213439189151037
ACH-000146,-0.09384088726884532
ACH-000148,-0.015075231190436153
