,GFI1B (8328)
ACH-000004,-0.7549436209056802
ACH-000005,-0.5501761892157366
ACH-000007,-0.0665249041344042
ACH-000009,-0.08679837764985278
ACH-000011,-0.06399974889490863
ACH-000012,-0.12198890654791315
ACH-000013,-0.1973398784662825
ACH-000014,-0.009483285892664256
ACH-000015,-0.05882625240028307
ACH-000017,-0.11219909365161518
ACH-000018,-0.10880949271318996
ACH-000019,-0.1519885826657827
ACH-000021,-0.17659870602904748
ACH-000022,-0.08895375000245488
ACH-000025,-0.145197197960108
ACH-000028,0.03279650052131882
ACH-000030,-0.06992275659958427
ACH-000035,0.01842061539723649
ACH-000036,-0.11209774196793104
ACH-000037,-0.11261371114781545
ACH-000039,-0.056016917301764176
ACH-000040,-0.12175219738296593
ACH-000041,-0.016271671298328325
ACH-000042,-0.2551604992677761
ACH-000045,-0.13556429854013866
ACH-000047,-0.09274673830724156
ACH-000052,-0.1523346017677016
ACH-000053,-0.0679890159830524
ACH-000054,-0.08558088186236704
ACH-000055,-0.09646275836043078
ACH-000060,-0.09158458937471238
ACH-000067,0.029538100585170445
ACH-000070,0.11804102162892055
ACH-000075,-0.12328019001532943
ACH-000078,-0.1119015241297919
ACH-000082,0.029258376102553413
ACH-000085,-0.0305958072260753
ACH-000086,-0.03481971937115759
ACH-000087,-0.21509893137367306
ACH-000092,-0.11857365053664473
ACH-000095,-0.11545242350339248
ACH-000097,-0.04275843363749169
ACH-000098,-0.053345063756458776
ACH-000099,-0.09977510785899384
ACH-000108,-0.08601842807245233
ACH-000113,-0.06842339874897439
ACH-000116,-0.0828751895435966
ACH-000118,-0.16769287139173153
ACH-000120,-0.08189565228649827
ACH-000123,-0.1114930056329822
ACH-000127,0.028005034270566363
ACH-000128,-0.03375342248623716
ACH-000132,-0.1078192716910231
ACH-000133,-0.15498615123745987
ACH-000137,-0.1098604613061296
ACH-000138,-0.11301876775281433
ACH-000142,-0.1697654052757277
ACH-000143,0.020002759182840595
ACH-000146,-0.04351803080795557
ACH-000148,-0.07997418495982582
ACH-000150,-0.19953459568147985
ACH-000152,-0.08642880291534773
