,CD5L (922)
ACH-000004,-0.09734241775482713
ACH-000005,0.16983206850672708
ACH-000007,-0.01863514032449896
ACH-000009,-0.2170656227200234
ACH-000011,-0.14735138102043502
ACH-000012,-0.1708434376075997
ACH-000013,-0.0889486068162362
ACH-000014,-0.2533455293096299
ACH-000015,-0.17308251644326353
ACH-000017,-0.02693382682170262
ACH-000018,-0.010259441612276344
ACH-000019,-0.1353145914748907
ACH-000021,-0.08357913054170857
ACH-000022,-0.06702132087326519
ACH-000025,-0.2340078754264313
ACH-000028,-0.05061101152524205
ACH-000030,-0.08647994147139934
ACH-000035,-0.1174610723706758
ACH-000036,0.03512987672582815
ACH-000037,0.004632325025084014
ACH-000039,-0.17483023784715426
ACH-000040,-0.16408912563347833
ACH-000041,-0.11052491688384276
ACH-000042,-0.020293327967108414
ACH-000045,-0.057383634327598014
ACH-000047,-0.1280097018987744
ACH-000052,-0.14057560555107396
ACH-000053,-0.17517434784477964
ACH-000054,0.008564014605338514
ACH-000055,-0.19636384600435056
ACH-000060,-0.12854889445360002
ACH-000067,-0.03201262724677521
ACH-000070,-0.2957108698037632
ACH-000075,-0.08978684806956556
ACH-000078,-0.20646040951609532
ACH-000082,-0.16686268255332715
ACH-000085,-0.11611265908964805
ACH-000086,-0.1953951633368932
ACH-000087,-0.13371808383247075
ACH-000092,-0.15231273432622414
ACH-000095,-0.15967572127955898
ACH-000097,-0.08059523715095404
ACH-000098,-0.14469779550488845
ACH-000099,-0.05708922986514608
ACH-000108,-0.10154838100658377
ACH-000113,-0.14671619243405268
ACH-000116,-0.017646311632519382
ACH-000118,-0.06414064606925196
ACH-000120,-0.06973570403701071
ACH-000123,-0.10483320754204957
ACH-000127,-0.17089399993507728
ACH-000128,-0.02029393440091177
ACH-000132,-0.14372966679723134
ACH-000133,-0.1556068750895835
ACH-000137,-0.11729114573566247
ACH-000138,-0.10189534940318083
ACH-000142,-0.051277276508736126
ACH-000143,-0.13224280723803045
ACH-000146,-0.09600611892012402
ACH-000148,-0.14576107853678258
ACH-000150,-0.10082962683137503
ACH-000152,-0.02960763197232897
ACH-000153,-0.1214669916648747
ACH-000159,-0.18326464371401707
ACH-000160,0.07065059423767188
ACH-000163,-0.2070942988743605
ACH-000167,-0.009243190178992569
ACH-000168,-0.0475626876692502
ACH-000169,-0.1276279333574955
ACH-000178,-0.08706377905811541
ACH-000183,-0.2887951692061809
ACH-000188,-0.05935540629917766
ACH-000189,-0.26126726599423616
ACH-000190,-0.01553011861770862
ACH-000198,-0.08514529168272282
ACH-000203,-0.1129063423079881
ACH-000204,-0.19470040236642147
ACH-000206,-0.04244975743229907
ACH-000207,0.01835312387935109
ACH-000208,-0.08800257989698701
ACH-000210,-0.1277233211061477
ACH-000211,-0.06605029715321004
ACH-000215,-0.10197440727259473
ACH-000221,-0.2014563975869549
ACH-000222,-0.053903536671108934
ACH-000223,-0.14751319203501104
ACH-000226,-0.1719629062374168
ACH-000227,-0.05470319411167539
ACH-000228,-0.1450564727388456
