,STX1B (112755)
ACH-000004,-0.15816778963789255
ACH-000005,0.147784603653014
ACH-000007,0.012698182114795198
ACH-000009,-0.08189650925016688
ACH-000011,-0.12677220310996234
ACH-000012,-0.23877844136900686
ACH-000013,-0.1532612392195095
ACH-000014,-0.06729439100274202
ACH-000015,-0.29087531905964176
ACH-000017,-0.11125849890076224
ACH-000018,-0.12587685190696854
ACH-000019,-0.04266614606607499
ACH-000021,-0.3158987279068263
ACH-000022,-0.12199272507260454
ACH-000025,-0.2302120894254413
ACH-000028,-0.14735553136170398
ACH-000030,-0.028202452609078964
ACH-000035,-0.2611526705654243
ACH-000036,-0.12032342417766878
ACH-000037,-0.20643201076677967
ACH-000039,-0.11746582079489346
ACH-000040,-0.054175576985313785
ACH-000041,-0.11331556050507124
ACH-000042,0.02190572384256937
ACH-000045,0.11863058341800488
ACH-000047,-0.17401115255531482
ACH-000052,-0.2452703688670942
ACH-000053,-0.12488070213407945
ACH-000054,-0.13244476695666516
ACH-000055,-0.04273472799408077
ACH-000060,-0.031798919889500774
ACH-000067,-0.012110857854448615
ACH-000070,-0.13652566180012146
ACH-000075,-0.1664918088977535
ACH-000078,-0.26968065417811665
ACH-000082,-0.1265451331358526
ACH-000085,-0.15495978659811346
ACH-000086,0.10540585530996613
ACH-000087,-0.2358332176362929
ACH-000092,-0.2485573861802341
ACH-000095,-0.1382424358554529
ACH-000097,-0.18272667309429366
ACH-000098,-0.2465865215412518
ACH-000099,-0.13784671895981526
ACH-000108,0.08260915299450354
ACH-000113,-0.01846878255125279
ACH-000116,-0.0441516179331551
ACH-000118,-0.08343392969592069
ACH-000120,-0.05255569903349717
ACH-000123,-0.2204734533755532
ACH-000127,-0.1501193994227952
ACH-000128,-0.026354654664672357
ACH-000132,-0.2031740926462281
ACH-000133,-0.06715823995639142
ACH-000137,-0.21724355009776744
ACH-000138,0.0663650036885327
ACH-000142,-0.20625665001118573
ACH-000143,-0.21854125572514888
ACH-000146,-0.17913385199188528
ACH-000148,-0.04873166029714314
ACH-000150,-0.2398666341731748
ACH-000152,-0.08073797114439744
ACH-000153,0.06192723930047352
ACH-000159,-0.11429669814102696
ACH-000160,0.04002878761392163
ACH-000163,-0.02719478092377691
ACH-000167,0.216072832367605
ACH-000168,-0.12112840237874015
ACH-000169,-0.05780833890157041
ACH-000178,-0.16118772248914753
ACH-000183,-0.10035728738476014
ACH-000188,-0.008375272857965506
ACH-000189,0.007394687594727747
ACH-000190,0.056508906416634
ACH-000198,-0.02909283004862624
ACH-000203,-0.13539449616795204
ACH-000204,-0.20031233446112276
ACH-000206,-0.12764777878037084
ACH-000207,-0.14329564963991434
ACH-000208,0.08761057131793105
ACH-000210,-0.23497791908361906
ACH-000211,-0.20856532402501465
ACH-000215,-0.07925347785054279
ACH-000221,-0.2643238651192746
ACH-000222,-0.26526692093921256
ACH-000223,-0.08364355663930279
ACH-000226,-0.1314149341363839
ACH-000227,-0.18727180041565727
ACH-000228,-0.12497270633123485
ACH-000231,-0.18191936032049255
ACH-000232,-0.09791488140779768
ACH-000233,-0.10299407593034167
ACH-000234,-0.1457544407968682
